50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4f49e078-b1c0-4e5e-8695-764b4de7617a,1,,,,3878593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 7462, 'name': 'Aleandro Rosi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 174418, 'name': 'Modibo Diakité'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 387847, 'name': 'Leonardo Blanchard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 8661, 'name': 'Daniel Pavlovic'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 9903, 'name': 'Yussif Raman Chibsah'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 30911, 'name': 'Robert Gucher'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9898, 'name': 'Aleksandar Tonev'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 11608, 'name': 'Danilo Soddimo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 13613, 'name': 'Daniel Ciofani'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 24235, 'name': 'Federico Dionisi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ea16ca49-fd0a-4a12-9c83-dd75d0af0754,2,,,,3878593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 44}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 15780, 'name': 'Francesco Totti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",AS Roma,229,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,245a6ebc-855b-4241-b302-9bd1da5fccf5,3,,,,3878593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['9df35530-5cfa-4c15-b886-beacf2e3d64e'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9df35530-5cfa-4c15-b886-beacf2e3d64e,4,,,,3878593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['245a6ebc-855b-4241-b302-9bd1da5fccf5'],0,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,71cd74d5-5aa7-4250-9597-0cc631f22562,1493,,,,3878593,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,AS Roma,229,['ad3646bc-7ee8-4e60-864c-2ee030547fa9'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ad3646bc-7ee8-4e60-864c-2ee030547fa9,1494,,,,3878593,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,AS Roma,229,['71cd74d5-5aa7-4250-9597-0cc631f22562'],0,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.852608,,,,,,,,,,,,,5770e278-6e12-4efd-b9a1-c1e6d9d05eb6,5,,,"[60.0, 40.0]",3878593,0,,True,,,0.22679885,,Right Foot,,,,"[61.3, 40.3]",,Ground Pass,,1.3341664,,,,,Francesco Totti,15780.0,,,,,,Kick Off,1,From Kick Off,Edin Džeko,6973.0,Center Forward,2,AS Roma,229,['e755b74a-4024-4598-8de3-c6b4030d37ce'],0,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.271,Pass,
,,,,,,,,,,,,,,,,,,0.243442,,,,,,,,,,,,,15fd4fcc-a7b1-4e89-9bb5-d9e5bcb1006c,7,,,"[71.1, 38.5]",3878593,0,,,,,0.9364135,,Right Foot,,,,"[75.0, 43.8]",,Low Pass,,6.5802736,,,Incomplete,,Alessandro Florenzi,6964.0,,,,,,,1,From Kick Off,Francesco Totti,15780.0,Center Attacking Midfield,2,AS Roma,229,"['16fbac6e-cb10-44a1-9df2-6daef4a968bc', '7379b74f-a8e2-47d4-9030-e930bfb2ea19']",4,,,,,,,,,,,,,,,,,AS Roma,229,00:00:04.185,Pass,
,,,,,,,,,,,,,,,,,,1.236202,,,,,,,,,,,,,aa5be8ee-1856-4e87-af96-003c6e2a4659,12,,,"[50.4, 40.0]",3878593,0,,,,,-0.8245938,,Right Foot,,,,"[65.1, 24.1]",,Ground Pass,,21.654099,,,,,Federico Dionisi,24235.0,,,,,,,1,Regular Play,Daniel Ciofani,13613.0,Right Center Forward,3,Frosinone,291,['e05187bb-fc71-4398-94d7-2611d04e519f'],6,,,,,,,,,,,,,,,,,Frosinone,291,00:00:06.256,Pass,
,,,,,,,,,,,,,,,,,,0.858302,,,,,,,,,,,,,252be818-d69f-4ae7-82b2-c0d1824f6749,15,,,"[65.1, 24.1]",3878593,0,,,,,-3.070285,,Right Foot,,,,"[58.1, 23.6]",,Ground Pass,,7.017834,,,,,Robert Gucher,30911.0,,,,,,,1,Regular Play,Federico Dionisi,24235.0,Left Center Forward,3,Frosinone,291,['cca98ef1-fefc-4f39-99c8-3c7d14998b7d'],8,,,,,,,,,,,,,,,,,Frosinone,291,00:00:08.021,Pass,
