ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.023186,,,,,,,,,,,,8912ba1e-471e-4f4b-9a25-be5350f38540,13,,"[15.1, 9.1]",3879849,0,,,,,-0.61232215,,Right Foot,,,,"[23.5, 3.2]",Ground Pass,,10.264989,,,Adam Masina,7169.0,,,,,,1,From Throw In,Domenico Maietta,8849.0,Left Center Back,3,Bologna,240,['3d9c9495-ddb2-48bc-a64e-8f9cbb6bf75f'],14,,,,,,,,,,,,,,,,,Bologna,240,00:00:14.726,Pass,
,,,,,,,,,,,,,,1.228396,,,,,,,,,,,,0d75bc17-e45d-42b8-8218-1a823c82fdc3,16,,"[23.1, 3.3]",3879849,0,,,,,2.2367656,,Left Foot,,,,"[14.3, 14.5]",Ground Pass,,14.243595,,,Domenico Maietta,8849.0,,,,,,1,From Throw In,Adam Masina,7169.0,Left Back,3,Bologna,240,['9bb2fffc-8353-40c1-af56-fa630691b896'],16,,,,,,,,,,,,,,,,,Bologna,240,00:00:16.613,Pass,
,,,,,,,,,,,,,,2.579522,,,,,,,,,,,,8c539e73-2637-4b09-96a5-59aea415cdad,19,,"[14.7, 17.5]",3879849,0,,,,,1.3387228,,Right Foot,,,,"[28.1, 74.2]",High Pass,,58.26191,,,Alex Ferrari,7704.0,,True,,,,1,From Throw In,Domenico Maietta,8849.0,Left Center Back,3,Bologna,240,['43a917ce-f918-445d-87ff-6da91e8311c3'],19,,,,,,,,,,,,,,,,,Bologna,240,00:00:19.147,Pass,
,,,,,,,,,,,,,,1.14267,,,,,,,,,,,,e375f484-4966-4a7e-80c3-61b8fb7954dd,22,,"[32.3, 77.4]",3879849,0,,,,,-0.017775904,,Right Foot,,,,"[54.8, 77.0]",Ground Pass,,22.503555,,,Anthony Mounier,34565.0,,,,,,1,From Throw In,Alex Ferrari,7704.0,Right Back,3,Bologna,240,['10b49c45-18c4-497b-8a10-de24dc296925'],23,,,,,,,,,,,,,,,,,Bologna,240,00:00:23.427,Pass,
,,,,,,,,,,,,,,1.455978,,,,,,,,,,,,c2f33bfc-00e2-4881-b256-8c1ab546e9d5,25,,"[53.4, 76.2]",3879849,0,,,,,-2.532635,,Left Foot,,,,"[45.8, 70.9]",Ground Pass,,9.265528,,,Alex Ferrari,7704.0,,,,,,1,From Throw In,Anthony Mounier,34565.0,Right Wing,3,Bologna,240,"['05483aa6-631b-43eb-8237-d1d184b892f6', '821a3f6b-6cb7-4a9d-a353-c30cfb75b8a6']",24,,,,,,,,,,,,,,,,,Bologna,240,00:00:24.570,Pass,True
,,,,,,,,,,,,,,1.621577,,,,,,,,,,,,ca66d433-aecb-476a-95aa-e55b1aea5645,29,,"[46.6, 71.7]",3879849,0,,,,,-0.93804747,,Right Foot,,,,"[67.5, 43.2]",Ground Pass,,35.342045,,,Sergio Floccari,6948.0,,,,,,1,From Throw In,Alex Ferrari,7704.0,Right Back,3,Bologna,240,"['309e25e9-98e9-4a8f-81cc-7eb5a0d58e1e', 'bdfec35f-0ae7-443d-9683-25debe05e344']",26,,,,,,,,,,,,,,,,,Bologna,240,00:00:26.066,Pass,True
,,,,,,,,,,,,,,0.969644,,,,,,,,,,,,e966909e-a1e8-4f46-8b4f-4a2f2f1d4fa5,32,,"[66.9, 41.8]",3879849,0,,,,,1.1647772,,Right Foot,,,,"[71.5, 52.5]",Ground Pass,,11.646888,,,Franco Brienza,45591.0,,,,,,1,From Throw In,Sergio Floccari,6948.0,Center Forward,3,Bologna,240,"['7ae39c9f-61d2-486a-bd2c-a08dd3047f61', 'c20c58cb-c5d9-4d1b-8a44-96c393463842']",27,,,,,,,,,,,,,,,,,Bologna,240,00:00:27.688,Pass,True
,,,,,,,,,,,,,,1.209498,,,,,,,,,,,,68fa3ee3-32b0-474a-9f3e-7a89669922e6,35,,"[71.9, 51.3]",3879849,0,,,,,-1.0434713,,Right Foot,,,,"[86.4, 26.4]",High Pass,,28.814232,Incomplete,,Emanuele Giaccherini,7775.0,,,,,,1,From Throw In,Franco Brienza,45591.0,Center Attacking Midfield,3,Bologna,240,"['148ee764-a080-4735-a0d0-7f666028abbb', '7fe46c5f-36a6-4e86-b537-8384de1ae624', '98416797-1d41-4b0c-bfda-1efd2ec64151']",28,,,,,,,,,,,,,,,,,Bologna,240,00:00:28.657,Pass,True
,,,,,,,,,,,,,,1.004428,,,,,,,,,,,,d90e00fc-ff83-419d-a8b7-ec57d976632e,39,,"[32.7, 51.9]",3879849,0,,,,,-2.107707,,Right Foot,,,,"[27.7, 43.5]",Ground Pass,,9.775479,,,Uroš Ćosić,16061.0,,,,,,1,Regular Play,Luca Bittante,31172.0,Right Back,4,Empoli,290,['04feaafd-906e-4a54-b605-a33332ffe563'],31,,,,,,,,,,,,,,,,,Empoli,290,00:00:31.161,Pass,
,,,,,,,,,,,,,,1.760619,,,,,,,,,,,,80e34667-49c2-4a68-bc75-a4ab173d04c3,42,,"[27.7, 43.5]",3879849,0,,,,,-1.5504946,,Right Foot,,,,"[28.5, 4.1]",Ground Pass,,39.40812,,,Mário Rui Silva Duarte,7151.0,,,,,,1,Regular Play,Uroš Ćosić,16061.0,Right Center Back,4,Empoli,290,['04bf8fec-c076-44f4-9be6-55b62d77b58c'],33,,,,,,,,,,,,,,,,,Empoli,290,00:00:33.429,Pass,
