50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7e9486c2-7e89-4abb-96f3-d8b1be7597b3,1,,,3879722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 386650, 'name': 'Michelangelo Albertazzi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 6686, 'name': 'Giampaolo Pazzini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0290fed3-0ce5-4555-a04a-82d48d20e011,2,,,3879722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 57}, {'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 45590, 'name': 'Nicolò Cherubin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 8657, 'name': 'Andrea Conti'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 24}, {'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 93}, {'player': {'id': 40455, 'name': 'Giulio Migliaccio'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 19847, 'name': 'Alessandro Diamanti'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Atalanta,228,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0f396923-2f95-48b8-b2fb-0b5d3d24866f,3,,,3879722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['bb15a998-a1ad-4a23-8085-d01270234f91'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bb15a998-a1ad-4a23-8085-d01270234f91,4,,,3879722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['0f396923-2f95-48b8-b2fb-0b5d3d24866f'],0,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cb9acd0c-a5ba-4695-a9d6-d9c8bc780d58,1600,,,3879722,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Hellas Verona,226,['c375bca4-ba2d-4f9a-8894-7d6fbdee1b6c'],0,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c375bca4-ba2d-4f9a-8894-7d6fbdee1b6c,1601,,,3879722,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Hellas Verona,226,['cb9acd0c-a5ba-4695-a9d6-d9c8bc780d58'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.445076,,,,,,,,,,,,,,a5139e26-066e-46e8-a21c-0a835a9008a7,5,,"[60.0, 40.0]",3879722,0,,,,,1.2998495,,Left Foot,,,,"[60.5, 41.8]",,Ground Pass,,1.8681542,,,,,Giampaolo Pazzini,6686.0,,,,,Kick Off,1,From Kick Off,Luca Toni,20252.0,Left Center Forward,2,Hellas Verona,226,['2945c61d-810b-45c5-b90a-180d4057e576'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.592,Pass,
,,,,,,,,,,,,,,,,,,1.065815,,,,,,,,,,,,,,26b09ab2-1955-4072-a027-e8f4913bc39f,8,,"[61.8, 41.4]",3879722,0,,,,,-2.7702744,,Right Foot,,,,"[50.5, 37.0]",,Ground Pass,,12.126417,,,,,Artur Ioniţă,7949.0,,,,,,1,From Kick Off,Giampaolo Pazzini,6686.0,Right Center Forward,2,Hellas Verona,226,['2604bccc-884a-4a30-b21b-c3db95a5cd57'],1,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:01.077,Pass,
,,,,,,,,,,,,,,,,,,1.592984,,,,,,,,,,,,,,df77fba9-a0dc-48ac-81f0-db70220c360e,11,,"[49.4, 36.6]",3879722,0,,,,,2.5445948,,Right Foot,,,,"[34.1, 47.0]",,Ground Pass,,18.5,,,,,Vangelis Moras,31488.0,,,,,,1,From Kick Off,Artur Ioniţă,7949.0,Left Defensive Midfield,2,Hellas Verona,226,['a1cb3ff6-6726-49f5-94a6-83a595d0f58c'],3,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:03.158,Pass,
,,,,,,,,,,,,,,,,,,1.582535,,,,,,,,,,,,,,5f801757-67ff-4497-940b-6d2721a5cfdf,14,,"[36.1, 53.7]",3879722,0,,,,,-0.28757584,,Right Foot,,,,"[71.6, 43.2]",,Low Pass,,37.020264,,,Incomplete,,Luca Toni,20252.0,,,,,,1,From Kick Off,Vangelis Moras,31488.0,Right Center Back,2,Hellas Verona,226,"['7a72e0d2-57a9-4633-982d-5ae1f8049791', '970f3048-5db8-4692-a1d5-6875383ca254']",6,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:06.486,Pass,
