50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.491783,,,,,,,,,,,,,08b439e5-ea1f-4936-abc5-fd1928ef1e50,15,,,"[80.7, 74.1]",3879841,0,,,,,-0.274522,,Head,,,"[105.2, 67.2]",,High Pass,,25.453094,,,Incomplete,,Daniel Ciofani,13613.0,,,,,Interception,1,From Throw In,Mirko Gori,20636.0,Right Center Midfield,3,Palermo,2256,"['1f976777-3329-41de-8bbc-d4fa2ac895f2', '5973466e-eb67-48ae-be48-441d06f886b6', 'f92b1b3d-325e-461d-8e08-0ac1fd48575e']",23,,,,,,,,,,,,,,,,Frosinone,291,00:00:23.541,Pass,
,,,,,,,,,,,,,,,,2.120602,,,,,,,,,,,,,f92b1b3d-325e-461d-8e08-0ac1fd48575e,18,,,"[14.9, 12.9]",3879841,0,,,,,-0.8026378,,Head,,,"[26.3, 1.1]",,High Pass,,16.407316,,,Out,,Michel Morganella,31268.0,,,,,Recovery,1,From Throw In,Siniša Anđelković,40350.0,Left Center Back,3,Palermo,2256,"['08b439e5-ea1f-4936-abc5-fd1928ef1e50', '4ecb6f8f-1659-425e-85fa-3d52e481d9ff', 'fddce212-e425-46b1-bef9-42a7f3d4e157']",26,,,,,,,,,,,,,,,,Palermo,2256,00:00:26.032,Pass,True
,,,,,,,,,,,,,,,,0.732601,,,,,,,,,,,,,1afa32bc-65e6-46bc-96ec-0fcb91fd7bef,20,,,"[97.6, 80.0]",3879841,0,,,,,-2.0831857,,,,,"[91.3, 68.8]",,Low Pass,,12.850292,,,,,Mirko Gori,20636.0,,,,,Throw-in,1,From Throw In,Aleandro Rosi,7462.0,Right Back,4,Frosinone,291,['df0f3f33-5ab7-4a2c-82a4-d030791df943'],36,,,,,,,,,,,,,,,,Frosinone,291,00:00:36.972,Pass,
,,,,,,,,,,,,,,,,1.730356,,,,,,,,,,,,,c58a543b-b83c-4eab-b44e-99eb6f0ad1f5,22,,,"[91.3, 68.8]",3879841,0,,,,,0.38050637,,Right Foot,,,"[106.8, 75.0]",,Ground Pass,,16.694012,,,,,Aleandro Rosi,7462.0,,,,,,1,From Throw In,Mirko Gori,20636.0,Right Center Midfield,4,Frosinone,291,['5f46083f-e2de-4996-b4f4-ccdc7aa5e482'],37,,,,,,,,,,,,,,,,Frosinone,291,00:00:37.705,Pass,
,,,,,,,,,,,,,,,,1.327562,,,,,,,,,,,,,43b67c90-73d8-4c57-84c5-590bc068500b,24,,,"[106.8, 75.0]",3879841,0,,,,,-1.5035222,a4748054-b648-4b6c-bcbd-48b475fb8e42,Right Foot,True,,"[108.7, 46.8]",,High Pass,,28.263935,,,,,Daniel Ciofani,13613.0,True,,,,,1,From Throw In,Aleandro Rosi,7462.0,Right Back,4,Frosinone,291,['8a8ba4ba-7f26-454c-8a91-1f1b83c8fb4d'],39,,,,,,,,,,,,,,,,Frosinone,291,00:00:39.435,Pass,
,,,,,,,,,,,,,,,,5.519703,,,,,,,,,,,,,3f72e69e-81c2-4a36-97dd-28ea276c55f7,29,,,"[7.0, 36.1]",3879841,1,,True,,,-0.17142166,,Right Foot,,,"[50.9, 28.5]",,High Pass,,44.553,,,,,Oscar Hiljemark,5605.0,,,,,Goal Kick,1,From Goal Kick,Stefano Sorrentino,7055.0,Goalkeeper,5,Palermo,2256,['3138c753-d17b-4525-b012-3dbdf59b7de1'],1,,,,,,,,,,,,,,,,Palermo,2256,00:01:01.599,Pass,
,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,c1012ef9-183f-4d54-9e98-e2664bee1a45,32,,,"[58.1, 28.5]",3879841,1,,,,True,-0.8334894,,,,,"[67.0, 18.7]",,High Pass,,13.238202,,,Unknown,,,,,,,,,1,From Goal Kick,Oscar Hiljemark,5605.0,Right Defensive Midfield,5,Palermo,2256,['6eb4a6dd-3259-4f63-9304-9cec57a8f5e4'],5,,,,,,,,,,,,,,,,Palermo,2256,00:01:05.180,Pass,True
,,,,,,,,,,,,,,,,1.402599,,,,,,,,,,,,,a2090ec0-29e5-4d50-81b1-969ee5e300d1,35,,,"[67.0, 18.7]",3879841,1,,,,,0.23264377,,Right Foot,,,"[95.7, 25.5]",,Ground Pass,,29.494576,,,,,Alberto Gilardino,38389.0,,,,,Free Kick,1,From Free Kick,Enzo Maresca,25954.0,Left Defensive Midfield,6,Palermo,2256,['9e6a6af6-cdb4-49a1-91be-c951ff67fe05'],18,,,,,,,,,,,,,,,,Palermo,2256,00:01:18.074,Pass,
,,,,,,,,,,,,,,,,0.999772,,,,,,,,,,,,,63e5c494-b6f7-4161-8cc3-1d831d44746d,38,,,"[95.7, 25.5]",3879841,1,,,,,-2.7842839,,Right Foot,,,"[88.2, 22.7]",,Ground Pass,,8.005623,,,,,Robin Quaison,8552.0,,,,,,1,From Free Kick,Alberto Gilardino,38389.0,Center Forward,6,Palermo,2256,['b11469fa-bcff-487f-9901-2a27d83594ef'],19,,,,,,,,,,,,,,,,Palermo,2256,00:01:19.557,Pass,
,,,,,,,,,,,,,,,,2.279546,,,,,,,,,,,,,bdda1aa2-91f6-4252-8f9b-6efd6dffd461,49,,,"[82.8, 0.1]",3879841,1,,,,,1.319214,,,,,"[89.2, 25.0]",,Low Pass,,25.709337,,,,,Franco Damián Vázquez,6719.0,,,,,Throw-in,1,From Throw In,Michel Morganella,31268.0,Left Wing Back,7,Palermo,2256,['2b7eadfa-e0a3-48c0-b6bc-c6593acb8182'],32,,,,,,,,,,,,,,,,Palermo,2256,00:01:32.363,Pass,
,,,,,,,,,,,,,,,,0.891897,,,,,,,,,,,,,6ae76c2d-85dd-4153-812d-bb0282c421e5,52,,,"[87.0, 27.1]",3879841,1,,,,,-1.4608124,,Left Foot,,,"[88.8, 10.8]",,Ground Pass,,16.399086,,,,,Robin Quaison,8552.0,,,,,,1,From Throw In,Franco Damián Vázquez,6719.0,Right Attacking Midfield,7,Palermo,2256,['68d6187f-ba0c-4fa6-9ad9-225232294164'],34,,,,,,,,,,,,,,,,Palermo,2256,00:01:34.921,Pass,
