50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.607798,,,,,,,,,,,,,02d3cfe7-f933-4363-b72c-8ac71a744f73,17,,"[47.3, 67.9]",3879874,0,,,,,-1.7145784,,Right Foot,,,"[43.0, 38.2]",,Ground Pass,,30.009665,,,,Santiago Juan Gentiletti Selak,8847.0,,,,,,1,From Kick Off,Milan Biševac,3103.0,Right Center Back,2,Lazio,236,['aad81201-3ece-4861-ad8a-c7ff45acedaa'],13,,,,,,,,,,,,,,,,Lazio,236,00:00:13.531,Pass,
,,,,,,,,,,,,,,,,3.055052,,,,,,,,,,,,,efa296ea-6e8a-4e0b-ac8f-527dc4faa036,21,,"[63.3, 28.7]",3879874,0,,,,,1.5841883,,Left Foot,,,"[62.7, 73.5]",,High Pass,,44.804016,,,,Abdoulay Konko,26683.0,,True,,,,1,From Kick Off,Santiago Juan Gentiletti Selak,8847.0,Left Center Back,2,Lazio,236,"['e30838d7-bd16-4102-8f9e-844d21b54dc0', 'ede9214e-a1e6-4e2f-9e90-9d57033ac48b']",20,,,,,,,,,,,,,,,,Lazio,236,00:00:20.357,Pass,True
,,,,,,,,,,,,,,,,1.96467,,,,,,,,,,,,,713ae69a-d982-4306-9b1d-28ab2d51a469,24,,"[63.5, 74.5]",3879874,0,,,,,-2.9677553,,Right Foot,,,"[43.0, 70.9]",,Ground Pass,,20.813698,,,,Milan Biševac,3103.0,,,,,,1,From Kick Off,Abdoulay Konko,26683.0,Right Back,2,Lazio,236,['aef84336-d082-4ca7-b5ac-71fc81bde591'],23,,,,,,,,,,,,,,,,Lazio,236,00:00:23.740,Pass,
,,,,,,,,,,,,,,,,3.68308,,,,,,,,,,,,,7b66c09f-6b37-4612-8b0a-7b41db6246fe,27,,"[48.9, 67.1]",3879874,0,,,,,-0.27434084,,Right Foot,,,"[99.0, 53.0]",,High Pass,,52.046326,,Incomplete,,Miroslav Klose,19286.0,,,,,,1,From Kick Off,Milan Biševac,3103.0,Right Center Back,2,Lazio,236,"['c47b428f-8a9f-4cf1-b0ed-01bfab867d51', 'c6a867f9-cee9-47be-91c7-993e5becd470']",28,,,,,,,,,,,,,,,,Lazio,236,00:00:28.522,Pass,
,,,,,,,,,,,,,,,,1.584456,,,,,,,,,,,,,4be8f9bd-e7b7-4ee8-959e-1ccecbe3857c,31,,"[107.5, 80.0]",3879874,0,,True,,,-0.98279375,,,,,"[116.1, 67.1]",,Low Pass,,15.50387,,,,Miroslav Klose,19286.0,,,,,Throw-in,1,From Throw In,Antonio Candreva,7776.0,Right Wing,3,Lazio,236,['17ed73ed-f355-4b88-b433-3f3e3d382816'],37,,,,,,,,,,,,,,,,Lazio,236,00:00:37.181,Pass,
,,,,,,,,,,,,,,,,1.135845,,,,,,,,,,,,,cf147dff-1451-4a4e-a3ee-91e4092581a6,33,,"[117.3, 66.7]",3879874,0,,,,,2.241318,,Right Foot,,,"[112.7, 72.5]",,Ground Pass,,7.4027023,,,,Antonio Candreva,7776.0,,,,,,1,From Throw In,Miroslav Klose,19286.0,Center Forward,3,Lazio,236,['0e00896c-45d0-4773-a886-c12469884041'],39,,,,,,,,,,,,,,,,Lazio,236,00:00:39.190,Pass,
,,,,,,,,,,,,,,,,0.501092,,,,,,,,,,,,,c29af07a-d193-4187-acaf-ebf8332850bd,36,,"[114.9, 70.7]",3879874,0,,,,,-1.5335464,,Right Foot,,,"[115.5, 54.6]",,High Pass,,16.111176,,,,Miroslav Klose,19286.0,,,,,,1,From Throw In,Antonio Candreva,7776.0,Right Wing,3,Lazio,236,['2969a01f-84d3-4b78-b193-409aba402f74'],43,,,,,,,,,,,,,,,,Lazio,236,00:00:43.109,Pass,
,,,,,,,,,,,,,,,,0.379521,,,,,,,,,,,,,3819b268-b32d-45c2-aab7-4f0809c100fd,38,,"[115.3, 54.2]",3879874,0,,,,,-1.6767807,,Head,True,,"[114.3, 44.8]",,High Pass,,9.453042,,Incomplete,,Marco Parolo,8173.0,,,,,,1,From Throw In,Miroslav Klose,19286.0,Center Forward,3,Lazio,236,"['71414993-fb6b-471b-8069-113b49eb0439', 'c232ce99-9e35-4c6c-9aa3-9a785dfc4d4f']",43,,,,,,,,,,,,,,,,Lazio,236,00:00:43.650,Pass,
,,,,,,,,,,,,,,,,1.199205,,,,,,,,,,,,,82f9a88d-2356-41bb-bcac-dbed7ea291e6,42,,"[120.0, 80.0]",3879874,1,,,,,-1.696599,,Right Foot,,,"[115.7, 46.0]",,High Pass,,34.270832,,Incomplete,True,,,,,Outswinging,,Corner,1,From Corner,Danilo Cataldi,7107.0,Center Defensive Midfield,4,Lazio,236,['3d761023-2e36-4d45-a3ec-ece7782dfd49'],16,,,,,,,,,,,,,,,,Lazio,236,00:01:16.277,Pass,
,,,,,,,,,,,,,,,,1.72652,,,,,,,,,,,,,33c434c0-d944-4238-9619-6f50dc461d47,44,,"[120.0, 80.0]",3879874,1,,,,,-1.7093871,,Right Foot,,,"[113.5, 33.4]",,High Pass,,47.051144,,Incomplete,True,Marco Parolo,8173.0,,True,Outswinging,,Corner,1,From Corner,Danilo Cataldi,7107.0,Center Defensive Midfield,5,Lazio,236,"['32d1798d-573a-4c85-aeed-db2859296064', 'c3346e00-0479-4594-8433-2fcb4dc3f21a']",34,,,,,,,,,,,,,,,,Lazio,236,00:01:34.794,Pass,
,,,,,,,,,,,,,,,,1.708342,,,,,,,,,,,,,723e1178-f616-4fc8-a7fc-cfeb62517df4,52,,"[61.0, 40.1]",3879874,2,,True,,,-2.6847477,,Right Foot,,,"[49.2, 34.3]",,Ground Pass,,13.148384,,,,Milan Badelj,6305.0,,,,,Kick Off,1,From Kick Off,Mauro Matías Zárate,27853.0,Center Forward,6,Fiorentina,239,['3785d033-6dcb-489f-9d5b-68cf9a7695ce'],21,,,,,,,,,,,,,,,,Fiorentina,239,00:02:21.545,Pass,
