50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.741465,,,,,,,,,,,,,42c6e454-77f8-48ca-ab6f-7f7680c4e62e,3001,,,"[92.6, 45.0]",3879622,87,,,,-1.8248848,,Right Foot,,,,"[83.9, 11.5]",,Ground Pass,,34.61127,,,Massimo Gobbi,8645.0,,,,,,2,Regular Play,Perparim Hetemaj,7046.0,Left Midfield,206,Chievo,231,['5ec8e5bb-b2e8-4c9f-855f-47e29cd576f5'],14,,,,,,,,,,,,,,,,,Chievo,231,00:42:14.204,Pass,
,,,,,,,,,,,,,,,,,1.137168,,,,,,,,,,,,,b1961849-a648-41a5-ae55-926cc886d93a,3004,,,"[82.1, 12.0]",3879622,87,,,,-0.6489956,,Right Foot,,,,"[93.7, 3.2]",,Ground Pass,,14.56022,,,Lucas Nahuel Castro,7049.0,,,,,,2,Regular Play,Massimo Gobbi,8645.0,Left Back,206,Chievo,231,['cce3a305-e084-4f67-b5e2-572d1211cc00'],16,,,,,,,,,,,,,,,,,Chievo,231,00:42:16.291,Pass,
,,,,,,,,,,,,,,,,,1.882689,,,,,,,,,,,,,42d92dff-ce9f-4f64-848c-8e2eee7773fc,3008,,,"[97.6, 5.6]",3879622,87,,,,0.116261646,,Right Foot,,,,"[111.3, 7.2]",,Ground Pass,,13.793115,,,Massimo Gobbi,8645.0,,,,,,2,Regular Play,Lucas Nahuel Castro,7049.0,Left Center Forward,206,Chievo,231,"['2f1334db-867a-4c43-bffb-b2a6e5eb5a66', 'd967ee90-64b3-4347-8645-38ecdbe4949c']",19,,,,,,,,,,,,,,,,,Chievo,231,00:42:19.218,Pass,True
,,,,,,,,,,,,,,,,,0.831501,,,,,,,,,,,,,1c4a125f-0066-436c-9851-f412aa0af83c,3011,,,"[119.0, 20.1]",3879622,87,,,,1.702727,,Left Foot,True,,,"[116.2, 41.2]",,High Pass,,21.284971,Incomplete,,,,,,,,,2,Regular Play,Massimo Gobbi,8645.0,Left Back,206,Chievo,231,['4e9f1f26-d22c-4a49-a80e-857bc12f60f9'],22,,,,,,,,,,,,,,,,,Chievo,231,00:42:22.402,Pass,
,,,,,,,,,,,,,,,,,3.764939,,,,,,,,,,,,,398989aa-003a-4d32-93fc-5ffb7dc1d72f,3014,,,"[16.4, 39.6]",3879622,87,,,,0.028332498,,Drop Kick,,,,"[65.8, 41.0]",,High Pass,,49.419834,,,Kevin Lasagna,7793.0,,,,,,2,From Keeper,Vid Belec,8662.0,Goalkeeper,207,Carpi,1683,['6e7dab82-87ad-495d-9a15-9960690b18e8'],27,,,,,,,,,,,,,,,,,Carpi,1683,00:42:27.023,Pass,
,,,,,,,,,,,,,,,,,0.981885,,,,,,,,,,,,,52c2df28-022b-403b-8b43-3ff9d9f5c94b,3021,,,"[65.2, 27.5]",3879622,87,,,,-0.7012599,,Right Foot,,,,"[74.2, 19.9]",,Ground Pass,,11.779643,,,Massimo Gobbi,8645.0,,,,,,2,Regular Play,Nicola Rigoni,7041.0,Right Defensive Midfield,208,Chievo,231,['23477b63-9c02-46c4-9785-8b886c33a6b7'],34,,,,,,,,,,,,,,,,,Chievo,231,00:42:34.427,Pass,
,,,,,,,,,,,,,,,,,0.611117,,,,,,,,,,,,,ce9c2372-1020-45f1-b505-8219ec0de2f4,3024,,,"[74.9, 12.5]",3879622,87,,,,2.0303953,,Left Foot,,,,"[70.0, 22.4]",,Ground Pass,,11.046267,,,Nicola Rigoni,7041.0,,,,,,2,Regular Play,Massimo Gobbi,8645.0,Left Back,208,Chievo,231,['ecd97c15-28ff-4f64-a71c-98165ecb8745'],35,,,,,,,,,,,,,,,,,Chievo,231,00:42:35.468,Pass,
,,,,,,,,,,,,,,,,,0.997275,,,,,,,,,,,,,7c94792c-630d-4255-b048-c56cee8b489e,3027,,,"[72.3, 18.2]",3879622,87,,,,-1.3650538,,Right Foot,,,,"[74.7, 6.7]",,Ground Pass,,11.747766,,,Massimo Gobbi,8645.0,,,,,,2,Regular Play,Nicola Rigoni,7041.0,Right Defensive Midfield,208,Chievo,231,['c4908cd5-247a-46bd-9640-3d3676e9b091'],36,,,,,,,,,,,,,,,,,Chievo,231,00:42:36.708,Pass,
,,,,,,,,,,,,,,,,,0.359087,,,,,,,,,,,,,7d5b75c8-46eb-4846-a3f8-b0b4997e018f,3030,,,"[74.7, 6.7]",3879622,87,,,,-0.08975817,,Left Foot,,,,"[84.7, 5.8]",,Ground Pass,,10.040419,,,Lucas Nahuel Castro,7049.0,,,,,,2,Regular Play,Massimo Gobbi,8645.0,Left Back,208,Chievo,231,['31d898d4-5ff8-411a-8e0b-69b8ff7982a7'],38,,,,,,,,,,,,,,,,,Chievo,231,00:42:38.842,Pass,
,,,,,,,,,,,,,,,,,1.664742,,,,,,,,,,,,,75d5c205-c54d-4276-87af-161dd6b00b09,3033,,,"[84.7, 5.8]",3879622,87,,,,-0.008733402,,Right Foot,,,,"[107.6, 5.6]",,Ground Pass,,22.900873,,,Nicola Rigoni,7041.0,,,,,,2,Regular Play,Lucas Nahuel Castro,7049.0,Left Center Forward,208,Chievo,231,['b6a0db0e-c7a6-42bd-b4af-13c8d2b04e1a'],40,,,,,,,,,,,,,,,,,Chievo,231,00:42:40.059,Pass,
,,,,,,,,,,,,,,,,,0.091639,,,,,,,,,,,,,e86cff4c-580f-4a77-8c4d-5963fe64d678,3041,,,"[6.2, 73.4]",3879622,87,,,,0.0,,Right Foot,,,,"[10.7, 73.4]",,Ground Pass,,4.5,Incomplete,,,,,,,,,2,Regular Play,Riccardo Gagliolo,11499.0,Left Center Back,208,Chievo,231,"['7f2d915c-ad6d-4a12-93f3-a0b1120deee6', '9dacd7ae-1359-4341-9251-04bff071043f']",45,,,,,,,,,,,,,,,,,Carpi,1683,00:42:45.899,Pass,True
,,,,,,,,,,,,,,,,,1.739598,,,,,,,,,,,,,e5e1f156-692a-47d9-809f-03ba8ad6266d,3043,,,"[33.5, 80.0]",3879622,87,,,,-0.7853982,,,,,,"[50.5, 63.0]",,High Pass,,24.04163,Incomplete,,,,,,,,Throw-in,2,From Throw In,Gaetano Letizia,7114.0,Right Back,209,Carpi,1683,['76d45d26-122f-41c9-bb9a-0a5824b0ad3f'],59,,,,,,,,,,,,,,,,,Carpi,1683,00:42:59.979,Pass,
,,,,,,,,,,,,,,,,,1.761476,,,,,,,,,,,,,1ad6c14a-592c-4360-803d-9e3e75ff41c7,3047,,,"[63.3, 23.4]",3879622,88,,,,-0.61656624,,Right Foot,,,,"[83.9, 8.8]",,High Pass,,25.249159,,,Perparim Hetemaj,7046.0,,,,,Free Kick,2,From Free Kick,Ivan Radovanović,7042.0,Left Defensive Midfield,210,Chievo,231,['32727099-0e50-44bf-a19b-2309f92ffdfc'],16,,,,,,,,,,,,,,,,,Chievo,231,00:43:16.673,Pass,
,,,,,,,,,,,,,,,,,3.089884,,,,,,,,,,,,,8039366f-793c-40ea-a7d5-616cc372847c,3051,,,"[89.8, 12.9]",3879622,88,,,,-0.071307465,,Right Foot,,,,"[108.0, 11.6]",,Ground Pass,,18.24637,,,Lucas Nahuel Castro,7049.0,,,,,,2,From Free Kick,Perparim Hetemaj,7046.0,Left Midfield,210,Chievo,231,['334fdb2f-c1a8-4778-a951-b9085a9b20fd'],22,,,,,,,,,,,,,,,,,Chievo,231,00:43:22.577,Pass,
,,,,,,,,,,,,,,,,,5.166014,,,,,,,,,,,,,d77edda4-371d-4385-b3ca-22037baa2363,3055,,,"[114.7, 19.2]",3879622,88,,,,1.5707964,,Left Foot,,,,"[114.7, 23.7]",,High Pass,,4.5,,,Nicolas Sebastian Frey,23324.0,,,,,,2,From Free Kick,Lucas Nahuel Castro,7049.0,Left Center Forward,210,Chievo,231,['2b1a9c1d-5acc-4382-9dc2-9088ad598594'],26,,,,,,,,,,,,,,,,,Chievo,231,00:43:26.620,Pass,
,,,,,,,,,,,,,,,,,1.405912,,,,,,,,,,,,,af824054-7e41-4552-8a26-19a89cb44f46,3058,,,"[79.1, 78.0]",3879622,88,,,,-1.6239377,,Right Foot,,,,"[78.6, 68.6]",,Ground Pass,,9.413288,,,Ivan Radovanović,7042.0,,,,,,2,From Free Kick,Nicolas Sebastian Frey,23324.0,Right Back,210,Chievo,231,['510fd09d-7a74-441e-91e9-756643a29da8'],32,,,,,,,,,,,,,,,,,Chievo,231,00:43:32.985,Pass,
