50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,d7b60188-79ee-4f6c-bc09-f684ddfc321f,1,,,3879749,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 55}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6984, 'name': ""Danilo D''Ambrosio""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 83}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 77}, {'player': {'id': 11497, 'name': 'Jonathan Ludovic Biabiany'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 44}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,b700d496-eafa-40e4-85c0-e5e646fd3b94,2,,,3879749,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 387417, 'name': 'Mattia Cassani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7962, 'name': 'Andrea Ranocchia'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 36364, 'name': 'Dávid Ivan'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 95}, {'player': {'id': 25505, 'name': 'José Rodolfo Pires Ribeiro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8875, 'name': 'Ricardo Gabriel Álvarez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6822, 'name': 'Carlos Joaquín Correa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7011, 'name': 'Fabio Quagliarella'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,7f6f3bd1-474b-4c19-8bc9-12519262d812,3,,,3879749,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['37ea76db-2e7f-459d-a82d-b3d80c5a8c36'],0,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,37ea76db-2e7f-459d-a82d-b3d80c5a8c36,4,,,3879749,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['7f6f3bd1-474b-4c19-8bc9-12519262d812'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,ed78b5c0-bf44-4565-ad18-476bf0f56dd4,1776,,,3879749,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Inter Milan,238,['a9bd243d-aa71-4ff0-ad0d-303e4c33f70c'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,a9bd243d-aa71-4ff0-ad0d-303e4c33f70c,1777,,,3879749,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Inter Milan,238,['ed78b5c0-bf44-4565-ad18-476bf0f56dd4'],0,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.342303,,,,,,,,,,8f67abcf-61a1-436b-94b8-f4bf432e4c71,5,,"[61.0, 40.1]",3879749,0,,,,2.1025205,,Right Foot,,"[60.0, 41.8]",,Ground Pass,,1.9723083,,,Fabio Quagliarella,7011.0,,,,,Kick Off,1,From Kick Off,Carlos Joaquín Correa,6822.0,Left Wing,2,Sampdoria,234,['81a212dd-e8ec-47cc-998c-05cc9b4fe3a0'],0,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.803,Pass,
,,,,,,,,,,,,,,,1.260053,,,,,,,,,,78fb882a-31d2-43a0-9944-3e060b87e79f,7,,"[58.7, 42.5]",3879749,0,,,,-2.7060502,,Right Foot,,"[48.6, 37.8]",,Ground Pass,,11.1400175,,,Roberto Soriano,6759.0,,,,,,1,From Kick Off,Fabio Quagliarella,7011.0,Center Forward,2,Sampdoria,234,['3ab4bca7-3698-4a1f-bbb3-1b6b8ae2f76f'],1,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:01.145,Pass,
,,,,,,,,,,,,,,,2.919594,,,,,,,,,,7872d5fd-807f-4c3a-a8ea-de848221385b,9,,"[48.4, 38.0]",3879749,0,,,,2.2551482,,Left Foot,,"[25.8, 65.7]",,Ground Pass,,35.749825,,,Mattia Cassani,387417.0,,,,,,1,From Kick Off,Roberto Soriano,6759.0,Left Defensive Midfield,2,Sampdoria,234,['70f8c5a6-1e64-4db3-aff5-c286ba0e17cc'],2,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:02.405,Pass,
,,,,,,,,,,,,,,,1.636216,,,,,,,,,,8c176f70-196a-4700-b114-cba491bb5b4b,12,,"[22.5, 60.2]",3879749,0,,,,-1.7880898,,Right Foot,,"[19.1, 44.8]",,Ground Pass,,15.770859,,,Andrea Ranocchia,7962.0,,,,,,1,From Kick Off,Mattia Cassani,387417.0,Right Center Back,2,Sampdoria,234,['99ba0089-a5d5-4718-ad9d-e9356fd406d2'],7,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:07.079,Pass,
,,,,,,,,,,,,,,,1.509725,,,,,,,,,,631b778a-120e-4c77-9a63-322dd1d2299d,15,,"[23.2, 45.3]",3879749,0,,,,-1.6924942,,Right Foot,,"[21.5, 31.4]",,Ground Pass,,14.003571,,,Matías Agustín Silvestre,7019.0,,,,,,1,From Kick Off,Andrea Ranocchia,7962.0,Center Back,2,Sampdoria,234,['f9befe84-0662-4223-8bd3-a210909c2dee'],9,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:09.988,Pass,
,,,,,,,,,,,,,,,1.022238,,,,,,,,,,5e066cda-9670-42e1-90f9-26873293a75c,19,,"[26.9, 28.3]",3879749,0,,,,-1.1479424,,Right Foot,,"[36.8, 6.3]",,Ground Pass,,24.124884,,,José Rodolfo Pires Ribeiro,25505.0,,,,,,1,From Kick Off,Matías Agustín Silvestre,7019.0,Left Center Back,2,Sampdoria,234,"['1e8f9d7b-d8f8-4250-9dae-238fc16bf092', 'e91e968f-e6c5-441c-a438-6581e3bfdb7d']",12,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:12.840,Pass,True
,,,,,,,,,,,,,,,2.6414,,,,,,,,,,6239b034-d529-4cab-addd-e0fd621f364c,22,,"[36.8, 6.3]",3879749,0,,,,0.29701498,,Right Foot,,"[74.7, 17.9]",,High Pass,,39.635464,Incomplete,,Fabio Quagliarella,7011.0,,,,,,1,From Kick Off,José Rodolfo Pires Ribeiro,25505.0,Left Wing Back,2,Sampdoria,234,"['1f6a1b04-46e4-4e27-ba90-fd915c84e3f0', '941899d8-4688-438e-92c4-4e24b85c4bab']",13,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:13.873,Pass,
,,,,,,,,,,,,,,,2.034395,,,,,,,,,,941899d8-4688-438e-92c4-4e24b85c4bab,24,,"[45.4, 62.2]",3879749,0,,,,0.12219517,,Head,,"[51.1, 62.9]",,High Pass,,5.7428217,,,Marcelo Brozović,5469.0,,,,,Recovery,1,From Kick Off,João Miranda de Souza Filho,5551.0,Right Center Back,2,Sampdoria,234,"['2203a05b-74fb-4a74-bc09-02cda0d32e2f', '6239b034-d529-4cab-addd-e0fd621f364c']",16,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:16.514,Pass,
,,,,,,,,,,,,,,,1.848726,,,,,,,,,,6b5e374c-25ba-4385-9811-ccafd6c9fc83,27,,"[51.6, 63.6]",3879749,0,,,True,1.531855,,,,"[52.2, 79.0]",,High Pass,,15.411684,Out,,Yuto Nagatomo,5690.0,,,,,,1,From Kick Off,Marcelo Brozović,5469.0,Left Defensive Midfield,2,Sampdoria,234,"['8b3a1b0f-c2cf-42c3-8f61-f057156a4ff0', 'f860fd22-7b5f-4735-a57f-13721617877a']",18,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:18.567,Pass,True
,,,,,,,,,,,,,,,1.023222,,,,,,,,,,d158177c-91ec-42ef-9071-1f54d7edcf19,29,,"[64.6, 0.1]",3879749,0,True,,,2.3617194,,,,"[55.5, 9.1]",,Low Pass,,12.798828,,,Matías Agustín Silvestre,7019.0,,,,,Throw-in,1,From Throw In,José Rodolfo Pires Ribeiro,25505.0,Left Wing Back,3,Sampdoria,234,['ebc327dc-0ee0-4c33-8522-41b1d42bf1e4'],32,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:32.487,Pass,
