50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dfd1431c-3a23-4235-a4c2-d19082e967b4,1,,,3879589,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 7462, 'name': 'Aleandro Rosi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 174418, 'name': 'Modibo Diakité'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 387847, 'name': 'Leonardo Blanchard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 296873, 'name': 'Roberto Crivello'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9903, 'name': 'Yussif Raman Chibsah'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 20636, 'name': 'Mirko Gori'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23470, 'name': 'Luca Paganini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 11608, 'name': 'Danilo Soddimo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 13613, 'name': 'Daniel Ciofani'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 24235, 'name': 'Federico Dionisi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3513c7da-ee1a-4260-b274-add8fd233f37,2,,,3879589,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 8278, 'name': 'Nicolás Federico Spolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 39}, {'player': {'id': 7696, 'name': 'Ryder Matos Santos'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 28442, 'name': 'Matteo Fedele'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 58}, {'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,afc58745-693f-4ef1-8e4b-ba7afc78e223,3,,,3879589,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['a5271267-3b13-48c6-b54c-682795716036'],0,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a5271267-3b13-48c6-b54c-682795716036,4,,,3879589,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['afc58745-693f-4ef1-8e4b-ba7afc78e223'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3171307b-b9a1-40fb-bd80-138d3147f5c2,1440,,,3879589,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Carpi,1683,['54441638-31ca-44f4-af35-f04a3f5cf674'],0,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,54441638-31ca-44f4-af35-f04a3f5cf674,1441,,,3879589,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Carpi,1683,['3171307b-b9a1-40fb-bd80-138d3147f5c2'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.596317,,,,,,,,,,,,,,e16bc6ff-6f64-423a-9806-2834b62d2d1d,5,,"[61.0, 40.1]",3879589,0,,,,,1.2627436,,Left Foot,,,"[61.7, 42.3]",,Ground Pass,,2.3086793,,,,Isaac Cofie,7460.0,,,,,Kick Off,1,From Kick Off,Marco Borriello,8871.0,Center Forward,2,Carpi,1683,['9219974b-4c32-491a-bcce-ef0595ecb9b0'],1,,,,,,,,,,,,,,,,Carpi,1683,00:00:01.265,Pass,
,,,,,,,,,,,,,,,,0.951597,,,,,,,,,,,,,,6a746086-9e65-489c-bab4-f659961f3570,7,,"[61.4, 43.2]",3879589,0,,,,,3.1219873,,Right Foot,,,"[46.1, 43.5]",,Ground Pass,,15.302941,,,,Luca Marrone,31572.0,,,,,,1,From Kick Off,Isaac Cofie,7460.0,Right Center Midfield,2,Carpi,1683,['298f6c25-1d2f-4640-8cde-9a4421354838'],1,,,,,,,,,,,,,,,,Carpi,1683,00:00:01.861,Pass,
,,,,,,,,,,,,,,,,2.788964,,,,,,,,,,,,,,5b6b487a-7b97-458c-8266-23a3d0d90cc4,10,,"[48.6, 43.2]",3879589,0,,,,,-0.7227739,,Right Foot,,,"[96.9, 0.6]",,High Pass,,64.40225,,Out,,Antonio Di Gaudio,11502.0,,True,,,,1,From Kick Off,Luca Marrone,31572.0,Center Defensive Midfield,2,Carpi,1683,['5d61db47-f04d-4a26-95b9-c795ce9424ca'],3,,,,,,,,,,,,,,,,Carpi,1683,00:00:03.805,Pass,
,,,,,,,,,,,,,,,,1.458828,,,,,,,,,,,,,,bb12787d-6fc3-436a-9c2a-a765f62257d3,12,,"[28.2, 80.0]",3879589,0,,,,,-1.6278771,,,,,"[27.6, 69.5]",,Low Pass,,10.517129,,,,Mirko Gori,20636.0,,,,,Throw-in,1,From Throw In,Aleandro Rosi,7462.0,Right Back,3,Frosinone,291,['d09c2f76-2b05-4bee-91dd-68419c78b58e'],15,,,,,,,,,,,,,,,,Frosinone,291,00:00:15.142,Pass,
