50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a265b24e-f1d3-44ed-b0bd-c14aabf3a14e,1,,,,3879618,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5541, 'name': 'Stephan Lichtsteiner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7013, 'name': 'Stefano Sturaro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 25345, 'name': 'Anderson Hernanes de Carvalho Andrade'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,282bc61a-bfa7-4285-bf97-6503297e82f0,2,,,,3879618,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 7702, 'name': 'Alessio Cerci'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,133724eb-d676-43f5-8489-dfab99938096,3,,,,3879618,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['a091b3c0-1fcf-4512-80f6-3a90069cd7dd'],0,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a091b3c0-1fcf-4512-80f6-3a90069cd7dd,4,,,,3879618,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['133724eb-d676-43f5-8489-dfab99938096'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,18e083bf-4809-4911-af21-45b3a519223a,1806,,,,3879618,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Juventus,224,['484e3681-aba6-4b02-8305-e8532900c4c5'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,484e3681-aba6-4b02-8305-e8532900c4c5,1807,,,,3879618,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Juventus,224,['18e083bf-4809-4911-af21-45b3a519223a'],0,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.326804,,,,,,,,,,,,,62620bcb-da8d-4c5f-a338-ea94f59089f3,5,,,"[60.0, 40.0]",3879618,0,True,,,1.5273454,,Right Foot,,,,"[60.1, 42.3]",,Ground Pass,,2.302173,,,Riccardo Montolivo,7166.0,,,,,Kick Off,1,From Kick Off,Carlos Arturo Bacca Ahumada,5688.0,Center Forward,2,AC Milan,243,['47f3f51c-3e80-4703-b7df-08c61bd11134'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.646,Pass,
,,,,,,,,,,,,,,,,1.575769,,,,,,,,,,,,,46219f80-28e2-422a-b73f-0ecbb843ec73,7,,,"[62.4, 43.1]",3879618,0,,,,1.8839818,,Right Foot,,,,"[53.3, 71.2]",,Ground Pass,,29.536757,,,Ignazio Abate,7463.0,,,,,,1,From Kick Off,Riccardo Montolivo,7166.0,Center Defensive Midfield,2,AC Milan,243,['063703ab-6688-47b6-91ec-fcb945595e4f'],1,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:01.925,Pass,
,,,,,,,,,,,,,,,,3.856787,,,,,,,,,,,,,4141c783-ee27-4ff7-b250-7e8305581168,10,,,"[54.5, 71.4]",3879618,0,,,,-0.27659464,,Right Foot,,,,"[116.5, 53.8]",,High Pass,,64.44967,Incomplete,,Alessio Cerci,7702.0,,,,,,1,From Kick Off,Ignazio Abate,7463.0,Right Back,2,AC Milan,243,"['8c9870f5-2eca-443b-b9a9-de6b2ba70280', 'b1450f9d-8667-4cbe-b424-822b40e3eba4']",4,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:04.444,Pass,
,,,,,,,,,,,,,,,,1.493186,,,,,,,,,,,,,01a63444-daf4-4f67-a88b-dd5aa82cf0b8,14,,,"[7.1, 32.3]",3879618,0,,,,0.013422012,,Keeper Arm,,,,"[22.0, 32.5]",,Ground Pass,,14.901342,,,Claudio Marchisio,8294.0,,,,,,1,Regular Play,Gianluigi Buffon,6949.0,Goalkeeper,3,Juventus,224,['549d4ead-0dba-4cbf-a0a3-2692fa8428b5'],10,,,,,,,,,,,,,,,,,,Juventus,224,00:00:10.731,Pass,
,,,,,,,,,,,,,,,,1.231417,,,,,,,,,,,,,319ef5f0-e8a3-487f-ae68-d55830a5e989,17,,,"[21.2, 30.6]",3879618,0,,,,-2.4013252,,Right Foot,,,,"[13.1, 23.2]",,Ground Pass,,10.971326,,,Giorgio Chiellini,6954.0,,,,,,1,Regular Play,Claudio Marchisio,8294.0,Center Defensive Midfield,3,Juventus,224,['99a9e47f-d8d4-4fd1-8e3d-f81228b74a29'],13,,,,,,,,,,,,,,,,,,Juventus,224,00:00:13.499,Pass,
,,,,,,,,,,,,,,,,1.801067,,,,,,,,,,,,,2ae661a8-0889-439c-923a-b0df732fbcce,20,,,"[20.8, 32.5]",3879618,0,,,,2.1156602,,Left Foot,,,,"[8.8, 52.3]",,Ground Pass,,23.152538,,,Gianluigi Buffon,6949.0,,,,,,1,Regular Play,Giorgio Chiellini,6954.0,Left Center Back,3,Juventus,224,['aa051e84-bb2c-4bbb-a854-4fe569ec93d2'],17,,,,,,,,,,,,,,,,,,Juventus,224,00:00:17.236,Pass,
,,,,,,,,,,,,,,,,1.321353,,,,,,,,,,,,,f32113b1-dbf4-4cb7-9f20-11d06a17109a,23,,,"[9.0, 52.5]",3879618,0,,,,1.2755882,,Right Foot,,,,"[14.2, 69.6]",,Ground Pass,,17.873165,,,Andrea Barzagli,6943.0,,,,,,1,Regular Play,Gianluigi Buffon,6949.0,Goalkeeper,3,Juventus,224,['c26eda37-fbd4-4d9c-bcbd-3d77945d8316'],19,,,,,,,,,,,,,,,,,,Juventus,224,00:00:19.586,Pass,
,,,,,,,,,,,,,,,,3.318431,,,,,,,,,,,,,dc693134-fa12-47f2-88f4-3d4914b7c46d,27,,,"[16.2, 74.8]",3879618,0,,,,-0.2794205,,Right Foot,,,,"[75.1, 57.9]",,High Pass,,61.276585,,,Paulo Bruno Exequiel Dybala,5743.0,,,,,,1,Regular Play,Andrea Barzagli,6943.0,Right Center Back,3,Juventus,224,"['bba6248b-6f9a-42b7-a5a0-f9af3d9cb5a5', 'f0578945-892e-44e9-8f4e-2a3f1a0bc30a']",22,,,,,,,,,,,,,,,,,,Juventus,224,00:00:22.668,Pass,True
,,,,,,,,,,,,,,,,0.887192,,,,,,,,,,,,,049a901d-e6a2-4951-86d8-ae2059774025,33,,,"[104.6, 76.0]",3879618,0,,,,-1.530278,,Right Foot,,,,"[105.2, 61.2]",,Ground Pass,,14.812158,,,Paulo Bruno Exequiel Dybala,5743.0,,,,,,1,Regular Play,Stefano Sturaro,7013.0,Right Center Midfield,3,Juventus,224,['adb36565-4c49-4924-b4cd-0be7a19358e5'],30,,,,,,,,,,,,,,,,,,Juventus,224,00:00:30.999,Pass,
,,,,,,,,,,,,,,,,0.143797,,,,,,,,,,,,,6879646d-f2aa-44c5-aebf-a1d9fc703981,36,,,"[104.6, 58.7]",3879618,0,,,,-1.2329181,,Left Foot,,,,"[105.9, 55.0]",,Ground Pass,,3.9217343,Incomplete,,Paul Pogba,20004.0,,,,,,1,Regular Play,Paulo Bruno Exequiel Dybala,5743.0,Left Center Forward,3,Juventus,224,"['6de49570-5bf3-4a81-aa66-fef6768af01b', '6f9c4ca4-db8c-4bce-9b64-ab63a6abf317']",35,,,,,,,,,,,,,,,,,,Juventus,224,00:00:35.098,Pass,
,,,,,,,,,,,,,,,,1.546853,,,,,,,,,,,,,4d000694-b753-47bd-aed9-9963333464eb,41,,,"[84.6, 80.0]",3879618,1,,,,-0.19232975,,,,,,"[103.6, 76.3]",,Low Pass,,19.35691,,,Paulo Bruno Exequiel Dybala,5743.0,,,,,Throw-in,1,From Throw In,Stephan Lichtsteiner,5541.0,Right Back,4,Juventus,224,['3c564b58-2474-488b-8565-4e383ef8e8bf'],7,,,,,,,,,,,,,,,,,,Juventus,224,00:01:07.082,Pass,
,,,,,,,,,,,,,,,,0.680301,,,,,,,,,,,,,8b0501d9-51fd-433f-8969-1fa5b07a147f,44,,,"[106.5, 74.0]",3879618,1,,,,-1.3209555,,Left Foot,,,,"[110.2, 59.5]",,Low Pass,,14.964625,Incomplete,,Mario Mandžukić,5472.0,,,,,,1,From Throw In,Paulo Bruno Exequiel Dybala,5743.0,Left Center Forward,4,Juventus,224,"['4ce08595-26c6-4f77-9c0f-caf5f48627ae', 'ede83e04-b7e0-438d-9a5c-77de5aaf8a44']",10,,,,,,,,,,,,,,,,,,Juventus,224,00:01:10.888,Pass,
,,,,,,,,,,,,,,,,1.6116,,,,,,,,,,,,,d82db036-97e0-4a70-a6f1-66d20a1cfb78,47,,,"[14.7, 13.1]",3879618,1,,,,-0.31954306,,Head,,,,"[28.3, 8.6]",,High Pass,,14.325152,,,M''Baye Babacar Niang,5661.0,,,,,Recovery,1,From Counter,Giacomo Bonaventura,7026.0,Left Center Midfield,5,AC Milan,243,['233c489c-bea0-4087-b762-f76a780f13b9'],12,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:12.589,Pass,
,,,,,,,,,,,,,,,,1.063391,,,,,,,,,,,,,d9ff4b10-f958-4bfa-8f71-f90bc8b7d904,54,,,"[54.5, 0.1]",3879618,1,,,,0.19990812,,,,,,"[69.8, 3.2]",,High Pass,,15.610893,,,M''Baye Babacar Niang,5661.0,,,,,Throw-in,1,From Throw In,Luca Antonelli,8874.0,Left Back,6,AC Milan,243,['fdd03a9c-f2c1-4209-851e-8b25d7ad42ed'],27,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:27.913,Pass,
,,,,,,,,,,,,,,,,0.80707,,,,,,,,,,,,,668524ab-57ec-4ce1-bd59-0c90b4c29639,58,,,"[65.3, 2.8]",3879618,1,,,,-2.9702134,,Right Foot,,,,"[54.9, 1.0]",,Ground Pass,,10.55462,,,Luca Antonelli,8874.0,,,,,,1,From Throw In,M''Baye Babacar Niang,5661.0,Left Wing,6,AC Milan,243,['956364f0-a227-462d-86f6-2926d95296c2'],30,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:30.658,Pass,
,,,,,,,,,,,,,,,,0.917237,,,,,,,,,,,,,4c94b958-fa9b-4e6e-b53f-9e9ad29cf171,61,,,"[55.8, 1.6]",3879618,1,,,,0.90709597,,Left Foot,,,,"[61.9, 9.4]",,Ground Pass,,9.90202,,,Giacomo Bonaventura,7026.0,,,,,,1,From Throw In,Luca Antonelli,8874.0,Left Back,6,AC Milan,243,['42bf34c2-b602-4314-a3d8-525bb65f8646'],32,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:32.896,Pass,
,,,,,,,,,,,,,,,,3.751933,,,,,,,,,,,,,e3a4cee6-8335-45fb-b975-f9da2a1692bf,81,,,"[6.0, 36.0]",3879618,3,,,,0.20728564,,Right Foot,,,,"[77.8, 51.1]",,High Pass,,73.370636,,,Carlos Arturo Bacca Ahumada,5688.0,,,,,Goal Kick,1,From Goal Kick,Gianluigi Donnarumma,7036.0,Goalkeeper,9,AC Milan,243,['c389343e-0039-4c1c-8051-8b0e1b507297'],22,,,,,,,,,,,,,,,,,,AC Milan,243,00:03:22.434,Pass,
,,,,,,,,,,,,,,,,0.455899,,,,,,,,,,,,,249e3951-e560-4c26-951c-df6f91a4fa20,84,,,"[77.8, 51.1]",3879618,3,,,,-2.0344439,,Other,,,,"[74.5, 44.5]",,Low Pass,,7.3790245,Incomplete,,Juraj Kucka,10919.0,,,,,,1,From Goal Kick,Carlos Arturo Bacca Ahumada,5688.0,Center Forward,9,AC Milan,243,"['15bf08b2-d9df-4f42-997e-8683619fffe3', 'eb43b82a-d36f-4d14-bb9a-fc2bb7253d55']",26,,,,,,,,,,,,,,,,,,AC Milan,243,00:03:26.224,Pass,
,,,,,,,,,,,,,,,,1.783885,,,,,,,,,,,,,15bf08b2-d9df-4f42-997e-8683619fffe3,86,,,"[45.6, 35.6]",3879618,3,,,,2.7744188,,Right Foot,,,,"[27.4, 42.6]",,Ground Pass,,19.499744,,,Andrea Barzagli,6943.0,,,,,Recovery,1,From Goal Kick,Claudio Marchisio,8294.0,Center Defensive Midfield,9,AC Milan,243,"['249e3951-e560-4c26-951c-df6f91a4fa20', 'd392dce1-9391-483c-9b8c-7f68f650e1e6']",26,,,,,,,,,,,,,,,,,,Juventus,224,00:03:26.680,Pass,
,,,,,,,,,,,,,,,,3.842359,,,,,,,,,,,,,6b7dbd77-1652-4055-89a4-2522deb23a59,89,,,"[64.3, 34.7]",3879618,3,,,,-0.033163194,,Left Foot,,,,"[106.5, 33.3]",,Ground Pass,,42.223217,Incomplete,,Paulo Bruno Exequiel Dybala,5743.0,,,,,,1,From Goal Kick,Andrea Barzagli,6943.0,Right Center Back,9,AC Milan,243,"['8619812e-7c2f-40f4-8eea-a59fabdaf5f3', 'da448553-9548-4b5b-8203-5b98046e4705']",36,,,,,,,,,,,,,,,,,,Juventus,224,00:03:36.170,Pass,
,,,,,,,,,,,,,,,,1.148015,,,,,,,,,,,,,cf2add51-010a-4efa-8255-44342ff91d05,93,,,"[13.6, 49.5]",3879618,3,,,,0.87697804,,Keeper Arm,,,,"[22.5, 60.2]",,Ground Pass,,13.917615,,,Alex Rodrigo Dias da Costa,40945.0,,,,,,1,From Goal Kick,Gianluigi Donnarumma,7036.0,Goalkeeper,9,AC Milan,243,['691dfb5b-38cf-49d3-92a8-6464410d17b4'],41,,,,,,,,,,,,,,,,,,AC Milan,243,00:03:41.423,Pass,
,,,,,,,,,,,,,,,,1.036497,,,,,,,,,,,,,61c24ace-41d1-4e9a-a03b-36a71c82549c,96,,,"[24.0, 61.5]",3879618,3,,,,-0.21147914,,Right Foot,,,,"[41.7, 57.7]",,Ground Pass,,18.103315,,,Juraj Kucka,10919.0,,,,,,1,From Goal Kick,Alex Rodrigo Dias da Costa,40945.0,Right Center Back,9,AC Milan,243,['9f33aa94-6ab8-4564-98b1-f41a41c86f06'],43,,,,,,,,,,,,,,,,,,AC Milan,243,00:03:43.552,Pass,
