50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.683457,,,,,,,,,,,,,56b812a7-acac-49ef-86e5-3b1a3a0e9d54,14,,,"[11.8, 11.2]",3879613,0,,,,,1.8533512,,Right Foot,,"[5.5, 32.9]",,Ground Pass,,22.596018,,,Gianluigi Buffon,6949.0,,,,,,1,From Throw In,Leonardo Bonucci,7173.0,Left Center Back,3,Juventus,224,['c8df39a2-1b50-48a9-9848-6b244c63768a'],16,,,,,,,,,,,,,,,Juventus,224,00:00:16.155,Pass,
,,,,,,,,,,,,,,,,,1.550614,,,,,,,,,,,,,3bdde46e-4d3c-4777-98ce-0580fb7a3eec,17,,,"[8.7, 44.3]",3879613,0,,,,,1.7297807,,Right Foot,,"[4.9, 68.0]",,Ground Pass,,24.002708,,,Andrea Barzagli,6943.0,,,,,,1,From Throw In,Gianluigi Buffon,6949.0,Goalkeeper,3,Juventus,224,['8ac9fce2-b45d-463c-a3ec-8d93beaf95d2'],21,,,,,,,,,,,,,,,Juventus,224,00:00:21.751,Pass,
,,,,,,,,,,,,,,,,,2.79325,,,,,,,,,,,,,0cf79441-cef2-46da-a3ee-0c9cd6f47526,20,,,"[5.1, 72.4]",3879613,0,,,,,0.023908487,,Right Foot,,"[51.1, 73.5]",,High Pass,,46.01315,Incomplete,,Juan Guillermo Cuadrado Bello,5689.0,,,,,,1,From Throw In,Andrea Barzagli,6943.0,Right Center Back,3,Juventus,224,"['03bb2eaa-c9d9-4931-9f67-0279ab07bd9b', '6de9e679-7032-4ec8-9712-0a47da1fae20']",25,,,,,,,,,,,,,,,Juventus,224,00:00:25.015,Pass,
,,,,,,,,,,,,,,,,,1.791469,,,,,,,,,,,,,2a1d13cd-d63d-408b-98b7-0091d8271cf4,23,,,"[41.6, 80.0]",3879613,0,,,,,-0.30186167,,,,"[58.3, 74.8]",,Low Pass,,17.490854,,,Juan Guillermo Cuadrado Bello,5689.0,,,,,Throw-in,1,From Throw In,Stephan Lichtsteiner,5541.0,Right Back,4,Juventus,224,['4a5d8f25-df88-4cf9-8f8c-6b2d6b9216d7'],32,,,,,,,,,,,,,,,Juventus,224,00:00:32.386,Pass,
,,,,,,,,,,,,,,,,,0.903693,,,,,,,,,,,,,b0fd0289-c9d8-4b9f-ad0e-a9722833e10d,26,,,"[76.9, 76.6]",3879613,0,,,,,-0.41209626,,Right Foot,,"[93.6, 69.3]",,Low Pass,,18.225805,Incomplete,,Mario Mandžukić,5472.0,,,,,,1,From Throw In,Juan Guillermo Cuadrado Bello,5689.0,Right Wing,4,Juventus,224,"['543d7b66-2486-4da3-a320-8b1f63f74b16', 'f316af3a-6d79-4c5f-8e5a-d86e3082d1d3']",36,,,,,,,,,,,,,,,Juventus,224,00:00:36.745,Pass,
,,,,,,,,,,,,,,,,,0.73941,,,,,,,,,,,,,3e5a88a1-1305-46dd-a588-f0f6810cd82e,36,,,"[37.1, 0.1]",3879613,0,,True,,,1.472751,,,,"[37.7, 6.2]",,Low Pass,,6.129437,,,Raffaele Maiello,11602.0,,,,,Throw-in,1,From Throw In,Mário Rui Silva Duarte,7151.0,Left Back,6,Empoli,290,['ba7a204c-58fc-4e60-b130-52de31e0c15a'],53,,,,,,,,,,,,,,,Empoli,290,00:00:53.214,Pass,
,,,,,,,,,,,,,,,,,0.642313,,,,,,,,,,,,,667ceaa2-b782-457c-a551-930ab23b1da4,39,,,"[34.6, 4.7]",3879613,0,,,,,-2.8312051,,Right Foot,,"[29.3, 3.0]",,Ground Pass,,5.565968,,,Mário Rui Silva Duarte,7151.0,,,,,,1,From Throw In,Raffaele Maiello,11602.0,Center Defensive Midfield,6,Empoli,290,"['72957e5e-b7c1-4d35-a3e5-9fabfb71d3cf', 'b4669fd7-5419-4d26-89c2-0739789363da']",54,,,,,,,,,,,,,,,Empoli,290,00:00:54.418,Pass,True
,,,,,,,,,,,,,,,,,1.627649,,,,,,,,,,,,,f467f568-e15f-4f67-8e88-a799583fcc2c,43,,,"[86.0, 75.2]",3879613,0,,,,,-1.0628972,,Right Foot,,"[91.9, 64.6]",,Ground Pass,,12.131364,Incomplete,,Mario Mandžukić,5472.0,,,,,Recovery,1,From Throw In,Juan Guillermo Cuadrado Bello,5689.0,Right Wing,6,Empoli,290,"['590b0be9-679e-4bf1-9ade-824a0b3a683f', 'ec885450-11a4-44c6-b7c2-0048e90180be']",55,,,,,,,,,,,,,,,Juventus,224,00:00:55.838,Pass,
,,,,,,,,,,,,,,,,,2.444832,,,,,,,,,,,,,ec885450-11a4-44c6-b7c2-0048e90180be,45,,,"[28.2, 15.5]",3879613,0,,,,,2.5496218,,Right Foot,,"[5.0, 31.1]",,Ground Pass,,27.95711,,,Łukasz Skorupski,11508.0,,,,,Recovery,1,From Throw In,Piotr Zieliński,5660.0,Right Center Midfield,6,Empoli,290,"['9207eac3-4e6a-48ef-9b88-029f7a480467', 'f467f568-e15f-4f67-8e88-a799583fcc2c']",57,,,,,,,,,,,,,,,Empoli,290,00:00:57.466,Pass,
,,,,,,,,,,,,,,,,,5.953175,,,,,,,,,,,,,d8bc02eb-988f-488f-ae7e-5c95dddb3547,48,,,"[6.7, 30.7]",3879613,0,,,,,-0.08605455,,Left Foot,,"[63.5, 25.8]",,High Pass,,57.010963,,,Riccardo Saponara,7150.0,,,,,,1,From Throw In,Łukasz Skorupski,11508.0,Goalkeeper,6,Empoli,290,"['23431305-a858-4e5c-b618-e10b997d6c7c', 'eadad905-d00c-40c0-b833-df253f9f59d4']",59,,,,,,,,,,,,,,,Empoli,290,00:00:59.911,Pass,True
