50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,dd4698a6-f4b0-4c84-ab44-79120b3590e2,1,,,3879594,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 91}, {'player': {'id': 7702, 'name': 'Alessio Cerci'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 28}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5e2ac5f5-73c4-45e5-88d1-d44c1ba61d4e,2,,,3879594,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 7771, 'name': 'Dario Dainelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 8644, 'name': 'Sergio Pellissier'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 31}, {'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 43}]}",Chievo,231,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1d7f56f8-db25-450d-a63f-5c497027d5b1,3,,,3879594,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['2c8fe1f2-f83b-4a63-976d-004ebd648d4b'],0,,,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2c8fe1f2-f83b-4a63-976d-004ebd648d4b,4,,,3879594,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['1d7f56f8-db25-450d-a63f-5c497027d5b1'],0,,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fbd2bea7-c139-4f73-a89b-d3eec92789a2,1802,,,3879594,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,111,AC Milan,243,['091d9a29-a80f-4058-920f-4598daec72a5'],0,,,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,091d9a29-a80f-4058-920f-4598daec72a5,1803,,,3879594,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,111,AC Milan,243,['fbd2bea7-c139-4f73-a89b-d3eec92789a2'],0,,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.794963,,,,,,,,,,,,,,,e870ad9d-8dee-4c49-8667-01981513e216,5,,"[61.0, 40.1]",3879594,0,,,,,-3.122727,,Right Foot,,,,"[55.7, 40.0]",,Ground Pass,,5.3009434,,,,Valter Birsa,7045.0,,,,,Kick Off,1,From Kick Off,Sergio Pellissier,8644.0,Right Center Forward,2,Chievo,231,['f8ddfe63-e7a7-4690-a440-9aec9fab0888'],0,,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.641,Pass,
,,,,,,,,,,,,,,,,,,1.091435,,,,,,,,,,,,,,,eb6b5584-db6c-48fa-a811-96b6570e2494,8,,"[75.3, 42.8]",3879594,0,,,,,-0.7408417,,Left Foot,,,,"[83.5, 35.3]",,Ground Pass,,11.112605,True,Incomplete,,Alberto Paloschi,6950.0,,,,,,1,From Kick Off,Valter Birsa,7045.0,Center Attacking Midfield,2,Chievo,231,"['130d5b80-ff7d-488f-b885-84a119f25ead', '9a12aa07-5bdc-499c-a017-4f1366b8ab4c']",3,,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:03.998,Pass,
,,,,,,,,,,,,,,,,,,2.160797,,,,,,,,,,,,,,,9a12aa07-5bdc-499c-a017-4f1366b8ab4c,10,,"[36.6, 44.8]",3879594,0,,,,,-0.5148451,,Left Foot,,,,"[61.7, 30.6]",,High Pass,,28.838343,,Incomplete,,Carlos Arturo Bacca Ahumada,5688.0,,,,,Recovery,1,From Kick Off,Juraj Kucka,10919.0,Right Center Midfield,2,Chievo,231,"['9da85166-3880-4c67-977a-39959b32448b', 'eb6b5584-db6c-48fa-a811-96b6570e2494', 'ebe44600-19e6-4ed1-bed0-c0b4abf4b0da']",5,,,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:05.090,Pass,
,,,,,,,,,,,,,,,,,,1.375402,,,,,,,,,,,,,,,9da85166-3880-4c67-977a-39959b32448b,12,,"[58.4, 49.5]",3879594,0,,,,,-0.5234432,,Head,,,,"[75.9, 39.4]",,High Pass,,20.205444,,Incomplete,,Alberto Paloschi,6950.0,,,,,Recovery,1,From Kick Off,Dario Dainelli,7771.0,Right Center Back,2,Chievo,231,"['11578a16-911d-4ea7-b0d4-a83fccac675c', '24602869-0e2e-4cac-a5e2-825b5fd203ff', '9a12aa07-5bdc-499c-a017-4f1366b8ab4c']",7,,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:07.251,Pass,
