50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6867752e-a7da-48cb-bc63-8b7f6c6224cd,1,,,,3879734,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 91}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 70}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,adeb1709-967b-4cdb-a304-c9f72de95e84,2,,,,3879734,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 29312, 'name': 'Pablo Estífer Armero'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 6577, 'name': 'Zdravko Kuzmanović'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 7696, 'name': 'Ryder Matos Santos'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 88}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 77}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1b2da706-7637-4ca9-9f57-914849c337ee,3,,,,3879734,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['dc4ca243-8fa0-44af-8ce4-51a3768b4410'],0,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dc4ca243-8fa0-44af-8ce4-51a3768b4410,4,,,,3879734,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['1b2da706-7637-4ca9-9f57-914849c337ee'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ed013820-7e2a-4f25-9218-c4a7091476b2,1784,,,,3879734,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,96,Udinese,230,['51d5f327-2047-42a8-b7c4-da2f19341620'],0,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,51d5f327-2047-42a8-b7c4-da2f19341620,1785,,,,3879734,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,96,Udinese,230,['ed013820-7e2a-4f25-9218-c4a7091476b2'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.319502,,,,,,,,,,,,,c9f90c5a-b571-4206-9f1e-35b12442b087,5,,,"[61.0, 40.1]",3879734,0,,,,,-3.083895,,Right Foot,,,"[33.3, 38.5]",,Ground Pass,,27.74617,,,,,Alessio Romagnoli,7458.0,,,,,Kick Off,1,From Kick Off,Riccardo Montolivo,7166.0,Right Defensive Midfield,2,AC Milan,243,['bdeaf4d1-b5cd-4f98-b860-ea635ac71314'],1,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:01.019,Pass,
,,,,,,,,,,,,,,,2.03525,,,,,,,,,,,,,636e732d-e767-4ec2-a964-2b8e5f0d84c0,8,,,"[33.9, 36.3]",3879734,0,,,,,0.7339965,,Left Foot,,,"[66.6, 65.8]",,High Pass,,44.04021,,,,,Ignazio Abate,7463.0,,,,,,1,From Kick Off,Alessio Romagnoli,7458.0,Left Center Back,2,AC Milan,243,['d9b5790d-263a-485b-a9f5-ecc69559fc3e'],4,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:04.589,Pass,
,,,,,,,,,,,,,,,2.016673,,,,,,,,,,,,,03f878b2-3ee2-47b8-a35f-bae13b7940b4,10,,,"[66.6, 65.6]",3879734,0,,,,,-0.24385254,,Head,,,"[87.5, 60.4]",,High Pass,,21.537178,,,Incomplete,,M''Baye Babacar Niang,5661.0,,,,,,1,From Kick Off,Ignazio Abate,7463.0,Right Back,2,AC Milan,243,"['b5a2a87b-78b9-4524-8909-ca092ebbe50c', 'ba0de885-5acb-45c3-9a0b-abbae20fd87d']",6,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:06.744,Pass,
,,,,,,,,,,,,,,,0.78482,,,,,,,,,,,,,ba0de885-5acb-45c3-9a0b-abbae20fd87d,12,,,"[32.6, 19.7]",3879734,0,,,,,0.41012734,,Right Foot,,,"[48.7, 26.7]",,Ground Pass,,17.55591,,,Incomplete,,Cyril Théréau,8272.0,,,,,Recovery,1,From Kick Off,Felipe Dias da Silva dal Belo,6938.0,Left Center Back,2,AC Milan,243,"['03f878b2-3ee2-47b8-a35f-bae13b7940b4', '0c6f1a16-a9bb-485c-8e12-8bfb8ba6d07b', 'ac4e49f7-16cc-47d0-b8b9-548aee4662ba']",8,,,,,,,,,,,,,,,,,,Udinese,230,00:00:08.761,Pass,
