50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,49c3e46a-e7d7-4154-aae1-b9f02135e4ff,1,,,,3879642,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 30829, 'name': 'Lorenzo Lollo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 387476, 'name': 'Raphael Martinho Alves de Lima'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 29}, {'player': {'id': 7793, 'name': 'Kevin Lasagna'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,690eb72b-a4d9-4d22-8bf0-a03bf55ee82a,2,,,,3879642,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7702, 'name': 'Alessio Cerci'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 70}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,927a5344-8c8b-467b-a196-b63a67fdc698,3,,,,3879642,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['93e9537f-63f2-485d-9344-f052c9c250e8'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,93e9537f-63f2-485d-9344-f052c9c250e8,4,,,,3879642,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['927a5344-8c8b-467b-a196-b63a67fdc698'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7c0d1e75-ee68-4595-93fd-42a7451a438b,1806,,,,3879642,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,113,AC Milan,243,['2cf50029-b344-4f8f-a501-7f24ef88f6f7'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2cf50029-b344-4f8f-a501-7f24ef88f6f7,1807,,,,3879642,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,113,AC Milan,243,['7c0d1e75-ee68-4595-93fd-42a7451a438b'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.710908,,,,,,,,,,,173c6aa5-1af7-4695-8bde-a831f827d164,5,,,"[60.0, 40.0]",3879642,0,,,,,1.2882414,,Right Foot,,,,"[60.9, 43.1]",Ground Pass,,3.2280025,,,,Riccardo Montolivo,7166.0,,,,,Kick Off,1,From Kick Off,Carlos Arturo Bacca Ahumada,5688.0,Right Center Forward,2,AC Milan,243,['bc12da33-3b28-4983-8339-58765a8bf3a2'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.749,Pass,
,,,,,,,,,,,,,,,,,1.673548,,,,,,,,,,,bc812b46-87b5-4dd8-8efd-31bb4b112396,7,,,"[60.9, 43.1]",3879642,0,,,,,-2.9650126,,Right Foot,,,,"[34.0, 38.3]",Ground Pass,,27.324898,,,,Alessio Romagnoli,7458.0,,,,,,1,From Kick Off,Riccardo Montolivo,7166.0,Left Defensive Midfield,2,AC Milan,243,['e324da3a-a52b-4792-aa96-64bdc80888bf'],1,,,,,,,,,,,,,,,,AC Milan,243,00:00:01.460,Pass,
,,,,,,,,,,,,,,,,,2.386883,,,,,,,,,,,4584790e-0e0c-45c4-8967-82eaeaa8aa18,10,,,"[37.2, 38.3]",3879642,0,,,,,0.5202511,,Left Foot,,,,"[85.9, 66.2]",High Pass,,56.12575,,Incomplete,,Juraj Kucka,10919.0,,,,,,1,From Kick Off,Alessio Romagnoli,7458.0,Left Center Back,2,AC Milan,243,"['2f94d8d0-f626-4658-a126-af5677abb331', '6d36c98d-9461-4f8b-bce8-e16fa823f07c']",4,,,,,,,,,,,,,,,,AC Milan,243,00:00:04.443,Pass,
,,,,,,,,,,,,,,,,,1.99804,,,,,,,,,,,808e111c-6bbd-4e61-b62a-a75dddcd94f4,13,,,"[50.8, 80.0]",3879642,0,,,,,-0.13880746,,,,,,"[78.0, 76.2]",High Pass,,27.464159,,Incomplete,,Carlos Arturo Bacca Ahumada,5688.0,,,,,Throw-in,1,From Throw In,Ignazio Abate,7463.0,Right Back,3,AC Milan,243,"['7c437ea0-7be1-4a2e-8bbe-ed8d5182bc3a', '7ed3472f-90ed-4c1e-a5f2-5a386ba684e0']",23,,,,,,,,,,,,,,,,AC Milan,243,00:00:23.002,Pass,
