50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2e0caea1-c64a-49d3-b2d8-41e35db7d5ca,1,,,3879690,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 91}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,6300c7b0-e140-4b02-9394-bb7a9beced48,2,,,3879690,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 10}, {'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 28}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7139, 'name': 'Josip Iličić'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 72}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 7033, 'name': 'Nikola Kalinić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,e0e41dda-4fe8-4db8-a9f4-dd471d26721a,3,,,3879690,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['38200830-7903-46ac-9418-1045afb625aa'],0,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,38200830-7903-46ac-9418-1045afb625aa,4,,,3879690,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['e0e41dda-4fe8-4db8-a9f4-dd471d26721a'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,ed513bad-d205-4df4-ab57-61559583bc6a,1853,,,3879690,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,AC Milan,243,['5aca784e-2e2a-4d59-a848-a35f804bda6f'],0,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,5aca784e-2e2a-4d59-a848-a35f804bda6f,1854,,,3879690,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,AC Milan,243,['ed513bad-d205-4df4-ab57-61559583bc6a'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.661176,,,,,,,,,,250f0999-412e-49af-9899-2fc1b92c66fc,5,,"[60.0, 40.0]",3879690,0,,,,,-2.6685996,,Left Foot,,"[38.7, 29.1]",,Ground Pass,,23.926971,,,Alessio Romagnoli,7458.0,,,,,,Kick Off,1,From Kick Off,Riccardo Montolivo,7166.0,Right Defensive Midfield,2,AC Milan,243,['9c15ad35-0121-4d93-bbd1-ba0d2bb4463e'],1,,,,,,,,,,,,,,,,,AC Milan,243,00:00:01.078,Pass,
,,,,,,,,,,,,,,,,3.306268,,,,,,,,,,731a0d4c-32ed-4e46-ac91-66d199b691bd,8,,"[39.2, 27.7]",3879690,0,,,,,0.61531824,,Left Foot,,"[93.1, 65.8]",,High Pass,,66.00621,Incomplete,,,,,,,,,,1,From Kick Off,Alessio Romagnoli,7458.0,Left Center Back,2,AC Milan,243,['72e90d0d-1118-4681-8d48-a64e0f400d26'],3,,,,,,,,,,,,,,,,,AC Milan,243,00:00:03.951,Pass,
,,,,,,,,,,,,,,,,2.378263,,,,,,,,,,3cd8d2d6-7a03-4fa3-ba75-e570b60b1134,12,,"[27.2, 7.3]",3879690,0,,,,,0.20261896,,Left Foot,,"[60.3, 14.1]",,High Pass,,33.79127,Incomplete,,Nikola Kalinić,7033.0,,,,,,,1,From Kick Off,Marcos Alonso Mendoza,3964.0,Left Wing Back,2,AC Milan,243,"['775814a7-3798-4925-bfa8-f380453a7fca', '8ae17a15-5f0e-41ae-b099-34e7c3c3ee0a', 'a7b39d69-89b1-4a9a-aab4-480588022b05']",8,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:08.549,Pass,True
,,,,,,,,,,,,,,,,2.155487,,,,,,,,,,8ae17a15-5f0e-41ae-b099-34e7c3c3ee0a,14,,"[59.8, 66.0]",3879690,0,,,,,0.27763915,,Head,,"[79.8, 71.7]",,High Pass,,20.796394,,,M''Baye Babacar Niang,5661.0,,,,,,Recovery,1,From Kick Off,Keisuke Honda,5683.0,Right Midfield,2,AC Milan,243,"['3cd8d2d6-7a03-4fa3-ba75-e570b60b1134', '99246615-4382-4c05-a294-d7a28f487da4']",10,,,,,,,,,,,,,,,,,AC Milan,243,00:00:10.927,Pass,
,,,,,,,,,,,,,,,,1.091593,,,,,,,,,,8b1b194f-b916-4f18-9710-25b57ebf1b02,16,,"[79.0, 71.6]",3879690,0,,,,,-1.8449638,,Left Foot,,"[77.2, 65.2]",,Low Pass,,6.6483083,,,Riccardo Montolivo,7166.0,,,,,,,1,From Kick Off,M''Baye Babacar Niang,5661.0,Right Center Forward,2,AC Milan,243,['be6b381b-788d-4b59-8e5d-dedcc984eeae'],13,,,,,,,,,,,,,,,,,AC Milan,243,00:00:13.083,Pass,
,,,,,,,,,,,,,,,,0.571419,,,,,,,,,,92699aab-9f3e-45ec-b87f-2a90fb84f393,20,,"[83.1, 64.2]",3879690,0,,,,,-0.4853833,,Right Foot,,"[92.2, 59.4]",,Low Pass,,10.288342,Incomplete,,Carlos Arturo Bacca Ahumada,5688.0,,,,,,,1,From Kick Off,Riccardo Montolivo,7166.0,Right Defensive Midfield,2,AC Milan,243,"['04b71368-6e9d-44ec-9056-719213666185', '90aa0e74-0333-4990-8d52-8ce09a59525b']",15,,,,,,,,,,,,,,,,,AC Milan,243,00:00:15.094,Pass,
,,,,,,,,,,,,,,,,1.59091,,,,,,,,,,b9404fa9-bc12-496b-b3b4-a3c1ff4d882a,24,,"[27.6, 23.5]",3879690,0,,,,,1.6636219,,Left Foot,,"[24.5, 56.8]",,High Pass,,33.44398,,,Facundo Sebastián Roncaglia,6830.0,,,,,,,1,Regular Play,Davide Astori,8275.0,Left Center Back,3,Fiorentina,239,['555f136a-0922-4eea-ab18-3937b73a25ea'],16,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:16.629,Pass,
,,,,,,,,,,,,,,,,1.737282,,,,,,,,,,106cb05c-8595-48bf-9fbb-a2d2255f3fba,27,,"[25.8, 59.5]",3879690,0,,,,,0.6222039,,Right Foot,,"[40.3, 69.9]",,High Pass,,17.844048,,,Federico Bernardeschi,7777.0,,,,,,,1,Regular Play,Facundo Sebastián Roncaglia,6830.0,Right Center Back,3,Fiorentina,239,['e765331a-85ed-40ee-a80c-7cfa7dcdaf6d'],19,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:19.128,Pass,
,,,,,,,,,,,,,,,,1.193825,,,,,,,,,,4c45e864-ef96-4ede-9974-967745b0d556,30,,"[42.6, 73.7]",3879690,0,,,,,0.014284743,,Left Foot,,"[63.6, 74.0]",,Low Pass,,21.002142,,,Josip Iličić,7139.0,,,,,,,1,Regular Play,Federico Bernardeschi,7777.0,Right Wing Back,3,Fiorentina,239,['55a85aa0-98b5-4bf0-9409-aac34982888d'],21,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:21.760,Pass,
,,,,,,,,,,,,,,,,1.343377,,,,,,,,,,4472647b-230a-46a7-899b-6d79a8bd1745,34,,"[57.3, 68.4]",3879690,0,,,,,1.7553391,,Left Foot,,"[55.9, 75.9]",,Ground Pass,,7.6295476,,,Facundo Sebastián Roncaglia,6830.0,,,,,,,1,Regular Play,Josip Iličić,7139.0,Right Attacking Midfield,3,Fiorentina,239,"['6bc2ad0c-f3f4-4356-a789-e31b7cd98751', 'ebef20f1-c2b3-4309-9a53-8a125b82b0da']",28,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:28.790,Pass,True
,,,,,,,,,,,,,,,,0.526211,,,,,,,,,,1322548b-eb70-48b4-9a23-b95ba3433daa,37,,"[55.9, 75.9]",3879690,0,,,,,0.114876606,,Right Foot,,"[63.7, 76.8]",,Ground Pass,,7.8517513,Incomplete,,Federico Bernardeschi,7777.0,,,,,,,1,Regular Play,Facundo Sebastián Roncaglia,6830.0,Right Center Back,3,Fiorentina,239,"['5c19b32c-8ab3-4f25-a7c8-c550a73d24f9', 'ac8d1cf8-9156-4316-8fc4-71a00790ee2d']",30,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:30.161,Pass,
,,,,,,,,,,,,,,,,0.382516,,,,,,,,,,05cbdba5-0f22-449f-ae9a-f506ef063960,41,,"[54.8, 1.7]",3879690,0,,,,,-3.1159573,,Right Foot,,"[50.9, 1.6]",,Ground Pass,,3.9012818,Incomplete,,Luca Antonelli,8874.0,,,,,,,1,Regular Play,Giacomo Bonaventura,7026.0,Left Midfield,3,Fiorentina,239,"['31004f32-e118-469f-869c-bc5bbb82a242', 'd6c605c3-cf4f-4c26-ba89-ac736d82bde2']",31,,,,,,,,,,,,,,,,,AC Milan,243,00:00:31.564,Pass,
