50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,4.492336,,,,,,,,,,,,,36108707-2d05-4a91-86d1-50154b2773cf,22,,"[17.3, 43.3]",3878601,0,,,,,-0.31633168,,Right Foot,,,,"[89.4, 19.7]",,High Pass,,75.86416,,,Incomplete,,Emanuele Giaccherini,7775.0,,,,,,1,From Kick Off,Luca Rossettini,7142.0,Right Center Back,2,Sampdoria,234,"['4bb5a7b7-4808-4b66-b1c9-efb7b62c1126', '55bdd9d3-7ed0-4a27-9958-e103fb55ad8d', 'aaec5a19-950d-4d9c-9b37-1ba5b8013aca']",14,,,,,,,,,,,,,,,,Bologna,240,00:00:14.494,Pass,True
,,,,,,,,,,,,,,,,,,4.135035,,,,,,,,,,,,,4bb5a7b7-4808-4b66-b1c9-efb7b62c1126,24,,"[30.7, 60.4]",3878601,0,,,,,-2.4139462,,Left Foot,,,,"[6.0, 38.4]",,Ground Pass,,33.07703,,,,,Emiliano Viviano,7018.0,,,,,Recovery,1,From Kick Off,Mattia Cassani,387417.0,Right Back,2,Sampdoria,234,"['36108707-2d05-4a91-86d1-50154b2773cf', 'd9c7010b-2623-49d9-8835-aedfa29ed958']",18,,,,,,,,,,,,,,,,Sampdoria,234,00:00:18.986,Pass,
,,,,,,,,,,,,,,,,,,3.685148,,,,,,,,,,,,,3ae769ef-eb85-4378-843b-4ab6cfede97a,27,,"[5.4, 39.4]",3878601,0,,,,,-0.111545846,,Left Foot,,,,"[79.5, 31.1]",,High Pass,,74.56339,,,Incomplete,,,,,,,,,1,From Kick Off,Emiliano Viviano,7018.0,Goalkeeper,2,Sampdoria,234,"['19494558-830d-46f6-abfd-e1ff81f60ae7', '698130cf-d69c-4b51-be3b-f0d4fef7c908']",23,,,,,,,,,,,,,,,,Sampdoria,234,00:00:23.121,Pass,True
,,,,,,,,,,,,,,,,,,1.1975,,,,,,,,,,,,,b912d530-4cee-4528-8971-c9f86f5f2b8c,31,,"[48.2, 49.8]",3878601,0,,,,,0.8114146,,Left Foot,,,,"[61.3, 63.6]",,Ground Pass,,19.02761,,,,,Anthony Mounier,34565.0,,,,,,1,Regular Play,Luca Rossettini,7142.0,Right Center Back,3,Bologna,240,"['75c618d4-6822-44c3-8e68-c9ec061a00b6', '8fbfe041-d8ab-4688-a214-62a75c60aa80']",28,,,,,,,,,,,,,,,,Bologna,240,00:00:28.275,Pass,True
,,,,,,,,,,,,,,,,,,1.072554,,,,,,,,,,,,,0c37efff-f496-47c5-a492-fcb1c334681e,35,,"[57.7, 57.0]",3878601,0,,,,,-1.669886,,Left Foot,,,,"[56.0, 39.9]",,Ground Pass,,17.184296,,,,,Saphir Sliti Taïder,8851.0,,,,,,1,Regular Play,Anthony Mounier,34565.0,Right Midfield,3,Bologna,240,"['5de655e4-6e58-4e6a-8234-f2e8774411e5', 'b4fc6706-969e-492b-bbd6-99249f0a87d7']",31,,,,,,,,,,,,,,,,Bologna,240,00:00:31.119,Pass,True
,,,,,,,,,,,,,,,,,,3.610641,,,,,,,,,,,,,b3d93b37-1d93-4dca-a7b2-61fda842a851,38,,"[66.0, 33.9]",3878601,0,,,,,-0.68356186,,Right Foot,,,,"[96.2, 9.3]",,Ground Pass,,38.951252,,,,,Emanuele Giaccherini,7775.0,,,,,,1,Regular Play,Saphir Sliti Taïder,8851.0,Right Defensive Midfield,3,Bologna,240,['46b1df80-b2b6-4767-b05e-6b94298e0e04'],34,,,,,,,,,,,,,,,,Bologna,240,00:00:34.692,Pass,
,,,,,,,,,,,,,,,,,,1.710655,,,,,,,,,,,,,58c38b8d-e474-4eb2-add6-ac15ac169bf6,45,,"[120.0, 0.1]",3878601,1,,,,,1.8133726,,Left Foot,,,,"[110.3, 39.3]",,High Pass,,40.382298,,,Incomplete,True,Luca Rossettini,7142.0,,,Outswinging,,Corner,1,From Corner,Franco Brienza,45591.0,Right Center Forward,4,Bologna,240,"['2edc5a18-5457-465c-8ca2-5bed373bfb95', '2f8dc931-e1c9-49fe-b7c1-8054d9e578e0']",5,,,,,,,,,,,,,,,,Bologna,240,00:01:05.791,Pass,
,,,,,,,,,,,,,,,,,,2.757167,,,,,,,,,,,,,5aa4eecd-1a3d-4b11-ae0b-42e0bb620335,54,,"[84.8, 52.9]",3878601,1,,,,,2.7987926,,Right Foot,,,,"[56.5, 63.0]",,High Pass,,30.048294,,,,,Domenico Maietta,8849.0,,,,,Recovery,1,From Corner,Emanuele Giaccherini,7775.0,Left Midfield,4,Bologna,240,['5d47396c-30ab-4b1e-86d2-2b76b0ad941e'],13,,,,,,,,,,,,,,,,Bologna,240,00:01:13.781,Pass,
,,,,,,,,,,,,,,,,,,1.371306,,,,,,,,,,,,,e36eb2be-d119-4854-ba08-d21b141ed5d3,57,,"[55.6, 61.0]",3878601,1,,,,,-1.348541,,Right Foot,,,,"[59.6, 43.3]",,Ground Pass,,18.146349,,,,,Luca Rossettini,7142.0,,,,,,1,From Corner,Domenico Maietta,8849.0,Left Center Back,4,Bologna,240,['2c1530be-012e-4044-b63d-7916dc27cbf3'],17,,,,,,,,,,,,,,,,Bologna,240,00:01:17.940,Pass,
,,,,,,,,,,,,,,,,,,2.840723,,,,,,,,,,,,,b8a9e1f8-42b3-4d31-aabc-9b9fc0f53845,60,,"[63.3, 45.8]",3878601,1,,,,,0.0019304996,,Right Foot,,,,"[115.1, 45.9]",,High Pass,,51.8001,,,Incomplete,,Anthony Mounier,34565.0,,,,,,1,From Corner,Luca Rossettini,7142.0,Right Center Back,4,Bologna,240,"['0833252a-2075-4efb-be7d-d4e88ec29b12', '2fa826f9-bc85-416c-b2db-3508cbfdb32d']",20,,,,,,,,,,,,,,,,Bologna,240,00:01:20.557,Pass,
