50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,Left Foot,,True,,,,,,,,0.0,,,,,,,,,,,,,555a8cde-c4ee-45dd-8028-b6f224e2c715,1288,,"[26.5, 20.8]",3879843,33,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Domenico Berardi,7131.0,Right Wing,71,Torino,241,['0bf0b036-1986-49f6-9f1a-3525a023199c'],49,,,,,,,,,,,,,,,,,Sassuolo,232,00:33:49.592,Clearance,True
,,,,,,Left Foot,,True,,,,,,,,0.0,,,,,,,,,,,,,e8fe2b8b-14dd-41bc-8cd4-50c9ac85ab83,1376,,"[43.9, 33.9]",3879843,37,,,True,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Federico Peluso,7118.0,Left Back,76,Torino,241,"['0695569f-66d1-41cd-befd-4a5d61a3fe02', 'a54eab9a-e3f8-4216-ab93-683d426c8c65']",5,,,,,,,,,,,,,,,,,Sassuolo,232,00:37:05.066,Clearance,True
,,,,,True,Head,True,,,,,,,,,0.0,,,,,,,,,,,,,f55cb4a5-caa6-468f-a787-33ff8a551b48,1385,,"[51.7, 60.6]",3879843,37,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Šime Vrsaljko,5461.0,Right Back,77,Torino,241,"['32a93458-c0f6-40af-a825-18c0cd41f546', 'c2642d59-f385-4bc7-aa17-78da0830b968']",23,,,,,,,,,,,,,,,,,Sassuolo,232,00:37:23.834,Clearance,True
,,,,,,Right Foot,,,True,,,,,,,0.0,,,,,,,,,,,,,b690b9c5-d499-43d2-86cb-2ae7f8bf3e74,1387,,"[35.4, 57.8]",3879843,37,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Paolo Cannavaro,8848.0,Right Center Back,77,Torino,241,,25,,,,,,,,,,,,,,,,,Sassuolo,232,00:37:25.175,Clearance,True
,,,,,True,Head,True,,,,,,,,,0.0,,,,,,,,,,,,,394416ef-8cd7-4834-a754-6c6d5fe78c53,1508,,"[10.8, 47.4]",3879843,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alessandro Gazzi,40351.0,Center Defensive Midfield,84,Sassuolo,232,"['5f705a98-0c7f-4923-980a-df636d5b6baa', 'cba66e58-e8f7-4074-926b-ad6e09531af8']",6,,,,,,,,,,,,,,,,,Torino,241,00:41:06.025,Clearance,True
,,,,,,Head,True,,,,,,,,,0.0,,,,,,,,,,,,,29736b87-a8a5-4c7b-b165-8041916e10d2,1557,,"[72.5, 59.2]",3879843,42,,True,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Francesco Magnanelli,7127.0,Center Defensive Midfield,88,Torino,241,['96088c74-18a4-4b6d-9eed-f6a3f1e2cbe3'],26,,,,,,,,,,,,,,,,,Sassuolo,232,00:42:26.031,Clearance,True
,,,,,True,Head,True,,,,,,,,,0.0,,,,,,,,,,,,,8601582b-b6b8-4707-b5da-f89b5888733c,1662,,"[11.5, 35.7]",3879843,44,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kamil Glik,3034.0,Center Back,93,Sassuolo,232,"['3c1f3100-89c1-46fb-8fc0-961572fcd6b8', 'b92594e2-f383-486e-aa2d-37781064c5ff']",46,,,,,,,,,,,,,,,,,Torino,241,00:44:46.654,Clearance,True
,,,,,,Left Foot,,True,,,,,,,,0.0,,,,,,,,,,,,,d10f5dd3-2c6e-45f2-97b7-0c7cc2951928,1838,,"[2.2, 36.5]",3879843,48,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Cesare Bovo,40427.0,Right Center Back,104,Sassuolo,232,['3f51374d-bf54-4c7f-b101-13b6159f32a2'],53,,,,,,,,,,,,,,,,,Torino,241,00:03:53.733,Clearance,True
,,,,,,Left Foot,,True,,,,,,,,0.0,,,,,,,,,,,,,ac5830a3-9e11-48c3-aea8-8937e6f6e5ac,1875,,"[8.4, 36.3]",3879843,49,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Cesare Bovo,40427.0,Right Center Back,106,Sassuolo,232,,24,,,,,,,,,,,,,,,,,Torino,241,00:04:24.944,Clearance,True
,,,,,,Head,True,,,,,,,,,0.0,,,,,,,,,,,,,73c5cfe2-15f0-4675-99e0-af42bb17f372,2021,,"[43.9, 30.8]",3879843,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Francesco Acerbi,7119.0,Left Center Back,113,Torino,241,['819cc70f-a03b-48ed-b99b-2a94d511f912'],3,,,,,,,,,,,,,,,,,Sassuolo,232,00:08:03.423,Clearance,True
