50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,42dea3ff-b1fe-4127-9c2a-2d5f61b66e5a,1,,,3879753,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7113, 'name': 'Simone Missiroli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 92}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6f87f5a9-337c-4e0a-a803-40a39bf8c3e7,2,,,3879753,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 7155, 'name': 'Vincent Laurini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7160, 'name': 'Lorenzo Tonelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 16061, 'name': 'Uroš Ćosić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 40250, 'name': 'Marco Zambelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d81b74c8-1987-4e21-ac37-8af4fb6a2cd4,3,,,3879753,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['98bdd28f-4096-4161-82df-c8e2950df6d4'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,98bdd28f-4096-4161-82df-c8e2950df6d4,4,,,3879753,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['d81b74c8-1987-4e21-ac37-8af4fb6a2cd4'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8b77e954-2e4b-4dca-971f-56efc40233e2,1660,,,3879753,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Sassuolo,232,['54d7cda4-f764-4f96-a12d-b2e5118f4f53'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,54d7cda4-f764-4f96-a12d-b2e5118f4f53,1661,,,3879753,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Sassuolo,232,['8b77e954-2e4b-4dca-971f-56efc40233e2'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.33404,,,,,,,,,,,,,,c39e81b5-7343-42e9-9271-a13f16f4bb37,5,,"[60.0, 40.0]",3879753,0,,,,,1.1210368,,Right Foot,,,"[61.4, 42.9]",,Ground Pass,,3.2202485,,,,Manuel Pucciarelli,7054.0,,,,,,Kick Off,1,From Kick Off,Massimo Maccarone,40252.0,Left Center Forward,2,Empoli,290,['3db033c8-97b7-4c5a-be37-79330a5c996b'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.508,Pass,
,,,,,,,,,,,,,,,,,1.331346,,,,,,,,,,,,,,f7039a4a-32e8-4f1a-8c71-5169cf2fa74b,8,,"[60.3, 43.4]",3879753,0,,,,,-2.7713366,,Right Foot,,,"[45.1, 37.5]",,Ground Pass,,16.304907,,,,Lorenzo Tonelli,7160.0,,,,,,,1,From Kick Off,Manuel Pucciarelli,7054.0,Right Center Forward,2,Empoli,290,['2b26f830-2a30-4c30-bef4-b6523a77d84f'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.913,Pass,
,,,,,,,,,,,,,,,,,0.668732,,,,,,,,,,,,,,4e43a7dd-2467-42c2-8628-0f4f44f2002e,11,,"[45.1, 37.5]",3879753,0,,,,,-0.8850668,,Right Foot,,,"[47.8, 34.2]",,Ground Pass,,4.263801,,,,Uroš Ćosić,16061.0,,,,,,,1,From Kick Off,Lorenzo Tonelli,7160.0,Right Center Back,2,Empoli,290,['128acf00-e57c-41c6-b0e4-255c3e8365f0'],2,,,,,,,,,,,,,,,,,Empoli,290,00:00:02.420,Pass,
,,,,,,,,,,,,,,,,,3.405182,,,,,,,,,,,,,,6f6a4f12-cc6e-4aac-85ec-d736a2d9e4b5,14,,"[47.8, 34.2]",3879753,0,,,,,0.6419579,,Right Foot,,,"[99.7, 73.0]",,High Pass,,64.80008,,Incomplete,,Vincent Laurini,7155.0,,,,,,,1,From Kick Off,Uroš Ćosić,16061.0,Left Center Back,2,Empoli,290,"['a3e994ee-d18d-4421-860f-91f1bd4a021f', 'bf3db4d9-0b3e-4021-ab41-a271b018ce77']",3,,,,,,,,,,,,,,,,,Empoli,290,00:00:03.162,Pass,
