50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5db1fd57-2bf5-44d1-8595-f2edc7148892,1,,,3878608,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7704, 'name': 'Alex Ferrari'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 8873, 'name': 'Marios Oikonomou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8851, 'name': 'Saphir Sliti Taïder'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7175, 'name': 'Erick Antonio Pulgar Farfán'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 45591, 'name': 'Franco Brienza'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 34565, 'name': 'Anthony Mounier'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 26}, {'player': {'id': 8103, 'name': 'Mattia Destro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ce387fe-0a71-4ec8-a253-bfbadebd731c,2,,,3878608,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 7462, 'name': 'Aleandro Rosi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 174418, 'name': 'Modibo Diakité'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 387847, 'name': 'Leonardo Blanchard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 8661, 'name': 'Daniel Pavlovic'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 23349, 'name': 'Paolo Sammarco'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 9903, 'name': 'Yussif Raman Chibsah'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 23470, 'name': 'Luca Paganini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 9898, 'name': 'Aleksandar Tonev'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 11672, 'name': 'Samuele Longo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 24235, 'name': 'Federico Dionisi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e94f7f4a-ee52-4afb-ba9f-f88d8014c210,3,,,3878608,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['2237a663-f4bd-4c60-84e4-686458b61c6b'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2237a663-f4bd-4c60-84e4-686458b61c6b,4,,,3878608,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['e94f7f4a-ee52-4afb-ba9f-f88d8014c210'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,374287f1-2cbf-43a1-814d-0e2de05189fa,1700,,,3878608,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,99,Frosinone,291,['501973a2-63d8-4e61-90cf-347261738815'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,501973a2-63d8-4e61-90cf-347261738815,1701,,,3878608,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,99,Frosinone,291,['374287f1-2cbf-43a1-814d-0e2de05189fa'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.599999,,,,,,,,,,,,,021baa04-5bb1-4df5-80d7-0bedd5af4580,5,,"[60.0, 40.0]",3878608,0,,,,-2.8253064,,Right Foot,,,,"[38.0, 32.8]",,Ground Pass,,23.148218,,,Leonardo Blanchard,387847.0,,,,,Kick Off,1,From Kick Off,Samuele Longo,11672.0,Right Center Forward,2,Frosinone,291,['2558906d-c543-49de-98e4-99b0a85b48cd'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.778,Pass,
,,,,,,,,,,,,,,,,,3.578331,,,,,,,,,,,,,ef038f7e-2395-42a7-ba02-f89acec78f55,8,,"[37.8, 35.9]",3878608,0,,,,0.46716562,,Left Foot,,,,"[83.2, 58.8]",,High Pass,,50.8485,Incomplete,,Samuele Longo,11672.0,,,,,,1,From Kick Off,Leonardo Blanchard,387847.0,Left Center Back,2,Frosinone,291,"['1a8521c2-049e-4b15-9a58-4d35ea941cdc', 'aad54be4-3c39-46a1-849f-55faaa6d3786']",3,,,,,,,,,,,,,,,,,Frosinone,291,00:00:03.578,Pass,
,,,,,,,,,,,,,,,,,2.034816,,,,,,,,,,,,,1a8521c2-049e-4b15-9a58-4d35ea941cdc,11,,"[36.9, 21.3]",3878608,0,,,True,0.39234015,,,,,,"[42.7, 23.7]",,Low Pass,,6.276942,,,Anthony Mounier,34565.0,,,,,Recovery,1,Regular Play,Luca Rossettini,7142.0,Left Center Back,3,Bologna,240,"['6c6a98a6-da55-405f-8438-90d966b7ad8f', 'ef038f7e-2395-42a7-ba02-f89acec78f55', 'feb53868-bff9-40fe-ba3d-c5f37b477a47']",7,,,,,,,,,,,,,,,,,Bologna,240,00:00:07.157,Pass,True
,,,,,,,,,,,,,,,,,1.634816,,,,,,,,,,,,,9c4a092a-1be5-42fa-a743-efb6e61e0c87,14,,"[51.7, 37.0]",3878608,0,,,,1.3782433,e272e523-26d8-43b4-a725-7ee0edfe89f8,Left Foot,,,,"[54.8, 52.9]",,Ground Pass,,16.199383,,,Saphir Sliti Taïder,8851.0,True,,,,,1,Regular Play,Anthony Mounier,34565.0,Left Wing,3,Bologna,240,['cd128967-1150-401d-a376-3dc623df00cf'],11,,,,,,,,,,,,,,,,,Bologna,240,00:00:11.174,Pass,
