50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.361065,,,,,,,,,,,,,,,0c331e0b-86fe-4ca6-a8f4-0aff24f7905b,17,,"[71.6, 2.1]",3879687,0,,,,,2.3202388,,Left Foot,,,,"[58.2, 16.5]",,Ground Pass,,19.670282,,,Emiliano Moretti,7476.0,,,,,,,1,From Kick Off,Cristian Molinaro,7479.0,Left Wing Back,2,Torino,241,['739268f2-27d5-4806-87f9-e6e834275e14'],11,,,,,,,,,,,,,,,,,Torino,241,00:00:11.696,Pass,
,,,,,,,,,,,,,,,,2.175918,,,,,,,,,,,,,,,3c1a07de-6f6b-463b-ab05-8feafeb3794d,20,,"[57.9, 21.0]",3879687,0,,,,,1.7509042,,Left Foot,,,,"[51.6, 55.6]",,Low Pass,,35.168877,,,Nikola Maksimović,16202.0,,,,,,,1,From Kick Off,Emiliano Moretti,7476.0,Left Center Back,2,Torino,241,['2f8f14a4-4c35-406a-b148-145c23102422'],14,,,,,,,,,,,,,,,,,Torino,241,00:00:14.572,Pass,
,,,,,,,,,,,,,,,,0.939344,,,,,,,,,,,,,,,20464f51-9398-47ab-8da4-4ed7652f807c,23,,"[86.3, 68.8]",3879687,0,,,,,0.28422552,,Right Foot,,,,"[104.1, 74.0]",,Low Pass,,18.544003,,,Bruno da Silva Peres,6965.0,,,,,,,1,From Kick Off,Nikola Maksimović,16202.0,Right Center Back,2,Torino,241,['e036dba7-fe33-453b-844f-e92c793e6e24'],22,,,,,,,,,,,,,,,,,Torino,241,00:00:22.428,Pass,
,,,,,,,,,,,,,,,,1.147604,,,,,,,,,,,,,,,69a72fb8-acc9-43d1-b50d-cde5629b290d,29,,"[120.0, 80.0]",3879687,0,,,,,-1.8863486,,Right Foot,,,,"[110.5, 50.9]",,High Pass,,30.611435,Incomplete,True,Andrea Belotti,7471.0,,,,Outswinging,,Corner,1,From Corner,Daniele Baselli,7465.0,Left Center Midfield,3,Torino,241,"['5b863488-9d87-4e6a-b7ea-98b34897b13f', 'ae37f22c-c992-454b-9396-f42e2a67e312']",50,,,,,,,,,,,,,,,,,Torino,241,00:00:50.874,Pass,
,,,,,,,,,,,,,,,,0.866855,,,,,,,,,,,,,,,0ede3b1b-4cdc-4a86-8d4f-194e2be74014,32,,"[107.1, 80.0]",3879687,1,,,,,-1.8286608,,,,,,"[104.7, 70.9]",,Low Pass,,9.411163,,,Marco Benassi,7149.0,,,,,,Throw-in,1,From Throw In,Bruno da Silva Peres,6965.0,Right Wing Back,4,Torino,241,['b48895e3-1029-47c2-9d10-77389395713a'],6,,,,,,,,,,,,,,,,,Torino,241,00:01:06.766,Pass,
,,,,,,,,,,,,,,,,1.055653,,,,,,,,,,,,,,,0003e530-b2d8-447a-a224-0f670c950910,35,,"[104.0, 70.9]",3879687,1,,,,,0.8574382,,Right Foot,,,,"[108.5, 76.1]",,Low Pass,,6.8767724,,,Bruno da Silva Peres,6965.0,,,,,,,1,From Throw In,Marco Benassi,7149.0,Right Center Midfield,4,Torino,241,"['2b415996-708c-4fb7-8c5e-b66f9e4dc199', '6cf3e4a5-7ff3-4a2d-aaaf-07dd8c21468c']",7,,,,,,,,,,,,,,,,,Torino,241,00:01:07.633,Pass,True
,,,,,,,,,,,,,,,,0.9658,,,,,,,,,,,,,,,f538cb7c-16e5-4709-b1a4-7c2de0cb4483,40,,"[21.0, 0.1]",3879687,1,,,,,0.3606919,,,,,,"[32.4, 4.4]",,Low Pass,,12.184006,,,Danilo Soddimo,11608.0,,,,,,Throw-in,1,From Throw In,Daniel Pavlovic,8661.0,Left Back,5,Frosinone,291,['2752658e-c933-44d0-8426-c1ea4beaa55e'],21,,,,,,,,,,,,,,,,,Frosinone,291,00:01:21.498,Pass,
,,,,,,,,,,,,,,,,0.913074,,,,,,,,,,,,,,,f22684f6-3a41-4d4e-9fe5-a64b2dad4b9b,43,,"[32.4, 4.4]",3879687,1,,,,,2.9829373,,Other,,,,"[27.4, 5.2]",,Low Pass,,5.063596,,,Daniel Pavlovic,8661.0,,,,,,,1,From Throw In,Danilo Soddimo,11608.0,Left Wing,5,Frosinone,291,['35c4a4b4-d20d-4697-90ae-01d3cdb96b98'],22,,,,,,,,,,,,,,,,,Frosinone,291,00:01:22.708,Pass,
,,,,,,,,,,,,,,,,0.737075,,,,,,,,,,,,,,,40a46376-a673-43d7-b583-54a444ade3bb,45,,"[27.4, 4.7]",3879687,1,,,,,-0.9434881,,Right Foot,,,,"[30.3, 0.7]",,High Pass,,4.9406476,Out,,,,,,,,,,1,From Throw In,Daniel Pavlovic,8661.0,Left Back,5,Frosinone,291,,23,,,,,,,,,,,,,,,,,Frosinone,291,00:01:23.621,Pass,
,,,,,,,,,,,,,,,,0.851577,,,,,,,,,,,,,,,3415c930-74fc-4f8d-a6a9-b5369fff4e91,47,,"[93.2, 80.0]",3879687,1,,,,,-1.7723241,,,,,,"[91.3, 70.7]",,Low Pass,,9.492102,Incomplete,,Marco Benassi,7149.0,,,,,,Throw-in,1,From Throw In,Bruno da Silva Peres,6965.0,Right Wing Back,6,Torino,241,"['42acf27e-3190-4f17-8a47-5316d7fd9fd2', '57f6c909-45b5-447b-9a36-49eb8e1ad5be']",36,,,,,,,,,,,,,,,,,Torino,241,00:01:36.076,Pass,
