50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.58703,,,,,,,,,,,,ed474b26-8c4e-4089-b3d2-37fdd45eb91c,16,,"[107.6, 72.4]",3879593,0,,,,,-1.5566729,,Right Foot,True,,,"[108.1, 37.0]",,High Pass,35.40353,,Incomplete,,,,,,,,,1,From Kick Off,Andrea Rispoli,30769.0,Right Wing Back,2,Palermo,2256,['d46687e2-f252-480a-ab7c-68d8bb3b5b1a'],11,,,,,,,,,,,,,,,,,Palermo,2256,00:00:11.027,Pass,
,,,,,,,,,,,,,,,,,,1.369267,,,,,,,,,,,,9f12ff3d-fdb1-4ffe-8ec9-41266de9f43b,18,,"[95.6, 59.4]",3879593,0,,,,True,-1.5374753,,,,,,"[96.1, 44.4]",,High Pass,15.008331,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Luca Rigoni,7461.0,Right Center Midfield,2,Palermo,2256,"['bc148a7d-b999-4c7e-9eac-8cb05b25525f', 'ee3477ea-a953-45b0-adac-e723237188c1']",15,,,,,,,,,,,,,,,,,Palermo,2256,00:00:15.296,Pass,True
,,,,,,,,,,,,,,,,,,2.062451,,,,,,,,,,,,bc148a7d-b999-4c7e-9eac-8cb05b25525f,20,,"[24.0, 35.7]",3879593,0,,,,,-0.3189702,,Right Foot,,,,"[56.4, 25.0]",,High Pass,34.12111,,Incomplete,,Gonzalo Gerardo Higuaín,5497.0,,,,,Recovery,1,From Kick Off,David López Silva,6754.0,Right Center Midfield,2,Palermo,2256,"['66b344bf-3b5b-40fb-aea6-9181b65297da', '694ce65c-dbdd-49fa-8b82-c546dc88d502', '9f12ff3d-fdb1-4ffe-8ec9-41266de9f43b']",16,,,,,,,,,,,,,,,,,Napoli,227,00:00:16.665,Pass,
,,,,,,,,,,,,,,,,,,3.080169,,,,,,,,,,,,66b344bf-3b5b-40fb-aea6-9181b65297da,22,,"[63.7, 55.1]",3879593,0,,,,,-0.40881643,,Left Foot,,,,"[94.4, 41.8]",,High Pass,33.457138,,Incomplete,,Luca Rigoni,7461.0,,,,,Recovery,1,From Kick Off,Giancarlo González Castro,5584.0,Center Back,2,Palermo,2256,"['75fb5550-8d84-41c4-934d-6adc708a5d3e', 'bc148a7d-b999-4c7e-9eac-8cb05b25525f', 'd800af0a-09fc-4985-8369-e56002069b1d']",18,,,,,,,,,,,,,,,,,Palermo,2256,00:00:18.727,Pass,
,,,,,,,,,,,,,,,,,,1.593246,,,,,,,,,,,,75fb5550-8d84-41c4-934d-6adc708a5d3e,24,,"[25.7, 38.3]",3879593,0,,,,,-0.8279257,,Head,,,,"[39.2, 23.6]",,High Pass,19.958456,,,,Marek Hamšík,7025.0,,,,,Recovery,1,From Kick Off,Raúl Albiol i Tortajada,7030.0,Right Center Back,2,Palermo,2256,"['66b344bf-3b5b-40fb-aea6-9181b65297da', 'c0b66585-eba4-49aa-af48-38d9b9da753a']",21,,,,,,,,,,,,,,,,,Napoli,227,00:00:21.808,Pass,
,,,,,,,,,,,,,,,,,,1.294198,,,,,,,,,,,,865bf189-5562-40d5-bb61-df3ba23bd891,26,,"[39.2, 23.6]",3879593,0,,,,,0.44274473,,Head,,,,"[50.8, 29.1]",,High Pass,12.837834,,Incomplete,,Gonzalo Gerardo Higuaín,5497.0,,,,,,1,From Kick Off,Marek Hamšík,7025.0,Left Center Midfield,2,Palermo,2256,"['6d168f63-0693-470a-a682-1c52d964d893', 'b024f515-afb9-4e93-abd6-00b795b80d5b']",23,,,,,,,,,,,,,,,,,Napoli,227,00:00:23.401,Pass,
,,,,,,,,,,,,,,,,,,3.764997,,,,,,,,,,,,6d168f63-0693-470a-a682-1c52d964d893,28,,"[69.3, 51.0]",3879593,0,,,,,0.5660281,,Right Foot,,,,"[97.0, 68.6]",,High Pass,32.81844,,Incomplete,,Andrea Rispoli,30769.0,,,,,Recovery,1,From Kick Off,Enzo Maresca,25954.0,Center Defensive Midfield,2,Palermo,2256,"['865bf189-5562-40d5-bb61-df3ba23bd891', 'c0db0aa6-7e69-4c57-8703-de939723f8b8', 'fda632db-9956-448b-9d36-c4d7780cc047']",24,,,,,,,,,,,,,,,,,Palermo,2256,00:00:24.695,Pass,
,,,,,,,,,,,,,,,,,,0.892371,,,,,,,,,,,,435e03cf-fcae-4f3f-a67a-f863a5623155,32,,"[101.4, 80.0]",3879593,0,,,,,-1.491418,,,,,,"[102.1, 71.2]",,High Pass,8.827797,,,,Luca Rigoni,7461.0,,,,,Throw-in,1,From Throw In,Andrea Rispoli,30769.0,Right Wing Back,3,Palermo,2256,['74b5b485-f74c-4e99-8ca1-4572cd812181'],53,,,,,,,,,,,,,,,,,Palermo,2256,00:00:53.404,Pass,
,,,,,,,,,,,,,,,,,,0.980084,,,,,,,,,,,,38fc7e6e-35ef-4b63-ac4c-36124effccd2,34,,"[102.1, 71.2]",3879593,0,,,,,0.37206775,,Right Foot,,,,"[110.3, 74.4]",,Low Pass,8.802273,,,,Andrea Rispoli,30769.0,,,,,,1,From Throw In,Luca Rigoni,7461.0,Right Center Midfield,3,Palermo,2256,['d7f31894-06f8-4320-861e-f9b7d70a8b9e'],54,,,,,,,,,,,,,,,,,Palermo,2256,00:00:54.296,Pass,
,,,,,,,,,,,,,,,,,,0.969703,,,,,,,,,,,,6dd8c3ea-3f1a-4d92-828b-53b1a06bf2ec,37,,"[110.3, 74.4]",3879593,0,,,,,-2.968097,,Right Foot,,,,"[100.6, 72.7]",,Ground Pass,9.847842,,,,Luca Rigoni,7461.0,,,,,,1,From Throw In,Andrea Rispoli,30769.0,Right Wing Back,3,Palermo,2256,['168498a8-aad2-4c50-ad3b-50b9409c1f44'],55,,,,,,,,,,,,,,,,,Palermo,2256,00:00:55.447,Pass,
