50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cf1c9ff9-173f-4e30-9b9b-b53f92e83d6b,1,,,3879699,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 387417, 'name': 'Mattia Cassani'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 9884, 'name': 'Niklas Moisander'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 87}, {'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 27595, 'name': 'Carlos Mario Carbonero Mancilla'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 77}, {'player': {'id': 6822, 'name': 'Carlos Joaquín Correa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 19850, 'name': 'Antonio Cassano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,22752325-e561-4c96-9afa-fa4383f43443,2,,,3879699,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Napoli,227,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,15ab8280-e088-4761-97fd-0651b8945049,3,,,3879699,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['d8f83eb8-7765-46ce-b7f8-58f9236f0b9e'],0,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d8f83eb8-7765-46ce-b7f8-58f9236f0b9e,4,,,3879699,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['15ab8280-e088-4761-97fd-0651b8945049'],0,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,32041342-c624-4b6a-a68a-2b0b46e62863,1816,,,3879699,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Napoli,227,['b209b08a-a24b-4bb5-a6d4-1b96e7ff8b96'],0,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b209b08a-a24b-4bb5-a6d4-1b96e7ff8b96,1817,,,3879699,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Napoli,227,['32041342-c624-4b6a-a68a-2b0b46e62863'],0,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.735161,,,,,,,,,,,,,,,e3d4c195-5ee7-4326-b67c-6d05a40be2d1,5,,"[61.0, 40.1]",3879699,0,,True,,,1.849096,,Right Foot,,,,"[60.2, 42.9]",,Ground Pass,,2.912044,,,,,Antonio Cassano,19850.0,,,,,,Kick Off,1,From Kick Off,Carlos Joaquín Correa,6822.0,Center Attacking Midfield,2,Sampdoria,234,['693ac752-d2d4-4e51-a7fb-c321458b72ba'],0,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.896,Pass,
,,,,,,,,,,,,,,,,,1.186469,,,,,,,,,,,,,,,3e5daa6f-6427-4308-b8ba-bac225f8ed07,7,,"[64.6, 43.2]",3879699,0,,,,,-0.6451486,,Right Foot,,,,"[84.0, 28.6]",,High Pass,,24.280033,,,Incomplete,,Eder Citadin Martins,7000.0,,,,,,,1,From Kick Off,Antonio Cassano,19850.0,Center Forward,2,Sampdoria,234,"['24266c02-8706-44ef-aff4-c6eecaecd876', '759cfedc-a724-4792-a27e-a93bd838e8d4']",3,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:03.005,Pass,
,,,,,,,,,,,,,,,,,0.181478,,,,,,,,,,,,,,,9744083e-4a7a-4c81-901d-1528f028f037,11,,"[50.3, 53.7]",3879699,0,,,,,-2.301703,,Right Foot,,,,"[47.7, 50.8]",,Low Pass,,3.8948684,,,Unknown,,Jorge Luiz Frello Filho,7024.0,,,,,,Recovery,1,From Kick Off,Gonzalo Gerardo Higuaín,5497.0,Center Forward,2,Sampdoria,234,['0fa3ae99-f9dd-4b9b-bb78-e397f9ccebd1'],6,,,,,,,,,,,,,,,,,Napoli,227,00:00:06.290,Pass,
,,,,,,,,,,,,,,,,,0.447891,,,,,,,,,,,,,,,0ed20b4e-c0d5-4eea-9831-8a18441f7796,14,,"[54.5, 49.5]",3879699,0,,,,,-2.302193,,Right Foot,,,,"[51.0, 45.6]",,Ground Pass,,5.240229,,,,,Jorge Luiz Frello Filho,7024.0,,,,,,Recovery,1,Regular Play,Allan Marques Loureiro,7035.0,Right Center Midfield,3,Napoli,227,"['540662ef-d3bf-492a-b5ea-ba9cd1792968', 'b5f9d154-218a-43cd-a8e5-98d4975a2554']",8,,,,,,,,,,,,,,,,,Napoli,227,00:00:08.099,Pass,True
