ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ffcbf97e-64c1-4be7-a879-dfc63a9c5c40,1,,,3879737,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 26683, 'name': 'Abdoulay Konko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 9939, 'name': 'Maurício dos Santos Nascimento'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7107, 'name': 'Danilo Cataldi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 8172, 'name': 'Felipe Anderson Pereira Gomes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 386641, 'name': 'Stefano Mauri'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 8296, 'name': 'Alessandro Matri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3e4128a1-444a-4b70-bd65-f98dc95f04c2,2,,,3879737,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7705, 'name': 'Mohamed Salim Fares'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 93}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 32119, 'name': 'Leandro Greco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 26442, 'name': 'Boško Janković'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6686, 'name': 'Giampaolo Pazzini'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,518b6707-1080-4ff3-a815-d53f7e510506,3,,,3879737,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['8c58af44-f43b-4c87-9ed2-f2726b3f1c2a'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8c58af44-f43b-4c87-9ed2-f2726b3f1c2a,4,,,3879737,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['518b6707-1080-4ff3-a815-d53f7e510506'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fdf8f050-a01d-4d32-b674-7438a34e6595,1622,,,3879737,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,95,Hellas Verona,226,['faf2150c-dff0-4257-8477-b8791c6c28b4'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,faf2150c-dff0-4257-8477-b8791c6c28b4,1623,,,3879737,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,95,Hellas Verona,226,['fdf8f050-a01d-4d32-b674-7438a34e6595'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.209581,,,,,,,,,,,,,879ec266-bfad-46f9-b85a-33bbbe74a9ea,5,,"[61.0, 40.1]",3879737,0,,,,,2.932911,,Right Foot,,,"[52.5, 41.9]",,Ground Pass,,8.6884985,,,,Artur Ioniţă,7949.0,,,,,Kick Off,1,From Kick Off,Giampaolo Pazzini,6686.0,Left Center Forward,2,Hellas Verona,226,['738f9557-3353-4eca-b7c7-2308370bae6b'],1,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:01.141,Pass,
,,,,,,,,,,,,,,,,1.883865,,,,,,,,,,,,,e89a596c-5385-4d1d-920e-8b4cf4bcb41f,8,,"[52.5, 41.9]",3879737,0,,,,,2.0464916,,Right Foot,,,"[37.2, 71.6]",,Ground Pass,,33.40928,,,,Eros Pisano,11342.0,,,,,,1,From Kick Off,Artur Ioniţă,7949.0,Right Defensive Midfield,2,Hellas Verona,226,['11b4aa04-491c-45a6-a69d-bfb395aa58d6'],2,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:02.782,Pass,
,,,,,,,,,,,,,,,,5.351001,,,,,,,,,,,,,ec723fb8-1bbd-4dc4-be00-8a2c73981bf3,11,,"[43.1, 69.1]",3879737,0,,,,,-0.57920194,,Right Foot,,,"[106.4, 27.7]",,High Pass,,75.6363,,Incomplete,,Luca Toni,20252.0,,True,,,,1,From Kick Off,Eros Pisano,11342.0,Right Back,2,Hellas Verona,226,"['befcb581-9cd3-4bdd-98a1-ecb529dee190', 'dfb52709-0e5f-40f0-a8a5-0e252a53e6fb']",6,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:06.094,Pass,
,,,,,,,,,,,,,,,,2.991376,,,,,,,,,,,,,9d271538-5109-44de-aa39-2880f06d1522,15,,"[10.3, 34.4]",3879737,0,,,,,-1.2633989,,Keeper Arm,,,"[14.3, 21.8]",,Ground Pass,,13.219683,,,,Wesley Hoedt,3588.0,,,,,,1,Regular Play,Federico Marchetti,12491.0,Goalkeeper,3,Lazio,236,['d3571eb5-c4d2-4e78-9fe5-a7e0863aac3e'],14,,,,,,,,,,,,,,,,Lazio,236,00:00:14.214,Pass,
,,,,,,,,,,,,,,,,1.107189,,,,,,,,,,,,,7d162b7a-4b2b-4c05-8ae3-82662f560b55,18,,"[31.7, 11.6]",3879737,0,,,,,1.2589957,,Left Foot,,,"[35.6, 23.7]",,Ground Pass,,12.712985,,,,Lucas Rodrigo Biglia,5510.0,,,,,,1,Regular Play,Wesley Hoedt,3588.0,Left Center Back,3,Lazio,236,['74f21ba7-bcd0-4bd0-ba6d-7ad3e2b05c51'],21,,,,,,,,,,,,,,,,Lazio,236,00:00:21.839,Pass,
,,,,,,,,,,,,,,,,2.315475,,,,,,,,,,,,,40751f9e-c2c0-4cb7-9104-aa1be28d45ec,21,,"[35.6, 23.7]",3879737,0,,,,,1.3063927,,Right Foot,,,"[48.0, 69.5]",,Low Pass,,47.44892,,,,Abdoulay Konko,26683.0,,True,,,,1,Regular Play,Lucas Rodrigo Biglia,5510.0,Center Defensive Midfield,3,Lazio,236,['780dbf12-2bb0-4234-99f2-6dfba060600d'],24,,,,,,,,,,,,,,,,Lazio,236,00:00:24.421,Pass,
,,,,,,,,,,,,,,,,0.976002,,,,,,,,,,,,,addd413a-6634-41fc-b221-40590c48d489,24,,"[51.3, 67.6]",3879737,0,,,,,-2.078969,,Right Foot,,,"[46.9, 59.7]",,Ground Pass,,9.042677,,,,Danilo Cataldi,7107.0,,,,,,1,Regular Play,Abdoulay Konko,26683.0,Right Back,3,Lazio,236,['4aa4812c-18c7-4e5c-81c3-eae05fefacb4'],28,,,,,,,,,,,,,,,,Lazio,236,00:00:28.494,Pass,
,,,,,,,,,,,,,,,,1.984139,,,,,,,,,,,,,0ec18586-a053-4607-b428-df5a9a86324e,27,,"[46.9, 59.7]",3879737,0,,,,,-1.7490096,,Right Foot,,,"[41.1, 27.5]",,Ground Pass,,32.71819,,,,Wesley Hoedt,3588.0,,,,,,1,Regular Play,Danilo Cataldi,7107.0,Right Center Midfield,3,Lazio,236,['24461f6d-29cb-4b06-93c5-f4fa397aa71c'],30,,,,,,,,,,,,,,,,Lazio,236,00:00:30.093,Pass,
,,,,,,,,,,,,,,,,2.807164,,,,,,,,,,,,,31b11061-2a43-4887-b192-0780982f90f7,30,,"[50.1, 22.1]",3879737,0,,,,,-0.3532137,,Left Foot,,,"[91.6, 6.8]",,High Pass,,44.230534,,Incomplete,,Sergej Milinković-Savić,5589.0,,,,,,1,Regular Play,Wesley Hoedt,3588.0,Left Center Back,3,Lazio,236,"['4a9cb010-4f54-46c0-8c66-4b7ac2743ec2', '95c4f09e-1074-4708-a5b3-606458d0876b']",35,,,,,,,,,,,,,,,,Lazio,236,00:00:35.743,Pass,
,,,,,,,,,,,,,,,,1.473031,,,,,,,,,,,,,95c4f09e-1074-4708-a5b3-606458d0876b,32,,"[28.5, 73.3]",3879737,0,,,,,-0.049342632,,Head,,,"[36.6, 72.9]",,Low Pass,,8.109871,,,,Artur Ioniţă,7949.0,,,,,Recovery,1,Regular Play,Eros Pisano,11342.0,Right Back,4,Hellas Verona,226,"['31b11061-2a43-4887-b192-0780982f90f7', 'dc087ead-cfce-4088-9e10-018e94538d40']",38,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:38.550,Pass,
