bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f595440a-f33e-4fd3-95af-ea22566737d5,1,,,,3879685,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 57}, {'player': {'id': 386607, 'name': 'Gianpaolo Bellini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 29}, {'player': {'id': 31231, 'name': 'Davide Brivio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6952, 'name': 'Alberto Grassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 88}, {'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 8184, 'name': ""Marco D''Alessandro""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 49439, 'name': 'Germán Gustavo Denis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Atalanta,228,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9c02cb52-8e6a-4bcc-94c2-7dc948108bdd,2,,,,3879685,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 7148, 'name': 'Mattia Perin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6894, 'name': 'Ezequiel Muñoz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 7467, 'name': 'Nicolás Andrés Burdisso'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 9940, 'name': 'Armando Izzo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7464, 'name': 'Cristian Daniel Ansaldi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 93}, {'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 30}, {'player': {'id': 7475, 'name': 'Tomás Eduardo Rincón Hernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 7022, 'name': 'Jesús Joaquín Fernández Sáez de la Torre'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 30772, 'name': 'Panagiotis Tachtsidis'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 77}, {'player': {'id': 8180, 'name': 'Leonardo Pavoletti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a1a474cc-1b57-443a-b8bc-01f7dab7a23c,3,,,,3879685,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['52957215-a152-4c71-b918-78cc9a7ee4cf'],0,,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52957215-a152-4c71-b918-78cc9a7ee4cf,4,,,,3879685,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['a1a474cc-1b57-443a-b8bc-01f7dab7a23c'],0,,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3baa85dd-de31-4506-9666-aeaa2a9eae50,1875,,,,3879685,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Atalanta,228,['e9ee3c0f-c3f3-414c-80a4-fa45bfe8c137'],0,,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e9ee3c0f-c3f3-414c-80a4-fa45bfe8c137,1876,,,,3879685,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Atalanta,228,['3baa85dd-de31-4506-9666-aeaa2a9eae50'],0,,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.470763,,,,,,,,,,,,,0e4ef5b9-25b6-4349-85e1-01e32a1325c6,5,,,"[61.0, 40.1]",3879685,0,,,,,2.223643,,Right Foot,,,"[59.7, 41.8]",,Ground Pass,2.1400936,,,,,Jesús Joaquín Fernández Sáez de la Torre,7022.0,,,,,Kick Off,1,From Kick Off,Leonardo Pavoletti,8180.0,Center Forward,2,Genoa,233,['39f5fc7a-8614-4c14-a262-ea873a1fd0fa'],0,,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.167,Pass,
,,,,,,,,,,,,,,,,,,1.246374,,,,,,,,,,,,,5e9a1d61-d870-4a0a-afd8-88af27b8d840,7,,,"[59.1, 41.8]",3879685,0,,,,,-3.0428162,,Right Foot,,,"[48.0, 40.7]",,Ground Pass,11.154371,,,,,Tomás Eduardo Rincón Hernández,7475.0,,,,,,1,From Kick Off,Jesús Joaquín Fernández Sáez de la Torre,7022.0,Right Attacking Midfield,2,Genoa,233,['6497dfe7-ba8c-4411-925a-10f8fb41ba08'],0,,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.638,Pass,
,,,,,,,,,,,,,,,,,,1.593752,,,,,,,,,,,,,f904571f-fb65-4201-9360-8c3f0374859b,10,,,"[48.1, 36.4]",3879685,0,,,,,-2.2568913,,Right Foot,,,"[35.9, 21.5]",,Ground Pass,19.257465,,,,,Armando Izzo,9940.0,,,,,,1,From Kick Off,Tomás Eduardo Rincón Hernández,7475.0,Left Defensive Midfield,2,Genoa,233,['2d756bf8-c52b-4f58-90e5-bb5fb23991f6'],2,,,,,,,,,,,,,,,,,,,Genoa,233,00:00:02.758,Pass,
,,,,,,,,,,,,,,,,,,2.048983,,,,,,,,,,,,,ee32790c-3ab2-4753-8d95-b60afd6bbc1c,13,,,"[41.0, 21.3]",3879685,0,,,,,2.2305067,,Left Foot,,,"[28.9, 36.9]",,Ground Pass,19.742594,,,,,Nicolás Andrés Burdisso,7467.0,,,,,,1,From Kick Off,Armando Izzo,9940.0,Left Center Back,2,Genoa,233,['be51972f-2af4-4662-8d2d-d4d64bb8e62c'],5,,,,,,,,,,,,,,,,,,,Genoa,233,00:00:05.287,Pass,
