50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c180baa0-87ae-4698-9d22-1a2056d494d2,1,,,3879761,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 30829, 'name': 'Lorenzo Lollo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 387476, 'name': 'Raphael Martinho Alves de Lima'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 29}, {'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 7793, 'name': 'Kevin Lasagna'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 32608, 'name': 'Jerry Uche Mbakogu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 99}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f653c905-93be-497a-bc0c-f1b065d662a9,2,,,3879761,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 57}, {'player': {'id': 386607, 'name': 'Gianpaolo Bellini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 29}, {'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 93}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 19847, 'name': 'Alessandro Diamanti'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 8184, 'name': ""Marco D''Alessandro""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 36770, 'name': 'Mauricio Ricardo Pinilla Ferreira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 51}]}",Atalanta,228,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,77c75a3d-0a52-4f2e-8f89-35cf5c8eae43,3,,,3879761,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['50b88ac3-c3f7-411f-bcdc-cf1aa2ae0004'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,50b88ac3-c3f7-411f-bcdc-cf1aa2ae0004,4,,,3879761,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['77c75a3d-0a52-4f2e-8f89-35cf5c8eae43'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,True,efc3ae44-1f1e-43e7-8489-32cadc954e34,1416,,,3879761,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,114,Atalanta,228,['ebd4836b-2e47-49b1-ba91-8b095c9c94ca'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,True,ebd4836b-2e47-49b1-ba91-8b095c9c94ca,1417,,,3879761,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,114,Atalanta,228,['efc3ae44-1f1e-43e7-8489-32cadc954e34'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.281427,,,,,,,,,,,,,,,f7ce0ec5-c5df-4c62-9e44-2eb616bd3d8a,5,,"[61.0, 40.1]",3879761,0,,,,-3.1296885,,Right Foot,,,"[44.2, 39.9]",,Ground Pass,,16.801191,,,,Marten de Roon,6994.0,,,,Kick Off,1,From Kick Off,Alessandro Diamanti,19847.0,Right Wing,2,Atalanta,228,['d2cc90f7-f5c4-48f6-b43a-5f4f0e06fcfc'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.908,Pass,
,,,,,,,,,,,,,,,,,,,2.042174,,,,,,,,,,,,,,,a80fddcc-9d03-4b58-916e-644e02b2813d,8,,"[44.2, 38.6]",3879761,0,,,,-1.5796719,,Right Foot,,,"[43.9, 4.8]",,Ground Pass,,33.80133,,,,Boukary Dramé,11722.0,,,,,1,From Kick Off,Marten de Roon,6994.0,Center Defensive Midfield,2,Atalanta,228,['8756b36e-6291-4a18-a851-684cd0b60f13'],3,,,,,,,,,,,,,,,,Atalanta,228,00:00:03.042,Pass,
,,,,,,,,,,,,,,,,,,,1.130368,,,,,,,,,,,,,,,06f580a7-e5ec-4cc3-b503-481acf399dd3,12,,"[78.8, 80.0]",3879761,0,,,,-0.38784376,,,,,"[95.2, 73.3]",,Low Pass,,17.715813,,,,Kevin Lasagna,7793.0,,,,Throw-in,1,From Throw In,Raphael Martinho Alves de Lima,387476.0,Right Midfield,3,Carpi,1683,['5e873835-b4c0-4cb5-815d-1449ee188e8f'],8,,,,,,,,,,,,,,,,Carpi,1683,00:00:08.966,Pass,
,,,,,,,,,,,,,,,,,,,0.924873,,,,,,,,,,,,,,,33bab573-3522-4841-b3ed-5b48b569c6a9,18,,"[102.3, 72.7]",3879761,1,,,,-1.1664013,,Left Foot,True,,"[112.7, 48.4]",,Low Pass,,26.431988,,Incomplete,,Raffaele Bianco,352172.0,,,,Free Kick,1,From Free Kick,Raphael Martinho Alves de Lima,387476.0,Right Midfield,4,Carpi,1683,"['1b2a17ee-5ece-4372-91f2-b6c9f4ec516b', 'e2b2d6dd-0bab-4e74-a27f-b0f3413384aa']",20,,,,,,,,,,,,,,,,Carpi,1683,00:01:20.071,Pass,
