50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6f6e1d20-c50e-41ff-a4f4-d43877db1dec,1,,,3879588,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 57}, {'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 40426, 'name': 'Guglielmo Stendardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 29}, {'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 93}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 35923, 'name': 'Carlos Emilio Carmona Tello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 12759, 'name': 'Maximiliano Nicol Moralez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 36770, 'name': 'Mauricio Ricardo Pinilla Ferreira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 51}]}",Atalanta,228,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c31eec85-8eef-49c6-9894-8c5697c77e6a,2,,,3879588,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8443, 'name': 'Dušan Basta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8847, 'name': 'Santiago Juan Gentiletti Selak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 33311, 'name': 'Ogenyi Eddy Onazi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 8172, 'name': 'Felipe Anderson Pereira Gomes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 8296, 'name': 'Alessandro Matri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,55104854-51a6-4be2-9f00-493041460a72,3,,,3879588,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['bb59bf75-a339-45c1-aa1f-af28672c3a6e'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bb59bf75-a339-45c1-aa1f-af28672c3a6e,4,,,3879588,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['55104854-51a6-4be2-9f00-493041460a72'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a58a365c-a5d4-47dd-ae42-a23421eb51d9,1595,,,3879588,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Lazio,236,['7d34f569-7218-4492-b920-1eb91395ca53'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7d34f569-7218-4492-b920-1eb91395ca53,1596,,,3879588,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Lazio,236,['a58a365c-a5d4-47dd-ae42-a23421eb51d9'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.478356,,,,,,,,,,,ebcaed27-b248-447e-8dcb-bab0515ff771,5,,"[60.0, 40.0]",3879588,0,,True,,,-2.7538226,,Right Foot,,,"[45.8, 34.2]",,Ground Pass,,15.33884,,,,Marten de Roon,6994.0,,,,,Kick Off,1,From Kick Off,Mauricio Ricardo Pinilla Ferreira,36770.0,Center Forward,2,Atalanta,228,['ae097b29-5aa7-4205-9b6b-fd66b0e249af'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.508,Pass,
,,,,,,,,,,,,,,,,,1.628385,,,,,,,,,,,e233d83b-7a4f-4756-b9ae-bcf622050144,7,,"[45.6, 29.9]",3879588,0,,,,,-1.7726429,,Right Foot,,,"[40.3, 4.0]",,Ground Pass,,26.436716,,,,Boukary Dramé,11722.0,,,,,,1,From Kick Off,Marten de Roon,6994.0,Center Defensive Midfield,2,Atalanta,228,['3992d90c-0cd5-4ead-ba5f-73c395819bf7'],2,,,,,,,,,,,,,,,,Atalanta,228,00:00:02.834,Pass,
,,,,,,,,,,,,,,,,,1.385581,,,,,,,,,,,863e6a47-a115-460b-a45d-2fcedb00ccb2,11,,"[40.3, 9.3]",3879588,0,,,,,1.9352373,,Left Foot,,,"[30.0, 36.3]",,Ground Pass,,28.897924,,,,Guglielmo Stendardo,40426.0,,,,,,1,From Kick Off,Boukary Dramé,11722.0,Left Back,2,Atalanta,228,['f1125fd2-c49b-42a8-8bfc-2433a9b89e19'],6,,,,,,,,,,,,,,,,Atalanta,228,00:00:06.757,Pass,
,,,,,,,,,,,,,,,,,2.573498,,,,,,,,,,,f9004f33-7cc3-409a-afdc-f66808967d15,14,,"[29.4, 41.4]",3879588,0,,,,,1.5572379,,Right Foot,,,"[29.8, 70.9]",,Ground Pass,,29.502712,,,,Andrea Masiello,6992.0,,,,,,1,From Kick Off,Guglielmo Stendardo,40426.0,Right Center Back,2,Atalanta,228,['e77da8db-3cbe-446d-bd40-addbf637da1f'],9,,,,,,,,,,,,,,,,Atalanta,228,00:00:09.343,Pass,
