50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d0b71998-2d68-4e7d-9878-aaff33b67117,1,,,3879539,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 387477, 'name': 'Francesco Benussi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 387474, 'name': 'Igor Bubnjić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 34}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 30829, 'name': 'Lorenzo Lollo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 28442, 'name': 'Matteo Fedele'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 58}, {'player': {'id': 7696, 'name': 'Ryder Matos Santos'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 32608, 'name': 'Jerry Uche Mbakogu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8a7549d8-9063-4a4d-9177-db86797a3490,2,,,3879539,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 8194, 'name': 'Mirko Valdifiori'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Napoli,227,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,108260eb-991e-436f-ad61-c50356a46c99,3,,,3879539,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['7ed4272e-b868-4228-9b96-da6dde16c682'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7ed4272e-b868-4228-9b96-da6dde16c682,4,,,3879539,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['108260eb-991e-436f-ad61-c50356a46c99'],0,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cf75fe68-f676-45ee-a409-19a4a52fe4f4,1801,,,3879539,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Napoli,227,['9f6116e2-406f-4ff9-ba91-9e8da553319a'],0,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9f6116e2-406f-4ff9-ba91-9e8da553319a,1802,,,3879539,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Napoli,227,['cf75fe68-f676-45ee-a409-19a4a52fe4f4'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.111145,,,,,,,,,,,,94d0e70b-a23a-4b9d-ae08-6c9fa9f059be,5,,"[61.0, 40.1]",3879539,0,,,,,2.7524955,,Right Foot,,,"[51.0, 44.2]",Ground Pass,,10.807867,,,,,Raúl Albiol i Tortajada,7030.0,,,,,Kick Off,1,From Kick Off,Gonzalo Gerardo Higuaín,5497.0,Center Forward,2,Napoli,227,['20954f5f-7d95-48c6-822e-9157661af7eb'],0,,,,,,,,,,,,,,,,Napoli,227,00:00:00.308,Pass,
,,,,,,,,,,,,,,,0.978481,,,,,,,,,,,,01a6ff06-be51-4d66-b441-79a0593295f5,8,,"[50.2, 45.0]",3879539,0,,,,,-1.8370484,,Right Foot,,,"[49.3, 41.7]",Ground Pass,,3.4205263,,,,,Kalidou Koulibaly,5675.0,,,,,,1,From Kick Off,Raúl Albiol i Tortajada,7030.0,Right Center Back,2,Napoli,227,['6b4586c3-2684-4bd6-8055-5b1e41e20c9f'],1,,,,,,,,,,,,,,,,Napoli,227,00:00:01.699,Pass,
,,,,,,,,,,,,,,,2.964484,,,,,,,,,,,,ef247aff-52f6-426f-9d80-4fe8fc512109,11,,"[49.8, 43.4]",3879539,0,,,,,0.318877,,Right Foot,,,"[91.6, 57.2]",High Pass,,44.019085,,,Incomplete,,Dries Mertens,5630.0,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Left Center Back,2,Napoli,227,"['676c5d26-f602-4376-ab00-d21ee36448c6', 'bfb3026f-b883-4e6a-a23f-b1397fd76581']",3,,,,,,,,,,,,,,,,Napoli,227,00:00:03.005,Pass,
,,,,,,,,,,,,,,,0.796329,,,,,,,,,,,,676c5d26-f602-4376-ab00-d21ee36448c6,13,,"[28.5, 22.9]",3879539,0,,,,,-0.17219082,,Head,,,"[40.0, 20.9]",Low Pass,,11.672618,,,,,Matteo Fedele,28442.0,,,,,Recovery,1,From Kick Off,Igor Bubnjić,387474.0,Left Center Back,2,Napoli,227,"['5ed44b29-e118-4c59-8f16-96fb9920f1d2', 'ef247aff-52f6-426f-9d80-4fe8fc512109']",5,,,,,,,,,,,,,,,,Carpi,1683,00:00:05.970,Pass,
