50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1b972c99-cbec-4d32-939e-3a8030e56d1f,1,,,3878558,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 7027, 'name': 'Christian Maggio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8194, 'name': 'Mirko Valdifiori'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Napoli,227,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b761a0c3-0f41-4603-b373-0c5aef8773e4,2,,,3878558,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 387417, 'name': 'Mattia Cassani'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 40321, 'name': 'Andrea Coda'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 40429, 'name': 'Angelo Palombo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 6334, 'name': 'Luis Fernando Muriel Fruto'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a7d871c2-7ce9-43c7-950b-f498ba0dff5c,3,,,3878558,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,['9f2b7505-bba1-410e-81c7-8b85016ff75f'],0,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9f2b7505-bba1-410e-81c7-8b85016ff75f,4,,,3878558,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,['a7d871c2-7ce9-43c7-950b-f498ba0dff5c'],0,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1d638b5c-88c1-4a39-a47b-7627f4e48246,1993,,,3878558,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,94,Sampdoria,234,['fe1b0b05-1705-4059-a51a-591e340d82c5'],0,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fe1b0b05-1705-4059-a51a-591e340d82c5,1994,,,3878558,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,94,Sampdoria,234,['1d638b5c-88c1-4a39-a47b-7627f4e48246'],0,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.622179,,,,,,,,,,,,,,,18c96383-636c-4d24-b504-5fc66f7bb6bc,5,,"[61.0, 40.1]",3878558,0,,,,2.6746447,,Right Foot,,,,"[48.9, 46.2]",,Ground Pass,,13.550646,,,,Raúl Albiol i Tortajada,7030.0,,,,,Kick Off,1,From Kick Off,José María Callejón Bueno,7029.0,Right Center Forward,2,Napoli,227,['63ab4602-69ac-413c-affa-f468a4ac456e'],0,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.731,Pass,
,,,,,,,,,,,,,,,,0.617736,,,,,,,,,,,,,,,7e3a1e01-c006-4997-96e9-e735055bb0f5,8,,"[49.1, 47.9]",3878558,0,,,,-1.7659547,,Right Foot,,,,"[47.4, 39.3]",,Ground Pass,,8.766413,,,,Kalidou Koulibaly,5675.0,,,,,,1,From Kick Off,Raúl Albiol i Tortajada,7030.0,Right Center Back,2,Napoli,227,['f4f27cfc-3821-4115-b733-623f96cd3cbd'],2,,,,,,,,,,,,,,,,,,Napoli,227,00:00:02.363,Pass,
,,,,,,,,,,,,,,,,3.021119,,,,,,,,,,,,,,,8d1fbf2c-f0cb-4077-b044-e6571048d046,11,,"[47.4, 39.3]",3878558,0,,,,0.67267054,,Left Foot,,,,"[82.8, 67.5]",,High Pass,,45.259254,,Incomplete,,Christian Maggio,7027.0,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Left Center Back,2,Napoli,227,"['5ea2b348-be6d-485e-9a2e-f9cab300820b', '8f421438-b877-4a5b-8f1e-b1721665de6e', 'ed106072-e040-41c0-9692-d8047d710364']",2,,,,,,,,,,,,,,,,,,Napoli,227,00:00:02.981,Pass,True
,,,,,,,,,,,,,,,,1.936754,,,,,,,,,,,,,,,5ea2b348-be6d-485e-9a2e-f9cab300820b,14,,"[37.3, 12.6]",3878558,0,,,True,0.1990819,,,,,,"[48.7, 14.9]",,Low Pass,,11.6297035,,,,Luis Fernando Muriel Fruto,6334.0,,,,,Recovery,1,From Kick Off,Roberto Soriano,6759.0,Left Center Midfield,2,Napoli,227,"['8d1fbf2c-f0cb-4077-b044-e6571048d046', 'cce373e1-aa9f-4248-9b9b-a98d680206f5', 'eb4419e4-561f-49cf-8f2d-8209453d1315']",6,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:06.002,Pass,True
