50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b8bd1dfe-ff29-4005-80e0-6a0be9037ca3,1,,,3879766,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6991, 'name': 'Etrit Berisha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 26683, 'name': 'Abdoulay Konko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3103, 'name': 'Milan Biševac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 9939, 'name': 'Maurício dos Santos Nascimento'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8172, 'name': 'Felipe Anderson Pereira Gomes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 87}, {'player': {'id': 19286, 'name': 'Miroslav Klose'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ca86c447-c788-4d8c-9b0a-54ea5eac76b3,2,,,3879766,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 92}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,6f18394b-3b82-401b-a7fc-813cf19b8c50,3,,,3879766,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['80cfd3d1-1c26-4bf5-8dd3-8c85010bb271'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,80cfd3d1-1c26-4bf5-8dd3-8c85010bb271,4,,,3879766,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['6f18394b-3b82-401b-a7fc-813cf19b8c50'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,93189326-d7ed-4b3a-ac13-7f568b45df5f,1657,,,3879766,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,112,Lazio,236,['ae8be1a3-ee4c-4898-a989-cc122041790c'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ae8be1a3-ee4c-4898-a989-cc122041790c,1658,,,3879766,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,112,Lazio,236,['93189326-d7ed-4b3a-ac13-7f568b45df5f'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.988553,,,,,,,,,,,,,,,,97dcb4a6-502d-401a-a55f-10a57b034eab,5,,"[60.0, 40.0]",3879766,0,,,,-3.0236244,,Right Foot,,,,"[46.5, 38.4]",,Ground Pass,,13.594484,,,Lucas Rodrigo Biglia,5510.0,,,,,Kick Off,1,From Kick Off,Felipe Anderson Pereira Gomes,8172.0,Right Wing,2,Lazio,236,['cd3fe5b2-fcc7-48da-ae93-cda615461045'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.701,Pass,
,,,,,,,,,,,,,,,,,,1.885587,,,,,,,,,,,,,,,,7d499b6f-e9bf-4f14-a76e-8351293e6ef0,8,,"[46.3, 38.4]",3879766,0,,,,2.2142975,,Left Foot,,,,"[37.9, 49.6]",,Ground Pass,,14.0,,,Milan Biševac,3103.0,,,,,,1,From Kick Off,Lucas Rodrigo Biglia,5510.0,Center Defensive Midfield,2,Lazio,236,['ffc10d81-e0c0-4d67-a061-c628c40c2b31'],2,,,,,,,,,,,,,,,,,Lazio,236,00:00:02.281,Pass,
,,,,,,,,,,,,,,,,,,1.927863,,,,,,,,,,,,,,,,c954f2e0-cff1-49e6-9085-db04cddfc469,10,,"[38.1, 50.2]",3879766,0,,,,-1.7536368,,Right Foot,,,,"[33.2, 23.7]",,Ground Pass,,26.949211,,,Maurício dos Santos Nascimento,9939.0,,,,,,1,From Kick Off,Milan Biševac,3103.0,Right Center Back,2,Lazio,236,['6c5c2fd8-3f4a-422d-8354-cdad2c488b5a'],4,,,,,,,,,,,,,,,,,Lazio,236,00:00:04.167,Pass,
,,,,,,,,,,,,,,,,,,1.618272,,,,,,,,,,,,,,,,60299613-c56e-4ac2-99c7-e2e24d6b4a77,13,,"[49.3, 25.8]",3879766,0,,,,-1.382113,,Right Foot,,,,"[53.1, 5.9]",,Ground Pass,,20.259565,,,Senad Lulić,7785.0,,,,,,1,From Kick Off,Maurício dos Santos Nascimento,9939.0,Left Center Back,2,Lazio,236,['de21345e-f572-4d04-b627-038e72070957'],9,,,,,,,,,,,,,,,,,Lazio,236,00:00:09.435,Pass,
