50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3ede52be-7e17-4673-8f82-3461b5086247,1,,,3879844,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 31273, 'name': 'Marco Crimi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 30829, 'name': 'Lorenzo Lollo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 32608, 'name': 'Jerry Uche Mbakogu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1c37c3e7-68d1-4e01-a311-41b2ca5c4dbc,2,,,3879844,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 40332, 'name': 'Alberto Pelagotti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 40250, 'name': 'Marco Zambelli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 16061, 'name': 'Uroš Ćosić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 8664, 'name': 'Andrea Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 8187, 'name': 'Marcel Büchel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 18028, 'name': 'Levan Mchedlidze'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6103fbea-95cd-46d9-a0a4-905455bf4579,3,,,3879844,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['bdade9e0-9067-40a0-86bf-d7a8c4da2c2a'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bdade9e0-9067-40a0-86bf-d7a8c4da2c2a,4,,,3879844,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['6103fbea-95cd-46d9-a0a4-905455bf4579'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,58a1ab08-8e39-49a5-9bd5-77e1643941d4,1997,,,3879844,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,Empoli,290,['551f0fb9-b99c-44bb-8dd2-fd9f01ea3765'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,551f0fb9-b99c-44bb-8dd2-fd9f01ea3765,1998,,,3879844,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,Empoli,290,['58a1ab08-8e39-49a5-9bd5-77e1643941d4'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.388708,,,,,,,,,,,,cb5f0a06-b8b1-4ec0-929a-ac57ca45b5eb,5,,"[61.0, 40.1]",3879844,0,,,,,1.7390031,,Right Foot,,,,"[60.1, 45.4]",,Ground Pass,,5.375872,,,Lorenzo Lollo,30829.0,,,,,Kick Off,1,From Kick Off,Jerry Uche Mbakogu,32608.0,Center Forward,2,Carpi,1683,['a9308e5c-59f6-44f0-89c5-bfb471dda2c6'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.351,Pass,
,,,,,,,,,,,,,,,,,1.333519,,,,,,,,,,,,9774b91e-de90-4555-92d6-d00a7c4ec960,8,,"[60.1, 45.2]",3879844,0,,,,,-2.6476512,,Right Foot,,,,"[47.1, 38.2]",,Ground Pass,,14.764823,,,Raffaele Bianco,352172.0,,,,,,1,From Kick Off,Lorenzo Lollo,30829.0,Center Attacking Midfield,2,Carpi,1683,['2781f55e-e177-463f-b403-0a44d0f4a89c'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.899,Pass,
,,,,,,,,,,,,,,,,,1.77405,,,,,,,,,,,,f3541fc0-5b9d-4e1f-bd46-57d553d97a24,11,,"[46.6, 33.8]",3879844,0,,,,,-1.5911187,,Right Foot,,,,"[46.1, 9.2]",,Ground Pass,,24.605082,,,Riccardo Gagliolo,11499.0,,,,,,1,From Kick Off,Raffaele Bianco,352172.0,Left Defensive Midfield,2,Carpi,1683,['cb3db98a-d225-4308-8f68-790a86c44e50'],2,,,,,,,,,,,,,,,,,Carpi,1683,00:00:02.322,Pass,
,,,,,,,,,,,,,,,,,2.517126,,,,,,,,,,,,176ef975-8fe1-4dd9-9944-1b9b9d86add7,14,,"[46.1, 9.2]",3879844,0,,,,,0.2672591,,Left Foot,,,,"[96.5, 23.0]",,High Pass,,52.255142,Incomplete,,Antonio Di Gaudio,11502.0,,,,,,1,From Kick Off,Riccardo Gagliolo,11499.0,Left Back,2,Carpi,1683,"['ad8c15ba-d495-4114-9832-6dc1b82d6cb7', 'ca7fc5c1-5627-4a8a-9d3f-f30335242931']",5,,,,,,,,,,,,,,,,,Carpi,1683,00:00:05.284,Pass,
