50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,902708bb-b399-40e7-b7fd-b4da8b13e189,1,,,3879771,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7113, 'name': 'Simone Missiroli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 92}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f55fb8e5-d5e8-4d29-b6e6-391959813134,2,,,3879771,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 6360, 'name': 'Cristian Eduardo Zapata Valencia'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 91}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 70}, {'player': {'id': 3371, 'name': 'Mario Barwuah Balotelli'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 45}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ac8920de-50ca-4343-9799-6bb544712eaa,3,,,3879771,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['fd402ed0-4d33-44ad-97f8-54cc7715defa'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fd402ed0-4d33-44ad-97f8-54cc7715defa,4,,,3879771,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['ac8920de-50ca-4343-9799-6bb544712eaa'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,792673e2-7d2e-4224-af56-0eb279fadd47,1678,,,3879771,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,AC Milan,243,['81286b12-bad7-4205-bad3-fd3707838920'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,81286b12-bad7-4205-bad3-fd3707838920,1679,,,3879771,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,AC Milan,243,['792673e2-7d2e-4224-af56-0eb279fadd47'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.442249,,,,,,,,,,,,,,4723b02e-4477-4133-8395-ae333415e31c,5,,"[60.0, 40.0]",3879771,0,,,,-2.4301336,,Right Foot,,,,"[57.1, 37.5]",,Ground Pass,,3.8288379,,,,,Andrea Bertolacci,7147.0,,,,,Kick Off,1,From Kick Off,Juraj Kucka,10919.0,Right Defensive Midfield,2,AC Milan,243,['fe2780e1-acdc-41dc-be81-7f397d91a091'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.920,Pass,
,,,,,,,,,,,,,,,,,1.790266,,,,,,,,,,,,,,8a42478b-e9e2-438a-bf20-9ed1fd272069,8,,"[54.8, 38.8]",3879771,0,,,,2.8379488,,Left Foot,,,,"[39.8, 43.5]",,Ground Pass,,15.719097,,,,,Alex Rodrigo Dias da Costa,40945.0,,,,,,1,From Kick Off,Andrea Bertolacci,7147.0,Left Defensive Midfield,2,AC Milan,243,['4adf9f17-9374-4f6b-a1c7-6f35e9451779'],1,,,,,,,,,,,,,,,,,AC Milan,243,00:00:01.763,Pass,
,,,,,,,,,,,,,,,,,2.87135,,,,,,,,,,,,,,460c517f-9215-40c5-98e6-c3413ba07efa,11,,"[39.4, 42.8]",3879771,0,,,,-0.28655383,,Right Foot,,,,"[82.5, 30.1]",,High Pass,,44.93217,,,Incomplete,,Mario Barwuah Balotelli,3371.0,,,,,,1,From Kick Off,Alex Rodrigo Dias da Costa,40945.0,Right Center Back,2,AC Milan,243,"['92e4c1eb-1e88-4638-914f-47778f8324f6', 'd5bad37a-8ebd-4f09-842d-b91a88a44f3e']",4,,,,,,,,,,,,,,,,,AC Milan,243,00:00:04.059,Pass,
,,,,,,,,,,,,,,,,,1.219801,,,,,,,,,,,,,,379a45c3-b8d7-4092-8f0d-6fb689ddfe0d,17,,"[96.7, 16.8]",3879771,0,,,,0.9944211,,Left Foot,True,,,"[108.4, 34.8]",,Ground Pass,,21.46835,,,Incomplete,,Carlos Arturo Bacca Ahumada,5688.0,,,,,,1,From Kick Off,Luca Antonelli,8874.0,Left Back,2,AC Milan,243,"['28f59fa6-49fc-4b6a-99e2-4c2ed36f111d', '81c8e446-ed67-440f-ad9a-9f6a764cee98']",9,,,,,,,,,,,,,,,,,AC Milan,243,00:00:09.119,Pass,
