50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6543d1f9-855d-445a-ae2a-e6b623f0e64f,1,,,,3879545,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 8423, 'name': 'Pedro Miguel Almeida Lopes Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 87}, {'player': {'id': 40394, 'name': 'Djamel Eddine Mesbah'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6822, 'name': 'Carlos Joaquín Correa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6334, 'name': 'Luis Fernando Muriel Fruto'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b7bcc637-9393-4612-b5de-d9decb7ced7f,2,,,,3879545,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40529, 'name': 'Morgan De Sanctis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 44}, {'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",AS Roma,229,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0eedf5e5-48c7-4be2-928c-2de900fd156d,3,,,,3879545,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['c9d0cabe-9e7e-4e12-be4d-e88ab6012d94'],0,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c9d0cabe-9e7e-4e12-be4d-e88ab6012d94,4,,,,3879545,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['0eedf5e5-48c7-4be2-928c-2de900fd156d'],0,,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d2dc039c-79a9-4a15-a284-fa2a01f41edc,1537,,,,3879545,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,109,AS Roma,229,['dff87583-55d4-4234-8af7-f6434cf49088'],0,,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,dff87583-55d4-4234-8af7-f6434cf49088,1538,,,,3879545,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,109,AS Roma,229,['d2dc039c-79a9-4a15-a284-fa2a01f41edc'],0,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.042709,,,,,,,,,,,,,,,be2ad7cd-167d-4220-8a4a-60c1a5f2c40a,5,,,"[61.0, 40.1]",3879545,0,,,,-1.5707964,,Right Foot,,,,"[61.0, 38.6]",,Ground Pass,,1.5,,,Edin Džeko,6973.0,,,,,Kick Off,1,From Kick Off,Miralem Pjanić,6947.0,Right Center Midfield,2,AS Roma,229,['e5d5ca5f-3caa-4ee5-9a9f-5a970e0618ab'],0,,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.204,Pass,
,,,,,,,,,,,,,,,,,,1.662762,,,,,,,,,,,,,,,b7370cce-b69f-4b82-872b-21273e74d225,8,,,"[61.9, 37.3]",3879545,0,,,,-1.464966,,Right Foot,,,,"[64.8, 10.0]",,Ground Pass,,27.453598,,,Iago Falqué Silva,7468.0,,,,,,1,From Kick Off,Edin Džeko,6973.0,Center Forward,2,AS Roma,229,['198a3411-d104-4f80-9196-3046e3e2c8eb'],1,,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:01.453,Pass,
,,,,,,,,,,,,,,,,,,2.030315,,,,,,,,,,,,,,,2811a696-22e4-4388-98e2-7b932f963384,11,,,"[64.8, 10.0]",3879545,0,,,,2.5162714,,Left Foot,,,,"[42.5, 26.1]",,Ground Pass,,27.504545,,,Daniele De Rossi,7051.0,,,,,,1,From Kick Off,Iago Falqué Silva,7468.0,Left Wing,2,AS Roma,229,['8e7afc2b-7551-41c0-a547-4adafe08f4f7'],3,,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:03.844,Pass,
,,,,,,,,,,,,,,,,,,1.945774,,,,,,,,,,,,,,,35157ce5-0c28-492e-89aa-7c75a5453191,14,,,"[42.4, 28.7]",3879545,0,,,,1.6582917,,Right Foot,,,,"[40.4, 51.5]",,Ground Pass,,22.88755,,,Konstantinos Manolas,7048.0,,,,,,1,From Kick Off,Daniele De Rossi,7051.0,Left Center Back,2,AS Roma,229,['0a35788c-83a8-42dc-9fa5-6ba1a46a2076'],6,,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:06.741,Pass,
,,,,,,,,,,,,,,,,,,0.989695,,,,,,,,,,,,,,,737fa3c9-197f-401e-8984-60141f8f91c5,17,,,"[42.7, 53.7]",3879545,0,,,,0.05304753,,Right Foot,,,,"[54.0, 54.3]",,Ground Pass,,11.315918,,,Miralem Pjanić,6947.0,,,,,,1,From Kick Off,Konstantinos Manolas,7048.0,Right Center Back,2,AS Roma,229,['822a43b9-aee2-47d0-afe3-72322940d791'],9,,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:09.677,Pass,
