bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.085997,,,,,,,,,,,,,23f32513-c340-4c6f-b083-079fa05d84f0,16,,"[47.3, 47.3]",3879655,0,,,,-1.5538965,,Right Foot,,,"[47.9, 11.8]",,Ground Pass,35.50507,,,,Ştefan Daniel Radu,7778.0,,,,,,1,From Kick Off,Danilo Cataldi,7107.0,Right Center Midfield,2,Lazio,236,['efef879e-a575-4868-832e-19bda2a7d94c'],10,,,,,,,,,,,,,,,,,,Lazio,236,00:00:10.840,Pass,
,,,,,,,,,,,,,,,,,2.07098,,,,,,,,,,,,,158ec252-5dc2-4e30-b25a-9f1c448b92c3,19,,"[51.3, 9.7]",3879655,0,,,,0.4204313,,Left Foot,,,"[89.1, 26.6]",,High Pass,41.40592,,Incomplete,,Antonio Candreva,7776.0,,,,,,1,From Kick Off,Ştefan Daniel Radu,7778.0,Left Back,2,Lazio,236,"['53b56834-3be8-4871-94da-f54250d95e76', 'fa057b0c-6ef9-4399-a06b-6258a64f80db']",15,,,,,,,,,,,,,,,,,,Lazio,236,00:00:15.832,Pass,
,,,,,,,,,,,,,,,,,2.003118,,,,,,,,,,,,,298445a4-9930-49ad-87cd-a7629e34a87a,22,,"[62.7, 15.2]",3879655,0,,,,2.9988208,,Other,,,"[46.7, 17.5]",,High Pass,16.164467,,,,Santiago Juan Gentiletti Selak,8847.0,,,,,Recovery,1,From Kick Off,Ştefan Daniel Radu,7778.0,Left Back,2,Lazio,236,['7ab74bd8-27d3-4376-97ff-af0de7384023'],19,,,,,,,,,,,,,,,,,,Lazio,236,00:00:19.573,Pass,
,,,,,,,,,,,,,,,,,2.513649,,,,,,,,,,,,,88519516-3446-40a3-806b-795c382530a4,25,,"[46.7, 17.5]",3879655,0,,,,2.5094888,,Right Foot,,,"[19.8, 37.2]",,Ground Pass,33.342167,,,,Federico Marchetti,12491.0,,,,,,1,From Kick Off,Santiago Juan Gentiletti Selak,8847.0,Left Center Back,2,Lazio,236,['dc7be11d-b985-44d8-ac92-1900d9f82c5c'],21,,,,,,,,,,,,,,,,,,Lazio,236,00:00:21.832,Pass,
,,,,,,,,,,,,,,,,,1.079515,,,,,,,,,,,,,808ef78a-9359-41fb-971b-f5278a8fc2da,28,,"[21.9, 38.0]",3879655,0,,,,1.1441689,,Left Foot,,,"[34.4, 65.5]",,Ground Pass,30.207615,,,,Wesley Hoedt,3588.0,,,,,,1,From Kick Off,Federico Marchetti,12491.0,Goalkeeper,2,Lazio,236,['d9681aba-0478-4ac9-bde7-449e083d227f'],25,,,,,,,,,,,,,,,,,,Lazio,236,00:00:25.360,Pass,
,,,,,,,,,,,,,,,,,1.171084,,,,,,,,,,,,,54624ed0-5736-424e-bede-e88b7fa1f75d,31,,"[34.2, 69.7]",3879655,0,,,,0.2732125,,Right Foot,,,"[52.4, 74.8]",,Ground Pass,18.901058,,,,Abdoulay Konko,26683.0,,,,,,1,From Kick Off,Wesley Hoedt,3588.0,Right Center Back,2,Lazio,236,['e4edb45f-da82-4747-bb4d-a2f003f0d39f'],28,,,,,,,,,,,,,,,,,,Lazio,236,00:00:28.274,Pass,
,,,,,,,,,,,,,,,,,1.624288,,,,,,,,,,,,,69ebbd12-3ce6-4cc0-8df6-e5b19f2ce964,35,,"[58.5, 73.5]",3879655,0,,,,-2.9694018,,Right Foot,,,"[42.4, 70.7]",,Ground Pass,16.341665,,,,Wesley Hoedt,3588.0,,,,,,1,From Kick Off,Abdoulay Konko,26683.0,Right Back,2,Lazio,236,"['4acdd3be-70c4-4316-b227-f1d58dd35e54', '5fa48d47-00d8-48c7-a3a0-0ff7be4e433e']",32,,,,,,,,,,,,,,,,,,Lazio,236,00:00:32.686,Pass,True
,,,,,,,,,,,,,,,,,1.096067,,,,,,,,,,,,,82a4ec2c-edf1-42e7-baa5-3fcc2181fca3,38,,"[43.7, 65.7]",3879655,0,,,,-1.6027855,,Right Foot,,,"[42.9, 40.7]",,Ground Pass,25.012796,,,,Santiago Juan Gentiletti Selak,8847.0,,,,,,1,From Kick Off,Wesley Hoedt,3588.0,Right Center Back,2,Lazio,236,['449656bf-761a-41f6-bd55-d9028647c403'],35,,,,,,,,,,,,,,,,,,Lazio,236,00:00:35.584,Pass,
,,,,,,,,,,,,,,,,,2.778632,,,,,,,,,,,,,fe6d2934-b303-4835-9751-9c6114cddb63,41,,"[57.0, 29.3]",3879655,0,,,,1.3406731,,Left Foot,,,"[67.8, 75.4]",,High Pass,47.34818,,,,Abdoulay Konko,26683.0,,True,,,,1,From Kick Off,Santiago Juan Gentiletti Selak,8847.0,Left Center Back,2,Lazio,236,['adb589a8-147a-4716-9ddb-837ffc47c2a1'],42,,,,,,,,,,,,,,,,,,Lazio,236,00:00:42.128,Pass,
,,,,,,,,,,,,,,,,,1.700419,,,,,,,,,,,,,e7158f3a-c008-446d-ac82-279d038560c7,44,,"[61.7, 72.4]",3879655,0,,,,-2.4521334,,Right Foot,,,"[48.6, 61.6]",,Ground Pass,16.977926,,,,Wesley Hoedt,3588.0,,,,,,1,From Kick Off,Abdoulay Konko,26683.0,Right Back,2,Lazio,236,['32bf9350-c743-4b8b-aff9-31c81a6d6c6c'],46,,,,,,,,,,,,,,,,,,Lazio,236,00:00:46.774,Pass,
,,,,,,,,,,,,,,,,,1.269451,,,,,,,,,,,,,c30f1657-43ba-4c4e-923a-d51579f99e00,47,,"[50.2, 52.6]",3879655,0,,,,-1.5707964,,Right Foot,,,"[50.2, 29.4]",,Ground Pass,23.2,,,,Santiago Juan Gentiletti Selak,8847.0,,,,,,1,From Kick Off,Wesley Hoedt,3588.0,Right Center Back,2,Lazio,236,['05fc6cb0-44e1-4b0f-bb40-8893b0524c69'],50,,,,,,,,,,,,,,,,,,Lazio,236,00:00:50.289,Pass,
,,,,,,,,,,,,,,,,,1.441687,,,,,,,,,,,,,003fdb75-692c-43a7-b19c-eb192f014a75,50,,"[50.2, 23.2]",3879655,0,,,,-0.89467895,,Left Foot,,,"[64.4, 5.5]",,Ground Pass,22.69207,,,,Ştefan Daniel Radu,7778.0,,,,,,1,From Kick Off,Santiago Juan Gentiletti Selak,8847.0,Left Center Back,2,Lazio,236,['a95b4988-3f5f-4028-b3db-295aae625da0'],52,,,,,,,,,,,,,,,,,,Lazio,236,00:00:52.615,Pass,
,,,,,,,,,,,,,,,,,0.971579,,,,,,,,,,,,,92a14f73-80e1-4342-b98e-0baa08672a3b,57,,"[69.5, 10.6]",3879655,0,,,,1.1108252,,Left Foot,,,"[74.9, 21.5]",,Ground Pass,12.164292,,,,Lucas Rodrigo Biglia,5510.0,,,,,,1,From Kick Off,Ştefan Daniel Radu,7778.0,Left Back,2,Lazio,236,['10d24a16-a7eb-4a4e-ab14-f86a5e44854a'],56,,,,,,,,,,,,,,,,,,Lazio,236,00:00:56.464,Pass,
,,,,,,,,,,,,,,,,,0.784598,,,,,,,,,,,,,70caf2cb-4e3c-4de3-91c4-dcad054abf24,60,,"[74.9, 21.5]",3879655,0,,,,-0.81683433,,Right Foot,,,"[82.6, 13.3]",,Ground Pass,11.248555,,,,Marco Parolo,8173.0,,,,,,1,From Kick Off,Lucas Rodrigo Biglia,5510.0,Center Defensive Midfield,2,Lazio,236,['d9a859d6-f345-4c71-aad2-cbae30f35cad'],57,,,,,,,,,,,,,,,,,,Lazio,236,00:00:57.516,Pass,
,,,,,,,,,,,,,,,,,1.731168,,,,,,,,,,,,,8683c428-4333-4f02-aa32-010b356c349e,64,,"[83.6, 13.1]",3879655,0,,,,-2.6212373,,Right Foot,,,"[74.7, 8.0]",,Ground Pass,10.25768,,,,Ştefan Daniel Radu,7778.0,,,,,,1,From Kick Off,Marco Parolo,8173.0,Left Center Midfield,2,Lazio,236,"['4fa0d089-a31f-460e-9a25-6f12921181c6', 'd739698b-548b-4d3a-bedf-6e48ab41a732']",58,,,,,,,,,,,,,,,,,,Lazio,236,00:00:58.420,Pass,True
,,,,,,,,,,,,,,,,,2.450345,,,,,,,,,,,,,ee62e0a3-59a2-4f1c-80be-f2df26e10b3c,67,,"[74.7, 8.0]",3879655,1,,,,0.597711,,Left Foot,,,"[105.4, 28.9]",,High Pass,37.138927,,Incomplete,,Filip Đorđević,11427.0,,,,,,1,From Kick Off,Ştefan Daniel Radu,7778.0,Left Back,2,Lazio,236,"['c518f3f1-7e04-49d4-9626-030ae5123d55', 'cdf1318e-31c6-431e-88c6-9fe4447440d7']",0,,,,,,,,,,,,,,,,,,Lazio,236,00:01:00.272,Pass,
,,,,,,,,,,,,,,,,,1.438198,,,,,,,,,,,,,63b91a54-22b5-4266-84fa-3c48cf11676b,76,,"[17.3, 73.6]",3879655,1,True,,,-0.7309067,,Right Foot,,,"[28.9, 63.2]",,Ground Pass,15.5794735,,,,Fernando Lucas Martins,16586.0,,,,,Free Kick,1,From Free Kick,Niklas Moisander,9884.0,Right Center Back,4,Sampdoria,234,['009de847-5f3c-4dda-9424-a9ed62cc131c'],29,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:29.699,Pass,
,,,,,,,,,,,,,,,,,1.31939,,,,,,,,,,,,,509eaecb-9cd2-4aac-8547-49a34f9f6247,78,,"[28.9, 63.2]",3879655,1,True,,,2.4940016,,Right Foot,,,"[21.1, 69.1]",,Ground Pass,9.780082,,,,Niklas Moisander,9884.0,,,,,,1,From Free Kick,Fernando Lucas Martins,16586.0,Center Defensive Midfield,4,Sampdoria,234,['1b9f7750-2a46-4f81-8b2f-558b866f192a'],31,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:31.215,Pass,
,,,,,,,,,,,,,,,,,1.501616,,,,,,,,,,,,,7d551762-74d6-4a38-b885-88ff7bbfc52d,80,,"[16.2, 58.6]",3879655,1,,,,-2.2278712,,Left Foot,,,"[5.4, 44.6]",,Ground Pass,17.68163,,,,Emiliano Viviano,7018.0,,,,,,1,From Free Kick,Niklas Moisander,9884.0,Right Center Back,4,Sampdoria,234,['9e041323-e6ac-411a-8ddd-9d0c3bff3351'],34,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:34.608,Pass,
,,,,,,,,,,,,,,,,,2.48564,,,,,,,,,,,,,290fe30e-c94f-4b30-b05d-473eb03fc510,84,,"[9.0, 45.0]",3879655,1,,,,0.7184059,,Left Foot,,,"[42.4, 74.2]",,High Pass,44.3644,,,,Lorenzo De Silvestri,7473.0,,,,,,1,From Free Kick,Emiliano Viviano,7018.0,Goalkeeper,4,Sampdoria,234,"['20b28dbb-794b-45d3-9ac0-d7909030d0ab', '3bb6638c-f71e-4909-9bc6-cff3a7512502']",37,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:37.492,Pass,True
,,,,,,,,,,,,,,,,,1.889832,,,,,,,,,,,,,6ba131d9-1b18-4b7b-80b6-a7465c087a59,86,,"[42.4, 74.2]",3879655,1,,,,-0.4302612,,Head,,,"[63.1, 64.7]",,High Pass,22.775864,,Incomplete,,Antonio Cassano,19850.0,,,,,,1,From Free Kick,Lorenzo De Silvestri,7473.0,Right Back,4,Sampdoria,234,"['2af70af5-a45e-4539-a075-8ec1db4c5d09', 'de581047-8342-4df4-8257-8910c3a43d3c']",40,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:40.057,Pass,
,,,,,,,,,,,,,,,,,0.738685,,,,,,,,,,,,,b57027ce-8e64-4c3e-b4a5-1e0fcd467914,90,,"[49.4, 51.8]",3879655,1,,,,-1.5707964,,Right Foot,,,"[49.4, 45.5]",,Ground Pass,6.3,,,,Édgar Osvaldo Barreto Cáceres,7009.0,,,,,Recovery,1,From Free Kick,Fernando Lucas Martins,16586.0,Center Defensive Midfield,4,Sampdoria,234,['0799f426-5563-46b0-9c3f-7f18e80a8efd'],43,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:43.633,Pass,
,,,,,,,,,,,,,,,,,0.87683,,,,,,,,,,,,,2cbf4f95-24d5-43c4-93b4-35ccbf7f8772,93,,"[49.4, 45.5]",3879655,1,,,,3.1415927,,Right Foot,,,"[43.7, 45.5]",,Ground Pass,5.7,,,,Fernando Lucas Martins,16586.0,,,,,,1,From Free Kick,Édgar Osvaldo Barreto Cáceres,7009.0,Left Center Midfield,4,Sampdoria,234,['ff1e34f9-0df7-46d8-9cfa-eecb576019bf'],44,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:44.398,Pass,
