50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,751ed11b-cf79-423d-977d-1191d7b42468,1,,,,3879644,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 57}, {'player': {'id': 40333, 'name': 'Cristian Raimondi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 77}, {'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 45590, 'name': 'Nicolò Cherubin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 31231, 'name': 'Davide Brivio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 12759, 'name': 'Maximiliano Nicol Moralez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 49439, 'name': 'Germán Gustavo Denis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Atalanta,228,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,16e29220-5119-4e3f-aaf1-16c9d55832ba,2,,,,3879644,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 8102, 'name': 'Edoardo Goldaniga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40349, 'name': 'Ivaylo Chochev'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 30704, 'name': 'Gastón Brugman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 8}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,efe0b58c-b310-413f-8cc1-6d810f30d19b,3,,,,3879644,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['691c6ee6-05bd-4095-bbe5-5257d76c7379'],0,,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,691c6ee6-05bd-4095-bbe5-5257d76c7379,4,,,,3879644,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['efe0b58c-b310-413f-8cc1-6d810f30d19b'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,88632dd9-9f94-4fd2-bd34-cfb56247aea0,1884,,,,3879644,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Atalanta,228,['6e7560c0-35ec-4eca-b8f9-1068c7385036'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,6e7560c0-35ec-4eca-b8f9-1068c7385036,1885,,,,3879644,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Atalanta,228,['88632dd9-9f94-4fd2-bd34-cfb56247aea0'],0,,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.586463,,,,,,,,,,07fe6c32-cbc6-4cab-8951-ce01b72b1580,5,,,"[60.0, 40.0]",3879644,0,,True,,,-1.4513674,,Right Foot,,,"[60.3, 37.5]",,Ground Pass,,2.5179358,,,,,Germán Gustavo Denis,49439.0,,,,,Kick Off,1,From Kick Off,Maximiliano Nicol Moralez,12759.0,Right Wing,2,Atalanta,228,['2ba8ee2d-dce4-488c-89d6-207e3efbf6af'],0,,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.514,Pass,
,,,,,,,,,,,,,,,,,0.726673,,,,,,,,,,c47ad03e-99d9-4e4b-b9a8-c777a2260d8a,7,,,"[59.0, 38.3]",3879644,0,,,,,3.038511,,Right Foot,,,"[53.2, 38.9]",,Ground Pass,,5.8309517,,,,,Jasmin Kurtič,6941.0,,,,,,1,From Kick Off,Germán Gustavo Denis,49439.0,Center Forward,2,Atalanta,228,['9d4c1dbc-563f-4448-91e3-b31580923bc8'],1,,,,,,,,,,,,,,,,,Atalanta,228,00:00:01.430,Pass,
,,,,,,,,,,,,,,,,,1.686674,,,,,,,,,,e6d7ddd2-64f8-4388-b827-f0de670a52dd,10,,,"[53.2, 38.9]",3879644,0,,,,,1.7049341,,Right Foot,,,"[49.3, 67.8]",,Ground Pass,,29.16196,,,,,Cristian Raimondi,40333.0,,,,,,1,From Kick Off,Jasmin Kurtič,6941.0,Left Center Midfield,2,Atalanta,228,['cd54b6bc-b030-47ad-8a45-d0db0a7c230f'],2,,,,,,,,,,,,,,,,,Atalanta,228,00:00:02.780,Pass,
,,,,,,,,,,,,,,,,,3.996618,,,,,,,,,,3e44b6cf-ac15-4a48-8405-af0b8e16ee1e,13,,,"[51.8, 71.7]",3879644,0,,,,,-0.26732963,,Right Foot,,,"[98.9, 58.8]",,High Pass,,48.834618,,,Incomplete,,Maximiliano Nicol Moralez,12759.0,,,,,,1,From Kick Off,Cristian Raimondi,40333.0,Right Back,2,Atalanta,228,"['6a23132c-0e35-4a32-a621-67bfa328ad89', 'a953e85b-f36f-41ba-9b79-fe48861145f7']",6,,,,,,,,,,,,,,,,,Atalanta,228,00:00:06.760,Pass,
