50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,09b5686c-8145-41ee-86ca-f96335cb2acc,1,,,3879675,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6991, 'name': 'Etrit Berisha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 26683, 'name': 'Abdoulay Konko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 9939, 'name': 'Maurício dos Santos Nascimento'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 7778, 'name': 'Ştefan Daniel Radu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 33311, 'name': 'Ogenyi Eddy Onazi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 7107, 'name': 'Danilo Cataldi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 8172, 'name': 'Felipe Anderson Pereira Gomes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 8296, 'name': 'Alessandro Matri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,13d3dc17-8da6-4736-a8f5-321030093d9e,2,,,3879675,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 39}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 30829, 'name': 'Lorenzo Lollo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 32608, 'name': 'Jerry Uche Mbakogu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 99}, {'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9abfdc87-221c-43be-93b2-48687cea1681,3,,,3879675,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['f4250025-f26d-4f1f-a48b-738bd4c3a644'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f4250025-f26d-4f1f-a48b-738bd4c3a644,4,,,3879675,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['9abfdc87-221c-43be-93b2-48687cea1681'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,982827fa-9c76-48d2-bc0c-5f63e75d28ea,1795,,,3879675,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,118,Carpi,1683,['1347881c-5ef7-4645-82fa-43f348bceb60'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1347881c-5ef7-4645-82fa-43f348bceb60,1796,,,3879675,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,118,Carpi,1683,['982827fa-9c76-48d2-bc0c-5f63e75d28ea'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.133933,,,,,,,,,,,4a3670ae-ac25-4caf-92a5-f7235ec64e61,5,,"[60.0, 40.0]",3879675,0,,,,,-3.1157362,,Right Foot,,,"[48.4, 39.7]",Ground Pass,,11.603879,,,,Ogenyi Eddy Onazi,33311.0,,,,,,Kick Off,1,From Kick Off,Alessandro Matri,8296.0,Center Forward,2,Lazio,236,['b7f5449b-14d8-450a-af01-b70e30b2efea'],1,,,,,,,,,,,,,,,,,Lazio,236,00:00:01.103,Pass,
,,,,,,,,,,,,,,,,1.798126,,,,,,,,,,,a4eaec9d-2d5c-440b-8a84-921c9fedfb7f,8,,"[46.1, 38.8]",3879675,0,,,,,1.4665247,,Right Foot,,,"[48.8, 64.6]",Ground Pass,,25.940895,,,,Abdoulay Konko,26683.0,,,,,,,1,From Kick Off,Ogenyi Eddy Onazi,33311.0,Center Defensive Midfield,2,Lazio,236,['24dd31ed-b9ad-4f29-a026-03531e6bae2b'],2,,,,,,,,,,,,,,,,,Lazio,236,00:00:02.728,Pass,
,,,,,,,,,,,,,,,,1.71418,,,,,,,,,,,bec239ed-1c9b-4a58-8e81-4888b368cdda,11,,"[53.4, 72.9]",3879675,0,,,,,-2.6175895,,Right Foot,,,"[33.5, 61.4]",Ground Pass,,22.983908,,,,Maurício dos Santos Nascimento,9939.0,,,,,,,1,From Kick Off,Abdoulay Konko,26683.0,Right Back,2,Lazio,236,['bfd0f988-8e66-4cb6-bfea-ef2678801780'],7,,,,,,,,,,,,,,,,,Lazio,236,00:00:07.383,Pass,
,,,,,,,,,,,,,,,,2.843345,,,,,,,,,,,f52106f5-70ba-4932-a2df-4b39e242a69e,14,,"[40.8, 66.4]",3879675,0,,,,,-0.36038467,,Right Foot,,,"[88.3, 48.5]",High Pass,,50.76081,,Incomplete,,Alessandro Matri,8296.0,,,,,,,1,From Kick Off,Maurício dos Santos Nascimento,9939.0,Right Center Back,2,Lazio,236,"['919be8a8-0c09-4683-984e-2aadd5867104', 'dac35665-a711-42e0-82b6-08668590fc70']",11,,,,,,,,,,,,,,,,,Lazio,236,00:00:11.307,Pass,
