50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[56.7, 52.7]",,,,,,,,,,,,0.943322,,,,,,,,,,,ef01f7be-1843-4ef5-8082-7bbe6b7a0ad0,564,,"[55.9, 50.9]",3879704,12,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Martín Montoya Torralbo,6593.0,Right Back,22,Inter Milan,238,"['53dfeea2-4613-40e8-b3bb-11d576a2f0fc', '7c0a072f-3328-4e48-8d9b-0ca01b40a012']",49,,,,,,,,,,,,,,,,,Inter Milan,238,00:12:49.960,Carry,
,,,,,,"[32.9, 41.7]",,,,,,,,,,,,1.663673,,,,,,,,,,,7ae8f1b5-91dd-42d1-8cf6-f18f6355b778,573,,"[26.5, 29.2]",3879704,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gaetano Letizia,7114.0,Left Wing Back,23,Inter Milan,238,"['a7c7d4c5-9842-4f07-970b-514862025f28', 'f2de37a2-0792-4ff4-9509-8f0388cdb856']",3,,,,,,,,,,,,,,,,,Carpi,1683,00:13:03.684,Carry,
,,,,,,"[47.6, 7.0]",,,,,,,,,,,,0.674331,,,,,,,,,,,c2246260-b8d0-4b56-911e-c189a3dd0740,586,,"[43.6, 8.5]",3879704,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Adem Ljajić,5587.0,Left Midfield,24,Inter Milan,238,"['40897470-2a5b-41e3-9171-09b9c4926c3f', '6cbf9605-61ff-41eb-b437-c3b466ad4cfe', '92402928-62b8-492d-a1a6-ad9c4d6c8a27']",29,,,,,,,,,,,,,,,,,Inter Milan,238,00:13:29.361,Carry,True
,,,,,,"[87.3, 23.1]",,,,,,,,,,,,0.723621,,,,,,,,,,,e1549978-d736-43b8-8a80-3ca519715c15,600,,"[85.9, 22.9]",3879704,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Adem Ljajić,5587.0,Left Midfield,25,Inter Milan,238,"['2b31075e-f0cd-4675-9144-7c857199ba2f', '2ee08edd-246d-4cd0-8602-a602fdfebb18', 'a11775ae-ede4-44ca-a245-caf538142973']",54,,,,,,,,,,,,,,,,,Inter Milan,238,00:13:54.912,Carry,True
,,,,,,"[85.9, 57.9]",,,,,,,,,,,,0.848667,,,,,,,,,,,ac0a30ac-c309-4d95-b781-c8a14c580437,603,,"[81.9, 56.8]",3879704,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Martín Montoya Torralbo,6593.0,Right Back,25,Inter Milan,238,"['723d41ae-9e69-44d5-990f-a597cde201de', 'b8e103bb-7f43-4d27-96be-945c626c380a']",57,,,,,,,,,,,,,,,,,Inter Milan,238,00:13:57.114,Carry,
,,,,,,"[110.3, 59.0]",,,,,,,,,,,,0.354894,,,,,,,,,,,ba60674b-7b14-4adb-bace-873fbf9fdaed,606,,"[108.4, 58.2]",3879704,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Perišić,5474.0,Right Midfield,25,Inter Milan,238,"['3f2fb3d7-5f26-431d-b80f-b3b0c4b5cfe0', '3fcd9cbc-8155-4111-b2a2-c517aa51b8c6', '8b13d92c-592a-4731-9a58-288e0d13b138']",59,,,,,,,,,,,,,,,,,Inter Milan,238,00:13:59.932,Carry,True
,,,,,,"[66.8, 63.1]",,,,,,,,,,,,0.582544,,,,,,,,,,,8a03f5ed-7309-40b6-a0e0-cc6edb4db356,620,,"[65.6, 64.4]",3879704,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lorenzo Pasciuti,387472.0,Right Wing Back,26,Carpi,1683,"['7e2945da-e23f-4ec0-a7ba-589b9d53f6ce', 'eb3fbf54-c980-40ab-953a-165464e03547']",15,,,,,,,,,,,,,,,,,Carpi,1683,00:14:15.042,Carry,
,,,,,,"[70.1, 49.5]",,,,,,,,,,,,1.753869,,,,,,,,,,,5c7e5b36-2aa4-4a98-8f7c-aff72828df03,623,,"[63.1, 49.5]",3879704,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Raffaele Bianco,352172.0,Center Defensive Midfield,26,Carpi,1683,"['05e77ee9-cc4e-422c-a7bd-e932d3a97e68', '6cac7b6f-37bb-470e-88b8-ff3e2f043731']",17,,,,,,,,,,,,,,,,,Carpi,1683,00:14:17.022,Carry,
,,,,,,"[71.8, 58.8]",,,,,,,,,,,,3.959777,,,,,,,,,,,0dac748b-0d09-4dcf-afc5-9a07c73d824a,626,,"[70.3, 68.1]",3879704,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lorenzo Pasciuti,387472.0,Right Wing Back,26,Carpi,1683,"['61bb4fea-91af-4194-b0f4-4b5e87554cb8', 'b0b9b838-7557-4984-8119-5afe4a25fd19']",19,,,,,,,,,,,,,,,,,Carpi,1683,00:14:19.901,Carry,
,,,,,,"[64.3, 17.2]",,,,,,,,,,,,1.714618,,,,,,,,,,,7ad1f2f4-77f4-4190-a0ca-7ef3c338ed5b,629,,"[59.7, 20.6]",3879704,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emanuele Suagher,45508.0,Left Center Back,26,Carpi,1683,"['23776934-ce0e-4b94-bef5-3dccd38d687a', '7a49b72d-284e-4f7a-88ab-4d7594e07d84']",26,,,,,,,,,,,,,,,,,Carpi,1683,00:14:26.059,Carry,
,,,,,,"[73.2, 30.0]",,,,,,,,,,,,2.432263,,,,,,,,,,,516ec89d-0aa8-4a05-81f7-0530b48b7306,632,,"[69.8, 27.7]",3879704,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Raffaele Bianco,352172.0,Center Defensive Midfield,26,Carpi,1683,"['2951df7b-2319-43b9-82c1-4391612eb359', '50f99219-b504-4e1e-b408-2972a8e637d2', '9c4119fc-02cb-4c97-b0eb-9db6c8d5d9db']",28,,,,,,,,,,,,,,,,,Carpi,1683,00:14:28.953,Carry,True
,,,,,,"[103.2, 62.7]",,,,,,,,,,,,0.599998,,,,,,,,,,,3d57f7ef-d7b2-41b5-b698-fe52d2330007,637,,"[102.8, 65.2]",3879704,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marco Crimi,31273.0,Right Center Midfield,26,Carpi,1683,"['4afb1d61-56a3-4443-9e64-9ebfb8b57b22', '4f4e292a-2534-4e51-98c8-0c684b46e494']",34,,,,,,,,,,,,,,,,,Carpi,1683,00:14:34.124,Carry,
