50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[53.6, 17.0]",,,,,,,,,,,,,1.09114,,,,,,,,,,,a9e9bcc0-66c9-4845-a2fe-8a93f27d9b4b,401,,"[56.0, 16.4]",3879744,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Carlos Joaquín Correa,6822.0,Left Center Midfield,25,Sampdoria,234,"['af9ec855-4249-4715-8083-97559b261a43', 'eb84caa2-0130-4324-9b7d-db0852717b85']",21,,,,,,,,,,,,,,,,Sampdoria,234,00:08:21.627,Carry,
,,,,,,"[53.9, 28.5]",,,,,,,,,,,,,1.3598,,,,,,,,,,,a9672824-996a-49ba-88c3-4ece7fe0affb,404,,"[50.5, 25.9]",3879744,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Fernando Lucas Martins,16586.0,Center Defensive Midfield,25,Sampdoria,234,"['95311cc6-9f13-4c9c-8ac6-9950dc552bae', 'bc19a9d6-4e99-4052-86a9-ebf777529421', 'cdfd3170-19e0-4ee4-8b8a-675c6210a17c']",23,,,,,,,,,,,,,,,,Sampdoria,234,00:08:23.667,Carry,True
,,,,,,"[79.4, 60.3]",,,,,,,,,,,,,1.134378,,,,,,,,,,,a8ad1f2d-fc1a-414b-be06-c8681f555fdb,417,,"[77.1, 68.3]",3879744,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Fernando Lucas Martins,16586.0,Center Defensive Midfield,27,Sampdoria,234,"['af798fc7-af92-4f7f-818c-e019860f6e89', 'c74c6439-5615-465f-aef8-5d98d9780af2']",39,,,,,,,,,,,,,,,,Sampdoria,234,00:08:39.106,Carry,
,,,,,,"[91.3, 49.8]",,,,,,,,,,,,,1.486901,,,,,,,,,,,21d4a8dc-5116-4ad9-8e20-be111cbbb6b0,420,,"[86.8, 46.9]",3879744,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antonio Cassano,19850.0,Left Center Forward,27,Sampdoria,234,"['95ee1f1f-5e67-4fbd-b041-c1d39c2f3cee', 'a75c46ec-9020-4ee5-8b13-a9418e4c6b4f', 'e93e8d26-dd99-41e9-8965-9fb1799b4854']",41,,,,,,,,,,,,,,,,Sampdoria,234,00:08:41.337,Carry,True
,,,,,,"[94.6, 46.3]",,,,,,,,,,,,,1.125771,,,,,,,,,,,ceed2efb-328d-47cd-b6be-ab81076a014d,424,,"[91.3, 49.8]",3879744,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antonio Cassano,19850.0,Left Center Forward,27,Sampdoria,234,"['715ad2f5-897f-4a5c-83b1-b2da80226e01', '95ee1f1f-5e67-4fbd-b041-c1d39c2f3cee', 'a9ff9ac9-af7c-49d2-be9d-cc41bc775306']",42,,,,,,,,,,,,,,,,Sampdoria,234,00:08:42.823,Carry,True
,,,,,,"[7.9, 69.2]",,,,,,,,,,,,,2.111224,,,,,,,,,,,27aab8de-c1d9-44fb-beb9-8491d7320f1f,429,,"[14.5, 64.3]",3879744,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alessandro Diamanti,19847.0,Right Wing,27,Sampdoria,234,"['12f2e788-89b4-435b-a301-806c81b46288', '42de328b-3b10-4561-ac09-4c19b490c30e', '8697f12f-3caf-4fff-bb60-c8b37170217c']",48,,,,,,,,,,,,,,,,Atalanta,228,00:08:48.179,Carry,True
,,,,,,"[25.1, 74.8]",,,,,,,,,,,,,4.009197,,,,,,,,,,,25b07560-d50d-4eed-8f7f-e1bd380e3c82,432,,"[25.7, 73.0]",3879744,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jasmin Kurtič,6941.0,Right Center Midfield,27,Sampdoria,234,"['3e4f2816-6e47-4aed-a55d-3ecd9b81a0e7', '72b25275-841a-4af3-a9d9-154db378b860', 'e70ea0c8-bd7e-446b-8412-95508b8d0dbc']",51,,,,,,,,,,,,,,,,Atalanta,228,00:08:51.227,Carry,True
,,,,,,"[104.5, 15.1]",,,,,,,,,,,,,2.820844,,,,,,,,,,,d26d27c1-e2c1-4eb9-93a6-b4f3cf40bb43,438,,"[95.3, 9.0]",3879744,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Carlos Joaquín Correa,6822.0,Left Center Midfield,28,Sampdoria,234,"['2794411a-c0b6-473e-b463-dd45c3c2f34b', '88cb065d-0671-4d7c-b11a-331baae0c598', '8b094789-6e42-4ae2-9082-a4cb3338f980']",1,,,,,,,,,,,,,,,,Sampdoria,234,00:09:01.370,Carry,True
,,,,,,"[12.6, 45.0]",,,,,,,,,,,,,0.867259,,,,,,,,,,,a652264c-02b7-46f1-be9d-783563e408f9,450,,"[12.6, 46.8]",3879744,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marco Sportiello,7157.0,Goalkeeper,30,Atalanta,228,"['17434d14-4b73-4ffa-8a1d-9b4a2944ce05', '3486af70-7d62-42d8-a43a-ae41e185322b']",36,,,,,,,,,,,,,,,,Atalanta,228,00:09:36.760,Carry,
,,,,,,"[42.5, 20.1]",,,,,,,,,,,,,3.647134,,,,,,,,,,,9d22c9d3-2cb3-440a-9ad5-0557d522743e,453,,"[23.8, 21.5]",3879744,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrea Masiello,6992.0,Left Center Back,30,Atalanta,228,"['a7b43c9f-6150-4738-9227-90dd383b788e', 'b2c8c5f3-1901-41d6-b2f2-26e018489a0d', 'fd65d8d3-91c2-4696-b00a-e5142cd8ad5f']",39,,,,,,,,,,,,,,,,Atalanta,228,00:09:39.415,Carry,True
