50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.12782,,,,,,,,,,,,,cd68f2f7-1651-4e98-b10e-c676f4b7fa91,3725,,,"[21.1, 76.4]",3879812,91,,,,0.015304928,,Right Foot,,,,"[40.7, 76.7]",,Ground Pass,,19.602295,,,Incomplete,,Felipe Anderson Pereira Gomes,8172.0,,,,,,2,From Throw In,Maurício dos Santos Nascimento,9939.0,Right Back,190,Lazio,236,"['4e9ace06-31db-44a3-b916-d0880206e958', 'aabf27e9-d9eb-4cd9-bc0d-c73ec3d1db27', 'cafd2367-7d17-4dda-bedc-ec150ec8adc3']",36,,,,,,,,,,,,,,,,,,Lazio,236,00:46:36.931,Pass,True
,,,,,,,,,,,,,,,,1.354791,,,,,,,,,,,,,bcdf0fd6-1723-4e26-b440-cd8f7ab27aa6,3728,,,"[37.7, 80.0]",3879812,91,,,,-0.20974061,,,,,,"[57.9, 75.7]",,High Pass,,20.652603,,,,,Filip Đorđević,11427.0,,,,,Throw-in,2,From Throw In,Maurício dos Santos Nascimento,9939.0,Right Back,191,Lazio,236,['cbf38d6b-8ba2-4758-be25-f232f6613e2f'],46,,,,,,,,,,,,,,,,,,Lazio,236,00:46:46.974,Pass,
,,,,,,,,,,,,,,,,0.629913,,,,,,,,,,,,,b0b8664a-deab-4a87-b639-74f8233d2df5,3739,,,"[54.2, 4.0]",3879812,91,,,,-0.16076274,,Right Foot,,,,"[57.9, 3.4]",,Ground Pass,,3.748333,,,,,Giuseppe Pezzella,7792.0,,,,,,2,Regular Play,Siniša Anđelković,40350.0,Left Center Back,192,Palermo,2256,['031d8d6f-8fd8-40e8-809b-960db207d372'],52,,,,,,,,,,,,,,,,,,Palermo,2256,00:46:52.019,Pass,
,,,,,,,,,,,,,,,,0.6008,,,,,,,,,,,,,c73191df-2d7c-4e92-b8e3-c63aa7f6f058,3744,,,"[57.6, 2.7]",3879812,91,,,,0.44610554,,Left Foot,,,,"[73.7, 10.4]",,Low Pass,,17.84657,,,Incomplete,,Alberto Gilardino,38389.0,,,,,,2,Regular Play,Giuseppe Pezzella,7792.0,Left Back,192,Palermo,2256,"['31bdfe6f-9ccd-4a43-ab69-6c1c2aeae143', '7b5cf909-106c-4677-8c95-012cbb390fda', 'dca84607-76b3-434d-bc41-1d23ebf30ad1']",53,,,,,,,,,,,,,,,,,,Palermo,2256,00:46:53.953,Pass,True
,,,,,,,,,,,,,,,,3.02198,,,,,,,,,,,,,1104a1e9-5c58-4ce4-8d3b-4b91fdfe744d,3748,,,"[57.5, 24.0]",3879812,91,,,,0.18932192,,Right Foot,,,,"[107.6, 33.6]",,High Pass,,51.01147,,,Incomplete,,Alberto Gilardino,38389.0,,,,,,2,Regular Play,Mato Jajalo,30735.0,Center Defensive Midfield,192,Palermo,2256,"['82de015d-ec06-4c5b-a1d0-df744698e553', 'f473aade-1731-414f-9646-cb420b7595b3']",59,,,,,,,,,,,,,,,,,,Palermo,2256,00:46:59.120,Pass,
,,,,,,,,,,,,,,,,2.056669,,,,,,,,,,,,,88c9924b-6d4e-46d6-8cc9-53441005e901,3752,,,"[15.1, 44.8]",3879812,92,,,,1.1790963,,Keeper Arm,,,,"[26.5, 72.4]",,High Pass,,29.861681,,,,,Maurício dos Santos Nascimento,9939.0,,,,,,2,From Keeper,Federico Marchetti,12491.0,Goalkeeper,193,Lazio,236,['2002e7d4-4091-46bf-887d-22a00d3736f1'],7,,,,,,,,,,,,,,,,,,Lazio,236,00:47:07.967,Pass,
,,,,,,,,,,,,,,,,1.609982,,,,,,,,,,,,,718ada6d-c407-4a7d-b752-0090bf57bdd4,3755,,,"[28.6, 74.6]",3879812,92,,,,0.022120286,,Right Foot,,,,"[51.2, 75.1]",,Ground Pass,,22.60553,,,,,Felipe Anderson Pereira Gomes,8172.0,,,,,,2,From Keeper,Maurício dos Santos Nascimento,9939.0,Right Back,193,Lazio,236,['e43e532a-d6d0-459d-9661-6869cb919551'],12,,,,,,,,,,,,,,,,,,Lazio,236,00:47:12.709,Pass,
,,,,,,,,,,,,,,,,1.887479,,,,,,,,,,,,,c002c446-7e33-41a7-aae3-001b9c9bcaa8,3765,,,"[81.1, 16.5]",3879812,92,True,,,0.34555557,,Right Foot,,,,"[103.6, 24.6]",,Ground Pass,,23.913595,,,,,Alberto Gilardino,38389.0,,,,,Free Kick,2,From Free Kick,Gastón Brugman,30704.0,Left Center Midfield,194,Palermo,2256,['d39975f2-1f09-4594-aa9c-767ef62bbf97'],31,,,,,,,,,,,,,,,,,,Palermo,2256,00:47:31.519,Pass,
,,,,,,,,,,,,,,,,0.733308,,,,,,,,,,,,,618604dd-d13b-4ba4-9934-34ced9ec5eb8,3772,,,"[21.6, 49.2]",3879812,92,,,,0.046695005,,Right Foot,,,,"[32.3, 49.7]",,Ground Pass,,10.711676,,,,,Filip Đorđević,11427.0,,,,,,2,From Counter,Lucas Rodrigo Biglia,5510.0,Center Defensive Midfield,195,Lazio,236,['957e8661-474c-408a-9166-fa953bd7d565'],35,,,,,,,,,,,,,,,,,,Lazio,236,00:47:35.795,Pass,
,,,,,,,,,,,,,,,,3.070647,,,,,,,,,,,,,59e09bfb-14e5-4029-a37e-fd8b531d3791,3778,,,"[54.1, 49.8]",3879812,92,True,,,1.478166,,Right Foot,,,,"[55.8, 68.1]",,Ground Pass,,18.378792,,,,,Milan Biševac,3103.0,,,,,Free Kick,2,From Free Kick,Lucas Rodrigo Biglia,5510.0,Center Defensive Midfield,196,Lazio,236,['4bdc02ef-41bd-4408-93d5-617774f41243'],54,,,,,,,,,,,,,,,,,,Lazio,236,00:47:54.045,Pass,
