50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,60347e9e-330c-4081-87d8-a05e07227416,1,,,3879660,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 34}, {'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 39}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 30829, 'name': 'Lorenzo Lollo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2d627a38-5f63-41cb-bb33-9aa4f9813496,2,,,3879660,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 33}, {'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cfde7d1c-f655-48c0-ae50-877bfc6988e8,3,,,3879660,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['fb75bb87-02d4-4462-b421-1f8f415fc887'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fb75bb87-02d4-4462-b421-1f8f415fc887,4,,,3879660,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['cfde7d1c-f655-48c0-ae50-877bfc6988e8'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c19fa37a-6bca-4d17-a853-188b58e8447f,1915,,,3879660,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,92,Juventus,224,['3e15c88b-9d1a-4535-a6e0-125d77278b7c'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3e15c88b-9d1a-4535-a6e0-125d77278b7c,1916,,,3879660,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,92,Juventus,224,['c19fa37a-6bca-4d17-a853-188b58e8447f'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.607994,,,,,,,,,,,,,363518c2-4376-4979-a3c9-8fb4b1aa6ccb,5,,"[60.0, 40.0]",3879660,0,,,,1.1801893,,Right Foot,,,"[60.7, 41.7]",,Ground Pass,,1.8384776,,,,Paul Pogba,20004.0,,,,,Kick Off,1,From Kick Off,Paulo Bruno Exequiel Dybala,5743.0,Right Center Forward,2,Juventus,224,['deeff1fc-edc8-4fea-8d57-3e8c75f2db0d'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.144,Pass,
,,,,,,,,,,,,,,,,1.386681,,,,,,,,,,,,,06f61662-555b-4a4c-89e5-db4da07c44eb,8,,"[60.1, 42.8]",3879660,0,,,,-2.9375746,,Right Foot,,,"[36.9, 38.0]",,Ground Pass,,23.691349,,,,Leonardo Bonucci,7173.0,,,,,,1,From Kick Off,Paul Pogba,20004.0,Left Center Midfield,2,Juventus,224,['be46bbc0-890b-494a-9148-14f440a0637e'],1,,,,,,,,,,,,,,,,,Juventus,224,00:00:01.082,Pass,
,,,,,,,,,,,,,,,,2.87282,,,,,,,,,,,,,9725bca7-02dd-4d53-9160-ce08cf96ee6c,11,,"[40.0, 38.8]",3879660,0,,,,0.19462986,,Right Foot,,,"[88.7, 48.4]",,High Pass,,49.637184,,,,Mario Mandžukić,5472.0,,,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Center Back,2,Juventus,224,['5c414206-66d3-4f51-84f0-2c9d833f5efc'],4,,,,,,,,,,,,,,,,,Juventus,224,00:00:04.058,Pass,
,,,,,,,,,,,,,,,,2.691215,,,,,,,,,,,,,2882c1d3-4908-4e52-a682-c7953533e2e7,14,,"[89.0, 49.6]",3879660,0,,,True,-0.199244,,,,,"[99.4, 47.5]",,High Pass,,10.609901,,Incomplete,,,,,,,,,1,From Kick Off,Mario Mandžukić,5472.0,Left Center Forward,2,Juventus,224,"['7c96665b-9bb0-46d2-b0d4-afaf35d427d7', '88471563-e0ee-4a66-b7e9-7135b4affff0']",6,,,,,,,,,,,,,,,,,Juventus,224,00:00:06.930,Pass,True
