50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.198872,,,,,,,,,,,,,,2de11ae4-9af2-4188-8f0f-d539fbd17ea2,33,,"[46.2, 32.1]",3879822,0,,,,,-1.2220253,,Right Foot,,,"[51.0, 18.9]",Ground Pass,,14.04564,,,,Giovanni Pasquale,386656.0,,,,,,,1,Regular Play,Emmanuel Agyemang-Badu,24722.0,Right Center Midfield,4,Udinese,230,['1cc90578-ab61-49bf-8528-3bb2199aa6de'],32,,,,,,,,,,,,,,,,,Udinese,230,00:00:32.834,Pass,
,,,,,,,,,,,,,,,,,1.816484,,,,,,,,,,,,,,9244f47e-f9ed-423e-972c-f69f443f69db,37,,"[68.1, 15.6]",3879822,0,,,,,2.891614,,Right Foot,,,"[49.3, 20.4]",Ground Pass,,19.403093,,,,Felipe Dias da Silva dal Belo,6938.0,,,,,,,1,Regular Play,Giovanni Pasquale,386656.0,Left Wing Back,4,Udinese,230,['a217de58-998e-4f09-8587-7c99f4b85ebd'],39,,,,,,,,,,,,,,,,,Udinese,230,00:00:39.121,Pass,
,,,,,,,,,,,,,,,,,5.999363,,,,,,,,,,,,,,0946a594-b260-44b0-999b-5f19cd7518b6,40,,"[45.7, 16.7]",3879822,0,,,,,2.5988421,,Right Foot,,,"[14.2, 35.7]",Ground Pass,,36.786545,,,,Orestis Karnezis,3742.0,,,,,,,1,Regular Play,Felipe Dias da Silva dal Belo,6938.0,Left Center Back,4,Udinese,230,['c22cc104-1f86-4467-8b2c-a569984d173b'],41,,,,,,,,,,,,,,,,,Udinese,230,00:00:41.781,Pass,
,,,,,,,,,,,,,,,,,3.673485,,,,,,,,,,,,,,8156c7db-ab9d-4c99-8cf6-732cabf596bc,43,,"[9.6, 44.5]",3879822,0,,,,,-0.053667426,,Right Foot,,,"[82.2, 40.6]",High Pass,,72.70467,,Unknown,,Cyril Théréau,8272.0,,,,,,,1,Regular Play,Orestis Karnezis,3742.0,Goalkeeper,4,Udinese,230,['65545f03-b9d1-4f73-9b10-728eccb7f05e'],47,,,,,,,,,,,,,,,,,Udinese,230,00:00:47.855,Pass,
,,,,,,,,,,,,,,,,,1.827932,,,,,,,,,,,,,,48d458e9-62b1-4873-9a79-95bf82b800d6,47,,"[40.8, 48.1]",3879822,1,,True,,,1.1463777,,Left Foot,,,"[51.6, 72.0]",Ground Pass,,26.226894,,,,Fabrizio Cacciatore,7050.0,,,,,,Free Kick,1,From Free Kick,Alessandro Gamberini,7052.0,Right Center Back,5,Chievo,231,['e75edaf3-28df-4da5-be6e-e65d0de29adb'],12,,,,,,,,,,,,,,,,,Chievo,231,00:01:12.281,Pass,
,,,,,,,,,,,,,,,,,1.778299,,,,,,,,,,,,,,772a665a-56d6-4ed0-9cf4-25a8a7eb757f,49,,"[54.9, 68.4]",3879822,1,,,,,-0.31171745,,Right Foot,,,"[81.9, 59.7]",High Pass,,28.367058,,Incomplete,,Riccardo Meggiorini,11643.0,,,,,,,1,From Free Kick,Fabrizio Cacciatore,7050.0,Right Back,5,Chievo,231,"['1ae0a6bc-d3e0-44e6-b28f-af036949f379', '926e5964-0314-4f00-8fd9-98fa14766a37']",15,,,,,,,,,,,,,,,,,Chievo,231,00:01:15.513,Pass,
,,,,,,,,,,,,,,,,,1.873206,,,,,,,,,,,,,,566464a9-3544-4021-934d-c36c158e8bb6,56,,"[68.7, 73.9]",3879822,1,,,,,-0.4820787,,Right Foot,,,"[77.3, 69.4]",Low Pass,,9.706183,,,,Riccardo Meggiorini,11643.0,,,,,,Recovery,1,From Free Kick,Fabrizio Cacciatore,7050.0,Right Back,5,Chievo,231,"['b6df223c-e195-48c5-8b75-aba280c5c14a', 'bc9dcbf8-a355-419a-b900-6cc50ecd1005']",20,,,,,,,,,,,,,,,,,Chievo,231,00:01:20.038,Pass,True
,,,,,,,,,,,,,,,,,0.884015,,,,,,,,,,,,,,97ee1b37-9ad9-4c4c-a423-8025c4b2c5fb,59,,"[77.6, 61.4]",3879822,1,,,,,-3.033903,,Left Foot,,,"[70.2, 60.6]",Ground Pass,,7.4431176,,,,Ivan Radovanović,7042.0,,,,,,,1,From Free Kick,Riccardo Meggiorini,11643.0,Right Center Forward,5,Chievo,231,['db78aa43-e982-4e78-bf45-6048d30a38fd'],23,,,,,,,,,,,,,,,,,Chievo,231,00:01:23.697,Pass,
,,,,,,,,,,,,,,,,,2.268138,,,,,,,,,,,,,,d136746a-cc8e-461a-8738-f905ce45fb24,62,,"[75.9, 56.0]",3879822,1,,,,,-1.8742003,,Right Foot,,,"[65.6, 23.1]",Ground Pass,,34.47463,,,,Massimo Gobbi,8645.0,,,,,,,1,From Free Kick,Ivan Radovanović,7042.0,Center Defensive Midfield,5,Chievo,231,['695c40a1-c139-47a3-909c-96b792e329e5'],26,,,,,,,,,,,,,,,,,Chievo,231,00:01:26.137,Pass,
,,,,,,,,,,,,,,,,,1.074321,,,,,,,,,,,,,,0a39b008-8cdd-4c5c-8185-a7888bf6b9c9,65,,"[67.2, 23.1]",3879822,1,,,,,0.3636109,,Left Foot,,,"[89.8, 31.7]",Low Pass,,24.180984,,Incomplete,,Roberto Inglese,7043.0,,,,,,,1,From Free Kick,Massimo Gobbi,8645.0,Left Back,5,Chievo,231,"['33de7978-280f-4f15-97bc-b0bcd4a9bfd7', 'be414dcd-dea2-4500-b600-a5e5eb0c540a']",30,,,,,,,,,,,,,,,,,Chievo,231,00:01:30.883,Pass,
,,,,,,,,,,,,,,,,,2.93772,,,,,,,,,,,,,,33de7978-280f-4f15-97bc-b0bcd4a9bfd7,68,,"[30.3, 48.4]",3879822,1,,,,,-0.17831819,,Right Foot,,,"[47.5, 45.3]",High Pass,,17.477127,,Incomplete,,Duván Esteban Zapata Banguera,7017.0,,,,,,Interception,1,From Free Kick,Danilo Larangeira,7799.0,Center Back,5,Chievo,231,"['0a39b008-8cdd-4c5c-8185-a7888bf6b9c9', '46f17f6b-ce71-4a0f-b199-899b2074b175', '80b7af12-b1b7-4006-9492-175fed0e02d6', 'fa6e5add-1620-4383-9a3c-40b013c5a8d0']",31,,,,,,,,,,,,,,,,,Udinese,230,00:01:31.957,Pass,True
,,,,,,,,,,,,,,,,,2.020199,,,,,,,,,,,,,,80b7af12-b1b7-4006-9492-175fed0e02d6,70,,"[72.6, 34.8]",3879822,1,,,,,0.8018802,,Head,,,"[90.5, 53.3]",High Pass,,25.742184,,,,Valter Birsa,7045.0,,,,,,Recovery,1,From Free Kick,Ivan Radovanović,7042.0,Center Defensive Midfield,5,Chievo,231,"['33de7978-280f-4f15-97bc-b0bcd4a9bfd7', '822bfea4-27e6-40c0-afd1-ab01dd36f536']",34,,,,,,,,,,,,,,,,,Chievo,231,00:01:34.895,Pass,
,,,,,,,,,,,,,,,,,3.834334,,,,,,,,,,,,,,506a26a8-53f8-4857-a7d2-6425a2dab6f3,72,,"[90.3, 53.3]",3879822,1,,,,True,-1.1681417,,,,,"[101.8, 26.3]",High Pass,,29.347061,,Incomplete,,Roberto Inglese,7043.0,,,,,,,1,From Free Kick,Valter Birsa,7045.0,Center Attacking Midfield,5,Chievo,231,"['1abb3954-065c-48f4-b30d-b897199130f1', '988a7fbc-d83e-4211-a890-dddbe574bccc', 'b222158a-1bcb-4111-912c-53555f4fe83e']",36,,,,,,,,,,,,,,,,,Chievo,231,00:01:36.955,Pass,True
,,,,,,,,,,,,,,,,,2.002446,,,,,,,,,,,,,,517697ed-8872-44ce-be4e-ea682655c3e6,81,,"[20.9, 64.5]",3879822,1,,,,,-0.035995524,,Right Foot,,,"[57.0, 63.2]",High Pass,,36.123398,,,,Duván Esteban Zapata Banguera,7017.0,,,,,,,1,From Free Kick,Danilo Larangeira,7799.0,Center Back,5,Chievo,231,['eb7cfa42-8a4c-4aa8-858d-b78e2808e7ac'],44,,,,,,,,,,,,,,,,,Udinese,230,00:01:44.099,Pass,
,,,,,,,,,,,,,,,,,2.479562,,,,,,,,,,,,,,577c2145-5f6e-48af-ab7d-4771d9614270,88,,"[55.4, 58.8]",3879822,1,,,,,-1.1675533,,Right Foot,,,"[80.4, 0.2]",High Pass,,63.70997,,Out,,Giovanni Pasquale,386656.0,,,True,,,Free Kick,1,From Free Kick,Zdravko Kuzmanović,6577.0,Center Defensive Midfield,6,Udinese,230,['c0fba1cb-086c-4cec-9090-b95f6f44d76b'],55,,,,,,,,,,,,,,,,,Udinese,230,00:01:55.766,Pass,
,,,,,,,,,,,,,,,,,2.291076,,,,,,,,,,,,,,33423020-6ace-4cca-a494-72d9e91bf683,90,,"[41.0, 80.0]",3879822,2,,True,,,-2.3183339,,,,,"[28.3, 66.3]",Low Pass,,18.681005,,,,Alessandro Gamberini,7052.0,,,,,,Throw-in,1,From Throw In,Fabrizio Cacciatore,7050.0,Right Back,7,Chievo,231,['53439cf4-f02e-49b1-a603-64f2fae4ca3e'],4,,,,,,,,,,,,,,,,,Chievo,231,00:02:04.788,Pass,
,,,,,,,,,,,,,,,,,2.08808,,,,,,,,,,,,,,73358307-d937-4051-9bc9-ef6e19035d99,92,,"[28.3, 66.0]",3879822,2,,,,,-1.6392605,,Right Foot,,,"[25.9, 31.0]",Ground Pass,,35.082188,,,,Boštjan Cesar,8877.0,,,,,,,1,From Throw In,Alessandro Gamberini,7052.0,Right Center Back,7,Chievo,231,['3cbffbd2-68c1-4ff2-a8c0-f55a59c329ab'],8,,,,,,,,,,,,,,,,,Chievo,231,00:02:08.542,Pass,
,,,,,,,,,,,,,,,,,2.128298,,,,,,,,,,,,,,718d8b2d-91da-4d09-9213-218edac0df72,95,,"[32.7, 22.8]",3879822,2,,,,,1.3954927,,Left Foot,,,"[37.5, 49.9]",Ground Pass,,27.521809,,,,Alessandro Gamberini,7052.0,,,,,,,1,From Throw In,Boštjan Cesar,8877.0,Left Center Back,7,Chievo,231,['0dd97132-c815-42bb-a28a-6184f1ac3650'],13,,,,,,,,,,,,,,,,,Chievo,231,00:02:13.119,Pass,
,,,,,,,,,,,,,,,,,1.865618,,,,,,,,,,,,,,e50bf763-460e-4962-99b4-b67c0e2228ed,98,,"[37.9, 50.2]",3879822,2,,,,,0.96299434,,Right Foot,,,"[49.1, 66.3]",Ground Pass,,19.612495,,,,Fabrizio Cacciatore,7050.0,,,,,,,1,From Throw In,Alessandro Gamberini,7052.0,Right Center Back,7,Chievo,231,['cebc7fe7-7b2a-4493-9ceb-d3fac2313e1e'],16,,,,,,,,,,,,,,,,,Chievo,231,00:02:16.252,Pass,
,,,,,,,,,,,,,,,,,1.048312,,,,,,,,,,,,,,f4f2193a-b6e8-47bf-8c29-b51158efbfef,101,,"[50.9, 66.3]",3879822,2,,,,,-0.5421377,,Right Foot,,,"[68.0, 56.0]",Ground Pass,,19.962465,,,,Ivan Radovanović,7042.0,,,,,,,1,From Throw In,Fabrizio Cacciatore,7050.0,Right Back,7,Chievo,231,['e6627df9-9838-4f3b-9818-5afc01332ab4'],19,,,,,,,,,,,,,,,,,Chievo,231,00:02:19.291,Pass,
,,,,,,,,,,,,,,,,,1.436508,,,,,,,,,,,,,,89445c1c-ed2a-4b6d-b2b6-cbeab5ef229b,105,,"[67.7, 58.6]",3879822,2,,,,,0.20632389,,Right Foot,,,"[84.9, 62.2]",Ground Pass,,17.572706,,,,Valter Birsa,7045.0,,,,,,,1,From Throw In,Ivan Radovanović,7042.0,Center Defensive Midfield,7,Chievo,231,"['7dae4a3d-8a54-4971-9b32-90af8c171164', 'f93245a3-c21f-407a-8d46-114c1fb5968b']",21,,,,,,,,,,,,,,,,,Chievo,231,00:02:21.448,Pass,True
,,,,,,,,,,,,,,,,,0.451319,,,,,,,,,,,,,,4b9b789a-98b8-40e8-bf41-05bf3bd4611c,113,,"[20.1, 6.6]",3879822,2,,,,,-0.53904396,,Left Foot,,,"[30.8, 0.2]",Low Pass,,12.467959,,Out,,,,,,,,,,1,From Throw In,Danilo Larangeira,7799.0,Center Back,7,Chievo,231,['8a42418d-d097-4aa4-a54b-b84c44a4b158'],25,,,,,,,,,,,,,,,,,Udinese,230,00:02:25.824,Pass,True
