50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ff9683f7-1f67-43f2-8bac-432495f3c325,1,,,3879871,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 89}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 8191, 'name': 'Ali Adnan Kadhim Al Tameemi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 53}, {'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7017, 'name': 'Duván Esteban Zapata Banguera'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 77}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2bf73d83-d436-4462-a631-1fe1247d7439,2,,,3879871,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 34315, 'name': 'Simone Colombi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 91}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 45508, 'name': 'Emanuele Suagher'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 30750, 'name': 'Stefano Sabelli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 19}, {'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 31273, 'name': 'Marco Crimi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 387476, 'name': 'Raphael Martinho Alves de Lima'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 7170, 'name': 'Simone Verdi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7793, 'name': 'Kevin Lasagna'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4636d1db-2261-4d8d-845c-525ef180c718,3,,,3879871,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['6f0c346a-cd4c-4b87-9d17-09d18f994a89'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6f0c346a-cd4c-4b87-9d17-09d18f994a89,4,,,3879871,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['4636d1db-2261-4d8d-845c-525ef180c718'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cd300ecc-8c7b-4d59-a3d2-6d6be2393278,1652,,,3879871,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,85,Carpi,1683,['5a088d34-72a0-44e0-8d9c-6a05772d6da9'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5a088d34-72a0-44e0-8d9c-6a05772d6da9,1653,,,3879871,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,85,Carpi,1683,['cd300ecc-8c7b-4d59-a3d2-6d6be2393278'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.589914,,,,,,,,,,,,,,,439b88a6-b142-4ea0-8532-8fbb08d37787,5,,"[60.0, 40.0]",3879871,0,,,,-2.2794225,,Left Foot,,,"[58.2, 37.9]",,Ground Pass,,2.7658634,,,,Simone Verdi,7170.0,,,,,,Kick Off,1,From Kick Off,Kevin Lasagna,7793.0,Center Forward,2,Carpi,1683,['e5408379-9692-4425-8313-4080001e5e71'],1,,,,,,,,,,,,,,,,,Carpi,1683,00:00:01.573,Pass,
,,,,,,,,,,,,,,,,,,1.006088,,,,,,,,,,,,,,,14f2fc09-db8b-4379-85aa-1d610726b2b5,8,,"[60.0, 37.1]",3879871,0,,,,2.965653,,Left Foot,,,"[46.5, 39.5]",,Ground Pass,,13.711674,,,,Raffaele Bianco,352172.0,,,,,,,1,From Kick Off,Simone Verdi,7170.0,Center Attacking Midfield,2,Carpi,1683,['70f25653-2928-49b8-bad7-ec239d20b50e'],2,,,,,,,,,,,,,,,,,Carpi,1683,00:00:02.322,Pass,
,,,,,,,,,,,,,,,,,,1.912867,,,,,,,,,,,,,,,20db28d8-b668-4697-89b7-3ca83e0747fb,11,,"[45.9, 38.3]",3879871,0,,,,-1.6008625,,Right Foot,,,"[45.1, 11.7]",,Ground Pass,,26.612028,,,,Riccardo Gagliolo,11499.0,,,,,,,1,From Kick Off,Raffaele Bianco,352172.0,Center Defensive Midfield,2,Carpi,1683,['fc06880f-d201-43a4-9366-43724b61c6a7'],4,,,,,,,,,,,,,,,,,Carpi,1683,00:00:04.196,Pass,
,,,,,,,,,,,,,,,,,,2.130832,,,,,,,,,,,,,,,7f099134-d241-4a36-a30e-7ef17bce7bac,14,,"[51.9, 9.0]",3879871,0,,,,-0.0056496575,,Left Foot,,,"[87.3, 8.8]",,High Pass,,35.400566,,,,Kevin Lasagna,7793.0,,,,,,,1,From Kick Off,Riccardo Gagliolo,11499.0,Left Center Back,2,Carpi,1683,['dfd0316a-6123-41af-98fe-90a85daed470'],8,,,,,,,,,,,,,,,,,Carpi,1683,00:00:08.188,Pass,
