50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.389868,,,,,,,,,,,,,,3386c048-1864-4878-a9a8-fc34de1dc076,1318,,,"[86.6, 73.9]",3879615,33,,,,,-1.0777978,,Right Foot,True,,,"[110.4, 29.6]",,High Pass,,50.288467,,,,Cristian Zaccardo,387300.0,,,True,,,Free Kick,1,From Free Kick,Gaetano Letizia,7114.0,Right Midfield,89,Carpi,1683,['fe892a36-5f9a-4979-a15a-7bbba0c8ed51'],52,,,,,,,,,,,,,,,,Carpi,1683,00:33:52.118,Pass,
,,,,,,,,,,,,,,,,,,,0.720096,,,,,,,,,,,,,,4f1ed602-a94e-4b3e-802b-c9d36b128b24,1320,,,"[110.4, 29.6]",3879615,33,,,,,1.4556061,,Head,,,,"[111.8, 41.7]",,High Pass,,12.180722,,Incomplete,,,,,,,,,,1,From Free Kick,Cristian Zaccardo,387300.0,Right Back,89,Carpi,1683,['d52ac555-3bec-46fa-b3fa-6d059c6dcdc8'],54,,,,,,,,,,,,,,,,Carpi,1683,00:33:54.508,Pass,
,,,,,,,,,,,,,,,,,,,2.103345,,,,,,,,,,,,,,93967581-bbf9-4bdc-a709-a7f5c4c8dada,1322,,,"[120.0, 0.1]",3879615,34,,,,,1.6983607,,Right Foot,,,,"[114.1, 46.1]",,High Pass,,46.376827,,Incomplete,,,,,True,True,Straight,,Corner,1,From Corner,Lorenzo Pasciuti,387472.0,Left Midfield,90,Carpi,1683,['b129726c-768c-41a3-a3c4-acf81d77ca25'],14,,,,,,,,,,,,,,,,Carpi,1683,00:34:14.039,Pass,
,,,,,,,,,,,,,,,,,,,1.596794,,,,,,,,,,,,,,11328789-fea6-428e-8783-ebfdd61b3d20,1324,,,"[9.7, 31.9]",3879615,34,,True,,,-0.7428706,,Keeper Arm,,,,"[19.5, 22.9]",,Ground Pass,,13.305638,,,,Francesco Acerbi,7119.0,,,,,,,1,From Keeper,Andrea Consigli,7132.0,Goalkeeper,91,Sassuolo,232,['843e5150-7167-4b20-b662-11d1051cda44'],28,,,,,,,,,,,,,,,,Sassuolo,232,00:34:28.894,Pass,
,,,,,,,,,,,,,,,,,,,2.139299,,,,,,,,,,,,,,6114df05-3cc2-41cb-bccc-ae3b11d6720e,1326,,,"[19.8, 20.4]",3879615,34,,,,,2.1191463,,Left Foot,,,,"[7.4, 40.7]",,Ground Pass,,23.787601,,,,Andrea Consigli,7132.0,,,,,,,1,From Keeper,Francesco Acerbi,7119.0,Left Center Back,91,Sassuolo,232,['18588f52-f636-4eec-9591-78242ca9a7aa'],32,,,,,,,,,,,,,,,,Sassuolo,232,00:34:32.333,Pass,
,,,,,,,,,,,,,,,,,,,1.782556,,,,,,,,,,,,,,2a87ee2d-3847-4018-9300-db14d257c4e8,1329,,,"[9.3, 40.7]",3879615,34,,,,,0.9588209,,Right Foot,,,,"[20.6, 56.8]",,Ground Pass,,19.669773,,,,Lorenzo Ariaudo,13612.0,,,,,,,1,From Keeper,Andrea Consigli,7132.0,Goalkeeper,91,Sassuolo,232,['a09c77c7-d478-4f4c-9243-0d61520607fd'],38,,,,,,,,,,,,,,,,Sassuolo,232,00:34:38.333,Pass,
,,,,,,,,,,,,,,,,,,,1.538623,,,,,,,,,,,,,,b706ba1a-ebc0-40bf-95b9-26991737faeb,1332,,,"[25.4, 58.0]",3879615,34,,,,,-2.4413126,,Right Foot,,,,"[9.5, 44.6]",,Ground Pass,,20.793509,,,,Andrea Consigli,7132.0,,,,,,,1,From Keeper,Lorenzo Ariaudo,13612.0,Right Center Back,91,Sassuolo,232,['7d712636-8f52-4f94-97f1-f1f0b779663e'],41,,,,,,,,,,,,,,,,Sassuolo,232,00:34:41.165,Pass,
,,,,,,,,,,,,,,,,,,,5.118793,,,,,,,,,,,,,,c095f6d8-8d2d-4315-9e0d-fd4d8af23147,1336,,,"[13.1, 45.3]",3879615,34,,,,,0.20069951,,Left Foot,,,,"[82.9, 59.5]",,Low Pass,,71.22977,,Incomplete,,,,,,,,,,1,From Keeper,Andrea Consigli,7132.0,Goalkeeper,91,Sassuolo,232,"['6910dbaf-44f4-4053-a064-909e515018c1', '95e700c7-981c-4af4-b6b6-362e84957872']",45,,,,,,,,,,,,,,,,Sassuolo,232,00:34:45.057,Pass,True
,,,,,,,,,,,,,,,,,,,1.983662,,,,,,,,,,,,,,95e700c7-981c-4af4-b6b6-362e84957872,1337,,,"[37.2, 20.6]",3879615,34,,,,,-0.69652396,,Head,,,,"[53.7, 6.8]",,High Pass,,21.510231,,,,Lorenzo Pasciuti,387472.0,,,,,,Recovery,1,From Keeper,Riccardo Gagliolo,11499.0,Left Center Back,91,Sassuolo,232,"['c095f6d8-8d2d-4315-9e0d-fd4d8af23147', 'ea5de6cf-e3f1-4089-bdf8-170ce3dbedf1']",50,,,,,,,,,,,,,,,,Carpi,1683,00:34:50.176,Pass,
,,,,,,,,,,,,,,,,,,,2.138189,,,,,,,,,,,,,,05325673-01c6-47b1-a6d2-35e2bc7f32a4,1341,,,"[54.2, 7.7]",3879615,34,,,,,2.7985687,,Right Foot,,,,"[26.2, 17.7]",,High Pass,,29.732138,,Incomplete,,,,,,,,,,1,From Keeper,Lorenzo Pasciuti,387472.0,Left Midfield,91,Sassuolo,232,['b86e7a14-870a-4f3f-92f1-89820b803733'],52,,,,,,,,,,,,,,,,Carpi,1683,00:34:52.940,Pass,
,,,,,,,,,,,,,,,,,,,1.66716,,,,,,,,,,,,,,eff57c2b-70a6-4a30-bf8c-ce5f5569d931,1344,,,"[89.6, 64.1]",3879615,34,,,,,0.24607275,,Left Foot,,,,"[111.1, 69.5]",,Ground Pass,,22.167768,,,,Šime Vrsaljko,5461.0,,,,,,,1,From Keeper,Lorenzo Pellegrini,6963.0,Right Center Midfield,91,Sassuolo,232,['b411051b-7c2c-40ba-8496-ff0e3167181a'],57,,,,,,,,,,,,,,,,Sassuolo,232,00:34:57.481,Pass,
,,,,,,,,,,,,,,,,,,,0.974263,,,,,,,,,,,,,,3cb32e0f-b67a-47de-a18e-b53dd987b2ed,1347,,,"[111.5, 69.5]",3879615,34,,,,,-1.5941384,,Right Foot,True,,,"[110.9, 43.8]",,Ground Pass,,25.707003,,Incomplete,,,,,,,,,,1,From Keeper,Šime Vrsaljko,5461.0,Right Back,91,Sassuolo,232,['adba1208-2017-43aa-9272-f21dbef77f9d'],59,,,,,,,,,,,,,,,,Sassuolo,232,00:34:59.188,Pass,
,,,,,,,,,,,,,,,,,,,0.917841,,,,,,,,,,,,,,b40329d5-4c59-46cc-a7e5-998765a6a6c0,1349,,,"[106.3, 80.0]",3879615,35,,,,,-2.0785792,,,,,,"[99.4, 67.6]",,High Pass,,14.19049,,,,Domenico Berardi,7131.0,,,,,,Throw-in,1,From Throw In,Šime Vrsaljko,5461.0,Right Back,92,Sassuolo,232,['78fb7899-0563-4ca4-86e9-adf83de71435'],9,,,,,,,,,,,,,,,,Sassuolo,232,00:35:09.697,Pass,
,,,,,,,,,,,,,,,,,,,0.376849,,,,,,,,,,,,,,0f837ff8-f35d-402c-8f6a-78c066317973,1352,,,"[99.4, 67.6]",3879615,35,,,,,0.9041035,,Left Foot,,,,"[104.2, 73.7]",,Ground Pass,,7.7620873,,Incomplete,,Šime Vrsaljko,5461.0,,,,,,,1,From Throw In,Domenico Berardi,7131.0,Right Wing,92,Sassuolo,232,"['46aec7bb-68bc-4dc3-a98f-43000b2a2f05', 'c26841df-80f8-4a75-a0c4-6d4f5f6a975e']",10,,,,,,,,,,,,,,,,Sassuolo,232,00:35:10.832,Pass,
,,,,,,,,,,,,,,,,,,,2.392202,,,,,,,,,,,,,,3fb54ced-75a6-4f44-979b-032f81a6de32,1356,,,"[17.4, 4.5]",3879615,35,,,,,1.3337902,,Left Foot,,,,"[22.4, 25.2]",,Ground Pass,,21.295305,,,,Riccardo Gagliolo,11499.0,,,,,,,1,Regular Play,Lorenzo Pasciuti,387472.0,Left Midfield,93,Carpi,1683,['97055592-44ed-4d76-94bf-70c42af680bc'],12,,,,,,,,,,,,,,,,Carpi,1683,00:35:12.406,Pass,
,,,,,,,,,,,,,,,,,,,0.870636,,,,,,,,,,,,,,72fe3391-45cb-4f37-a566-a076e7ae6c87,1359,,,"[26.8, 23.3]",3879615,35,,,,,-0.6425862,,Left Foot,,,,"[44.3, 10.2]",,Ground Pass,,21.860008,,,,Lorenzo Pasciuti,387472.0,,,,,,,1,Regular Play,Riccardo Gagliolo,11499.0,Left Center Back,93,Carpi,1683,['e8ec33e2-10ac-4848-8fb7-d1ac0ce56ead'],15,,,,,,,,,,,,,,,,Carpi,1683,00:35:15.564,Pass,
,,,,,,,,,,,,,,,,,,,1.632815,,,,,,,,,,,,,,319194b0-1235-47b1-b6d9-3f9057e7a86f,1361,,,"[44.3, 10.2]",3879615,35,,,,,2.7498927,,Right Foot,,,,"[39.7, 12.1]",,Ground Pass,,4.976947,,,,Raffaele Bianco,352172.0,,,,,,,1,Regular Play,Lorenzo Pasciuti,387472.0,Left Midfield,93,Carpi,1683,['b7895642-d592-4382-9c3d-15e6ef0f3c68'],16,,,,,,,,,,,,,,,,Carpi,1683,00:35:16.435,Pass,
,,,,,,,,,,,,,,,,,,,0.108585,,,,,,,,,,,,,,52ebf964-19e2-4887-a265-ce2206c3ca3a,1367,,,"[33.9, 5.4]",3879615,35,,,,,0.44684246,,Left Foot,,,,"[38.7, 7.7]",,Low Pass,,5.322593,,Incomplete,,,,,,,,,,1,Regular Play,Raffaele Bianco,352172.0,Left Defensive Midfield,93,Carpi,1683,['2db3343a-da7e-410b-8f63-9d3aae33aafc'],21,,,,,,,,,,,,,,,,Carpi,1683,00:35:21.324,Pass,
,,,,,,,,,,,,,,,,,,,2.063718,,,,,,,,,,,,,,20395b39-e4c4-4b9c-9dca-1574b97d9f5e,1369,,,"[38.7, 0.1]",3879615,35,,,,,0.1791399,,,,,,"[75.7, 6.8]",,High Pass,,37.60173,,Incomplete,,Kevin Lasagna,7793.0,,,,,,Throw-in,1,From Throw In,Gabriel Moisés Antunes da Silva,3416.0,Left Back,94,Carpi,1683,"['16aea622-d8fd-40b9-ad03-e8c68091b00a', 'e6089b55-a283-415d-8f3b-73a0fa143373']",31,,,,,,,,,,,,,,,,Carpi,1683,00:35:31.584,Pass,
,,,,,,,,,,,,,,,,,,,1.417884,,,,,,,,,,,,,,2d7632cd-61d3-4a9a-a654-df788ab6a01f,1372,,,"[85.1, 0.1]",3879615,35,,,,,1.4016107,,,,,,"[89.9, 28.2]",,High Pass,,28.507017,,,,Kevin Lasagna,7793.0,,,,,,Throw-in,1,From Throw In,Gabriel Moisés Antunes da Silva,3416.0,Left Back,95,Carpi,1683,['0d423f48-dbe1-45aa-9c10-3395e2fa892f'],46,,,,,,,,,,,,,,,,Carpi,1683,00:35:46.826,Pass,
,,,,,,,,,,,,,,,,,,,1.856728,,,,,,,,,,,,,,636605e5-05f8-4c7b-b101-9211aec6d05f,1376,,,"[26.0, 48.0]",3879615,35,,,,,-0.39852244,,Right Foot,,,,"[46.9, 39.2]",,High Pass,,22.67708,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Francesco Acerbi,7119.0,Left Center Back,95,Carpi,1683,['7ac81c54-a42d-42d3-8256-c96af2dbab78'],48,,,,,,,,,,,,,,,,Sassuolo,232,00:35:48.948,Pass,
,,,,,,,,,,,,,,,,,,,1.862693,,,,,,,,,,,,,,54751a3c-4ee9-4f4d-8b97-0e9deb8754c0,1379,,,"[76.7, 38.8]",3879615,35,,,,,0.42074868,,Right Foot,,,,"[102.4, 50.3]",,High Pass,,28.15564,,Incomplete,,Kevin Lasagna,7793.0,,,,,,,1,From Throw In,Cristian Zaccardo,387300.0,Right Back,95,Carpi,1683,"['8fec56c5-15f0-4a5e-ad47-133f6d593bdd', 'cda72784-942d-47b1-bde5-5e3f236d073f']",52,,,,,,,,,,,,,,,,Carpi,1683,00:35:52.324,Pass,
,,,,,,,,,,,,,,,,,,,0.989049,,,,,,,,,,,,,,cda72784-942d-47b1-bde5-5e3f236d073f,1381,,,"[17.7, 29.8]",3879615,35,,,,,0.5275336,,Head,,,,"[29.2, 36.5]",,Low Pass,,13.309395,,,,Francesco Magnanelli,7127.0,,,,,,Recovery,1,Regular Play,Francesco Acerbi,7119.0,Left Center Back,96,Sassuolo,232,"['54751a3c-4ee9-4f4d-8b97-0e9deb8754c0', '74d034a2-c9c1-482f-afc2-22d81efb7246']",54,,,,,,,,,,,,,,,,Sassuolo,232,00:35:54.186,Pass,
