50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ded4dcc0-a457-474e-900d-7dfdd083f498,1,,,3879788,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 7155, 'name': 'Vincent Laurini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7160, 'name': 'Lorenzo Tonelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 8664, 'name': 'Andrea Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bc920189-9fc0-41ac-9d07-dbbaac5afb82,2,,,3879788,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7792, 'name': 'Giuseppe Pezzella'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 97}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 8552, 'name': 'Robin Quaison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 30704, 'name': 'Gastón Brugman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0f7a9f22-f534-41a6-b3f6-cd494ed4ee1c,3,,,3879788,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,['98e652fd-91ad-4d65-8a7b-f9fb629c677e'],0,,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,98e652fd-91ad-4d65-8a7b-f9fb629c677e,4,,,3879788,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,['0f7a9f22-f534-41a6-b3f6-cd494ed4ee1c'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bb65e1af-0fa3-48a0-91c0-14681d4cf9e4,1729,,,3879788,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Empoli,290,['f7e42365-c9e5-4cac-836b-07b4c2225570'],0,,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f7e42365-c9e5-4cac-836b-07b4c2225570,1730,,,3879788,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Empoli,290,['bb65e1af-0fa3-48a0-91c0-14681d4cf9e4'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.668846,,,,,,,,,,,58777e83-0c49-4d39-bb73-b3da18e88ba6,5,,"[60.0, 40.0]",3879788,0,,True,,,-1.3078016,,Right Foot,,,"[60.7, 37.4]",Ground Pass,,2.6925824,,,Franco Damián Vázquez,6719.0,,,,,,Kick Off,1,From Kick Off,Oscar Hiljemark,5605.0,Right Center Midfield,2,Palermo,2256,['c2458534-6721-4c24-87b0-5c0565987f99'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.432,Pass,
,,,,,,,,,,,,,,,,0.973041,,,,,,,,,,,a01dc2b1-cc67-481c-bb24-87f4623c3499,7,,"[61.8, 37.4]",3879788,0,,,,,1.241172,,Left Foot,,,"[68.3, 56.4]",Ground Pass,,20.081085,,,Robin Quaison,8552.0,,,,,,,1,From Kick Off,Franco Damián Vázquez,6719.0,Center Forward,2,Palermo,2256,['f057217f-d93d-4e2c-a7f2-63e029106e9b'],1,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:01.375,Pass,
,,,,,,,,,,,,,,,,0.679171,,,,,,,,,,,256cd5e6-3192-49d4-a59c-e42554857eb4,11,,"[68.5, 57.5]",3879788,0,,,,,2.709185,,Right Foot,,,"[58.1, 62.3]",Ground Pass,,11.454257,,,Mato Jajalo,30735.0,,,,,,,1,From Kick Off,Robin Quaison,8552.0,Right Midfield,2,Palermo,2256,"['2313df04-9890-463e-bdf3-6e480144a320', '3ee156df-7802-4ee2-94ca-51cf44ac6d16']",3,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:03.101,Pass,True
,,,,,,,,,,,,,,,,1.108966,,,,,,,,,,,3fcd62d0-acdb-4595-90f2-b3d9afe8f6db,14,,"[60.3, 64.1]",3879788,0,,,,,0.7593171,,Right Foot,,,"[72.1, 75.3]",Ground Pass,,16.26899,,,Aljaž Struna,24061.0,,,,,,,1,From Kick Off,Mato Jajalo,30735.0,Center Defensive Midfield,2,Palermo,2256,['0515419f-1aa2-4d34-b188-ee58f621c304'],4,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:04.693,Pass,
