50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ebb7d39d-7d1e-4aee-9f27-bf81adc52917,1,,,3879721,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8102, 'name': 'Edoardo Goldaniga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 40349, 'name': 'Ivaylo Chochev'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 8552, 'name': 'Robin Quaison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6e734d5d-7bc4-44fe-9aa5-3d89d849fa77,2,,,3879721,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6360, 'name': 'Cristian Eduardo Zapata Valencia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,80599188-25b6-45e1-8d81-ccea61a65c27,3,,,3879721,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['ebc89b41-3d0f-4e00-a5c4-2eab11f5420e'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ebc89b41-3d0f-4e00-a5c4-2eab11f5420e,4,,,3879721,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['80599188-25b6-45e1-8d81-ccea61a65c27'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7af21733-8aaa-4ad8-b33c-3b8816153156,1695,,,3879721,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,AC Milan,243,['aae7f92d-ed6d-4cb9-be25-b8a642116d52'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,aae7f92d-ed6d-4cb9-be25-b8a642116d52,1696,,,3879721,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,AC Milan,243,['7af21733-8aaa-4ad8-b33c-3b8816153156'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.660422,,,,,,,,,,,,,,,1c14e658-5417-4331-8915-09df58ef0199,5,,"[60.0, 40.0]",3879721,0,,,,0.86217004,,Right Foot,,,,"[61.8, 42.1]",,Ground Pass,,2.7658634,,,Riccardo Montolivo,7166.0,,,,,Kick Off,1,From Kick Off,Juraj Kucka,10919.0,Right Defensive Midfield,2,AC Milan,243,['e1f0e5a8-d5bd-480f-ba5b-b632e0a9e91f'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.785,Pass,
,,,,,,,,,,,,,,,,,1.278379,,,,,,,,,,,,,,,7b4e9dbb-4bd7-476e-8ced-faebcf451c3c,8,,"[60.6, 41.3]",3879721,0,,,,-2.8828218,,Right Foot,,,,"[33.4, 34.1]",,Ground Pass,,28.136808,,,Alessio Romagnoli,7458.0,,,,,,1,From Kick Off,Riccardo Montolivo,7166.0,Left Defensive Midfield,2,AC Milan,243,['5233af24-3fdd-41c4-975e-4bc3facc8069'],1,,,,,,,,,,,,,,,,,AC Milan,243,00:00:01.484,Pass,
,,,,,,,,,,,,,,,,,3.228606,,,,,,,,,,,,,,,90f03c1d-29d3-42b3-9f35-51a27e4eb564,11,,"[34.4, 36.4]",3879721,0,,,,0.4027474,,Left Foot,,,,"[85.1, 58.0]",,High Pass,,55.109436,,,M''Baye Babacar Niang,5661.0,,,,,,1,From Kick Off,Alessio Romagnoli,7458.0,Left Center Back,2,AC Milan,243,['d06d84df-a158-460f-a792-8f462261016f'],4,,,,,,,,,,,,,,,,,AC Milan,243,00:00:04.456,Pass,
,,,,,,,,,,,,,,,,,3.007152,,,,,,,,,,,,,,,c8f11f1a-f4b6-4444-8148-b16c10966bed,13,,"[85.1, 58.0]",3879721,0,,,,0.5223078,,Head,,,,"[108.9, 71.7]",,Low Pass,,27.461428,Incomplete,,Ignazio Abate,7463.0,,,,,,1,From Kick Off,M''Baye Babacar Niang,5661.0,Right Center Forward,2,AC Milan,243,"['3b047c84-2bd2-4aa4-a115-372d357a5010', 'f07516cf-b642-4c64-8182-9a560c2d6a3c']",7,,,,,,,,,,,,,,,,,AC Milan,243,00:00:07.684,Pass,
