50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.202036,,,,,,,,,,,,,4f9566dd-7c48-44d5-8cf5-b2495f60169a,83,,,"[81.6, 40.5]",3879764,2,,,,,-0.67651874,,Left Foot,,"[95.3, 29.5]",,Ground Pass,,17.569576,,Incomplete,,Paul-José M''Poku Ebunge,18946.0,,,,,,,1,From Throw In,Valter Birsa,7045.0,Right Wing,8,Chievo,231,"['57d1c791-5b5c-4c73-9d7b-0d58ea901b72', 'ff82697b-9564-4874-b864-047df99485df']",9,,,,,,,,,,,,,,,,,,Chievo,231,00:02:09.605,Pass,
,,,,,,,,,,,,,,3.060096,,,,,,,,,,,,,fa1cc4c1-bacc-4e77-8bce-853e59c3f69e,89,,,"[38.5, 72.4]",3879764,2,,,,,0.09259163,,Right Foot,,"[80.5, 76.3]",,High Pass,,42.180683,,Incomplete,,Tim Matavž,7852.0,,,,,,,1,From Throw In,Tomás Eduardo Rincón Hernández,7475.0,Right Wing Back,8,Chievo,231,"['5e3d5728-0d15-4a55-ac87-3835319fc91e', 'f6fdaae6-3fbb-4fdb-9c3c-8244ed3fe2e9']",13,,,,,,,,,,,,,,,,,,Genoa,233,00:02:13.637,Pass,
,,,,,,,,,,,,,,1.778073,,,,,,,,,,,,,5e3d5728-0d15-4a55-ac87-3835319fc91e,91,,,"[39.6, 3.8]",3879764,2,,,,,0.013157136,,Left Foot,,"[62.4, 4.1]",,Ground Pass,,22.801973,,,,Paul-José M''Poku Ebunge,18946.0,,,,,,Recovery,1,From Throw In,Boštjan Cesar,8877.0,Left Center Back,8,Chievo,231,"['96b375e4-52f3-4633-8743-ce6a2ca164cb', 'fa1cc4c1-bacc-4e77-8bce-853e59c3f69e']",16,,,,,,,,,,,,,,,,,,Chievo,231,00:02:16.697,Pass,
,,,,,,,,,,,,,,0.870118,,,,,,,,,,,,,67357293-dd61-40c6-9d3d-f38325b9926f,95,,,"[61.7, 4.1]",3879764,2,,,,,2.4021392,,Right Foot,,"[52.6, 12.4]",,Ground Pass,,12.316655,,,,Nicola Rigoni,7041.0,,,,,,,1,From Throw In,Paul-José M''Poku Ebunge,18946.0,Left Wing,8,Chievo,231,['de3f25c1-ccbd-4671-a089-d3ba0311c3ec'],19,,,,,,,,,,,,,,,,,,Chievo,231,00:02:19.820,Pass,
,,,,,,,,,,,,,,1.652568,,,,,,,,,,,,,57e31925-fdfc-4009-880c-558aabb2e4d4,98,,,"[52.6, 12.4]",3879764,2,,,,,-2.4722352,,Right Foot,,"[43.5, 5.2]",,Ground Pass,,11.603879,,,,Massimo Gobbi,8645.0,,,,,,,1,From Throw In,Nicola Rigoni,7041.0,Left Center Midfield,8,Chievo,231,['838ed6a6-7e15-40e5-ada4-3c2985b97628'],20,,,,,,,,,,,,,,,,,,Chievo,231,00:02:20.739,Pass,
,,,,,,,,,,,,,,2.152359,,,,,,,,,,,,,e5778444-9dfe-443b-8d11-1f84c3364118,102,,,"[39.6, 7.9]",3879764,2,,,,,-2.863293,,Left Foot,,"[26.3, 4.1]",,Ground Pass,,13.832209,,,,Boštjan Cesar,8877.0,,,,,,,1,From Throw In,Massimo Gobbi,8645.0,Left Back,8,Chievo,231,"['6e8153e8-bb0d-42e7-9c8a-2f37021197d7', 'b37800a8-796c-4418-9c1a-d775c8dda077']",23,,,,,,,,,,,,,,,,,,Chievo,231,00:02:23.473,Pass,True
,,,,,,,,,,,,,,3.367335,,,,,,,,,,,,,2a2df562-2c64-4142-a153-bf90479d00dc,106,,,"[26.3, 4.1]",3879764,2,,,,,0.5709378,,Left Foot,,"[76.9, 36.6]",,High Pass,,60.138256,,Pass Offside,,Sergio Pellissier,8644.0,,,,,,,1,From Throw In,Boštjan Cesar,8877.0,Left Center Back,8,Chievo,231,['99c78784-40cd-4ea6-af8e-ead69bdf94ed'],25,,,,,,,,,,,,,,,,,,Chievo,231,00:02:25.687,Pass,
,,,,,,,,,,,,,,0.718386,,,,,,,,,,,,,82f5c886-d010-4215-b657-84869bff9a9e,108,,,"[42.1, 39.0]",3879764,2,,True,,,1.2155654,,Right Foot,,"[44.4, 45.2]",,Ground Pass,,6.6128664,,,,Blerim Džemaili,5554.0,,,,,,Free Kick,1,From Free Kick,Nicolás Andrés Burdisso,7467.0,Center Back,9,Genoa,233,['6f66c519-6d52-496e-913d-229aff2bd6bd'],33,,,,,,,,,,,,,,,,,,Genoa,233,00:02:33.950,Pass,
,,,,,,,,,,,,,,2.979668,,,,,,,,,,,,,3c76172a-3fd4-48b0-a5c7-3531d7c4806a,110,,,"[44.9, 46.2]",3879764,2,,,,,-1.0102196,,Right Foot,,"[73.4, 0.8]",,High Pass,,53.6042,,Out,,Jesús Joaquín Fernández Sáez de la Torre,7022.0,,,True,,,,1,From Free Kick,Blerim Džemaili,5554.0,Left Defensive Midfield,9,Genoa,233,['d2ac0bdb-3597-4057-9664-6406f734a2d3'],39,,,,,,,,,,,,,,,,,,Genoa,233,00:02:39.615,Pass,
,,,,,,,,,,,,,,1.119479,,,,,,,,,,,,,f7951201-7e66-4238-9813-67dbfab8cb8d,112,,,"[47.3, 80.0]",3879764,2,,,,,-1.6041173,,,,"[46.7, 62.0]",,Low Pass,,18.009996,,,,Ivan Radovanović,7042.0,,,,,,Throw-in,1,From Throw In,Fabrizio Cacciatore,7050.0,Right Back,10,Chievo,231,['b95c9281-fccc-4b1f-a458-6a2a48d0c22c'],44,,,,,,,,,,,,,,,,,,Chievo,231,00:02:44.801,Pass,
,,,,,,,,,,,,,,1.250972,,,,,,,,,,,,,2339aab9-8d81-4ff0-b1bf-84a872f7c80c,115,,,"[46.7, 62.0]",3879764,2,,,,,2.1455722,,Right Foot,,"[41.0, 70.8]",,Ground Pass,,10.484751,,,,Fabrizio Cacciatore,7050.0,,,,,,,1,From Throw In,Ivan Radovanović,7042.0,Center Defensive Midfield,10,Chievo,231,['b54a2a4b-a6e7-4c62-963e-803d34e1bd45'],47,,,,,,,,,,,,,,,,,,Chievo,231,00:02:47.089,Pass,
,,,,,,,,,,,,,,0.888982,,,,,,,,,,,,,413e1593-e514-4ec5-a6e7-37d2912746a2,119,,,"[33.6, 70.0]",3879764,2,,,,,-2.5979474,,Right Foot,,"[24.5, 64.5]",,Ground Pass,,10.632968,,,,Dario Dainelli,7771.0,,,,,,,1,From Throw In,Fabrizio Cacciatore,7050.0,Right Back,10,Chievo,231,"['2449bde7-d20a-440e-8c0a-77a710c6f26a', 'bcd6cf90-b986-4149-b934-85217c9721b1']",49,,,,,,,,,,,,,,,,,,Chievo,231,00:02:49.768,Pass,True
,,,,,,,,,,,,,,1.274426,,,,,,,,,,,,,ccc0e442-0df5-4cb4-b629-0cefb5f30627,123,,,"[28.9, 73.3]",3879764,2,,,,,-0.26513097,,Right Foot,,"[44.0, 69.2]",,High Pass,,15.646725,,Incomplete,,Valter Birsa,7045.0,,,,,,,1,From Throw In,Dario Dainelli,7771.0,Right Center Back,10,Chievo,231,"['65f2cf3d-94f6-40de-93ee-209e7bc8a9b5', '94de5a76-3531-4d63-8ea9-ae2356dec2c8', 'e2cb6185-4f48-4cc0-a0cf-6bdd109e98cf']",53,,,,,,,,,,,,,,,,,,Chievo,231,00:02:53.391,Pass,True
,,,,,,,,,,,,,,1.234759,,,,,,,,,,,,,e2cb6185-4f48-4cc0-a0cf-6bdd109e98cf,125,,,"[76.1, 10.9]",3879764,2,,,,,-0.5659676,,Head,,"[84.6, 5.5]",,Low Pass,,10.070253,,,,Jesús Joaquín Fernández Sáez de la Torre,7022.0,,,,,,Recovery,1,Regular Play,Diego Sebastián Laxalt Suárez,5717.0,Left Wing Back,11,Genoa,233,"['ccc0e442-0df5-4cb4-b629-0cefb5f30627', 'f6af66eb-6ad5-4392-94a0-1f161b9b6ead']",54,,,,,,,,,,,,,,,,,,Genoa,233,00:02:54.666,Pass,
