50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,52611f33-d42f-452d-8c84-e4551ab53a92,1,,,3879610,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 8104, 'name': 'Vassilis Torosidis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 35}, {'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 44}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 23241, 'name': 'William Vainqueur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",AS Roma,229,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,649bdb0a-aad8-46b1-93cc-eb4690ef8367,2,,,3879610,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8443, 'name': 'Dušan Basta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 9939, 'name': 'Maurício dos Santos Nascimento'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 8847, 'name': 'Santiago Juan Gentiletti Selak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7778, 'name': 'Ştefan Daniel Radu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 8172, 'name': 'Felipe Anderson Pereira Gomes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 11427, 'name': 'Filip Đorđević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,efa1bfdd-acd0-486b-b357-5d0ffa48aa45,3,,,3879610,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,['bb574c25-0ed1-44ff-a1d7-05ea749b73fb'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bb574c25-0ed1-44ff-a1d7-05ea749b73fb,4,,,3879610,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,['efa1bfdd-acd0-486b-b357-5d0ffa48aa45'],0,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e4c5c349-3dc2-45e2-9d9b-daa319b2e0e8,1696,,,3879610,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,AS Roma,229,['a94f6dbd-0187-4cb6-8d44-8e43c73c8f13'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a94f6dbd-0187-4cb6-8d44-8e43c73c8f13,1697,,,3879610,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,AS Roma,229,['e4c5c349-3dc2-45e2-9d9b-daa319b2e0e8'],0,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.466416,,,,,,,,,,,,08849011-58b0-4773-83d2-584ef11f9b6e,5,,"[61.0, 40.1]",3879610,0,,,,-2.6928694,,Left Foot,,,"[58.3, 38.8]",,Ground Pass,,2.9966648,,,Edin Džeko,6973.0,,,,,Kick Off,1,From Kick Off,Iago Falqué Silva,7468.0,Center Attacking Midfield,2,AS Roma,229,['47e1095b-03ec-477d-80a5-08659f8b62a1'],0,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.773,Pass,
,,,,,,,,,,,,,,,,0.697168,,,,,,,,,,,,20867141-18b3-4765-9fb2-ad34eaefd0eb,8,,"[57.1, 42.4]",3879610,0,,,,-2.6909313,,Right Foot,,,"[50.9, 39.4]",,Ground Pass,,6.88767,,,William Vainqueur,23241.0,,,,,,1,From Kick Off,Edin Džeko,6973.0,Center Forward,2,AS Roma,229,['21d876af-757b-4aaa-a274-0d73b77177a6'],1,,,,,,,,,,,,,,,,,AS Roma,229,00:00:01.498,Pass,
,,,,,,,,,,,,,,,,1.38907,,,,,,,,,,,,b83a0525-be7e-48b3-b7e1-fa133ad2ff3a,12,,"[48.0, 40.5]",3879610,0,,,,-2.348732,,Right Foot,,,"[34.7, 27.0]",,Ground Pass,,18.950989,,,Antonio Rüdiger,3167.0,,,,,,1,From Kick Off,William Vainqueur,23241.0,Left Defensive Midfield,2,AS Roma,229,"['1bf6a646-ff31-4f2a-a1fd-6c5331d6a39c', 'b52d5fe2-1ff1-4811-b240-405547f9a784']",3,,,,,,,,,,,,,,,,,AS Roma,229,00:00:03.649,Pass,True
,,,,,,,,,,,,,,,,1.218292,,,,,,,,,,,,6a34a964-7132-4a4c-a02c-4388307ab2c9,15,,"[33.9, 32.0]",3879610,0,,,,1.5707964,,Right Foot,,,"[33.9, 49.5]",,Ground Pass,,17.5,,,Konstantinos Manolas,7048.0,,,,,,1,From Kick Off,Antonio Rüdiger,3167.0,Left Center Back,2,AS Roma,229,['c9f484a6-751f-4c8b-a90e-c7d36f6f2127'],6,,,,,,,,,,,,,,,,,AS Roma,229,00:00:06.474,Pass,
