bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,af53b2e7-e8d2-437c-a08e-becd44c928b2,1,,,,3879681,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 55}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6984, 'name': ""Danilo D''Ambrosio""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5587, 'name': 'Adem Ljajić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 44}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,940ff9a5-54d8-4e65-a390-81a4bfc3e26f,2,,,,3879681,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7113, 'name': 'Simone Missiroli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8093, 'name': 'Diego Falcinelli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,db24a69b-8d18-427e-84f6-347e85fbbe21,3,,,,3879681,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['278476f2-6fe6-49d0-8fcc-6c793b9013a9'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,278476f2-6fe6-49d0-8fcc-6c793b9013a9,4,,,,3879681,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['db24a69b-8d18-427e-84f6-347e85fbbe21'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b5d0872a-7ace-49fd-a972-fdb41561b1ea,1709,,,,3879681,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Inter Milan,238,['52ff15e3-30e2-4ca1-9849-24aa51a13253'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,52ff15e3-30e2-4ca1-9849-24aa51a13253,1710,,,,3879681,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Inter Milan,238,['b5d0872a-7ace-49fd-a972-fdb41561b1ea'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.566213,,,,,,,,,,,,,,ea73c7d9-2f5c-48e0-8a14-d40156194273,5,,,"[61.0, 40.1]",3879681,0,,,,,1.2341216,,Left Foot,,,,"[62.4, 44.1]",Ground Pass,,4.237924,,,,Adem Ljajić,5587.0,,,,,Kick Off,1,From Kick Off,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,2,Inter Milan,238,['d7c2187f-9536-42a9-8dd0-172c25b188a2'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.366,Pass,
,,,,,,,,,,,,,,,,,1.093506,,,,,,,,,,,,,,986ca860-aa34-4b37-8bf8-ad1632dfcd8d,8,,,"[64.1, 46.3]",3879681,0,,,,,2.5374298,,Right Foot,,,,"[52.8, 54.1]",Ground Pass,,13.730622,,,,Marcelo Brozović,5469.0,,,,,,1,From Kick Off,Adem Ljajić,5587.0,Right Wing,2,Inter Milan,238,['0f7a07af-af16-43d2-b452-8ead2536bdb0'],2,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:02.637,Pass,
,,,,,,,,,,,,,,,,,1.912652,,,,,,,,,,,,,,2f7d9a47-d00d-40aa-8775-6f4c71c099ba,11,,,"[49.1, 55.6]",3879681,0,,,,,-2.1455722,,Right Foot,,,,"[32.0, 29.2]",Ground Pass,,31.454252,,,,Jeison Fabián Murillo Cerón,6585.0,,,,,,1,From Kick Off,Marcelo Brozović,5469.0,Right Center Midfield,2,Inter Milan,238,['97bd3193-6060-4863-bb6b-7ac1e26ec3a1'],6,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:06.182,Pass,
,,,,,,,,,,,,,,,,,1.425152,,,,,,,,,,,,,,6c34e4c1-f05f-4837-b9a6-1ee40dbb7d68,14,,,"[32.0, 29.2]",3879681,0,,,,,1.8079166,,Left Foot,,,,"[26.2, 53.2]",Ground Pass,,24.69089,,,,João Miranda de Souza Filho,5551.0,,,,,,1,From Kick Off,Jeison Fabián Murillo Cerón,6585.0,Left Center Back,2,Inter Milan,238,['6aaaf29f-d4ce-4307-a400-32d348b2dbec'],10,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:10.117,Pass,
