50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fd024d85-92d2-407e-ad7b-1d19ce662072,1,,,3879702,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 38326, 'name': 'Ferdinando Coppola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 37}, {'player': {'id': 7020, 'name': 'Jacopo Sala'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 32119, 'name': 'Leandro Greco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5512, 'name': 'Emil Hallfreðsson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 6686, 'name': 'Giampaolo Pazzini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe0bcf56-5af2-44c2-b2b9-22cec9a86406,2,,,3879702,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7148, 'name': 'Mattia Perin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6894, 'name': 'Ezequiel Muñoz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 7176, 'name': 'Sebastian De Maio'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 9940, 'name': 'Armando Izzo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7464, 'name': 'Cristian Daniel Ansaldi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 93}, {'player': {'id': 7475, 'name': 'Tomás Eduardo Rincón Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 5554, 'name': 'Blerim Džemaili'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 7022, 'name': 'Jesús Joaquín Fernández Sáez de la Torre'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 8180, 'name': 'Leonardo Pavoletti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3bd84ec3-8462-4312-8ea7-7f9b955a1800,3,,,3879702,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['1c005054-cf68-4266-bee3-8dadecab7f67'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1c005054-cf68-4266-bee3-8dadecab7f67,4,,,3879702,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['3bd84ec3-8462-4312-8ea7-7f9b955a1800'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,df75e295-3902-4588-b7f4-b8c2b473b520,1857,,,3879702,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,102,Genoa,233,['590e6293-7ed0-4311-b0de-072129ec2bcb'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,590e6293-7ed0-4311-b0de-072129ec2bcb,1858,,,3879702,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,102,Genoa,233,['df75e295-3902-4588-b7f4-b8c2b473b520'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.561986,,,,,,,,,,,,,36120143-b7ed-4ba8-9f65-bdf0a139313a,5,,"[60.0, 40.0]",3879702,0,,,,,1.1801893,,Right Foot,,,"[60.7, 41.7]",,Ground Pass,,1.8384776,,,,Giampaolo Pazzini,6686.0,,,,,,Kick Off,1,From Kick Off,Ante Rebić,5465.0,Left Midfield,2,Hellas Verona,226,['15c67779-742a-465e-890f-d0e46f2dcec9'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.773,Pass,
,,,,,,,,,,,,,,,,,,2.535336,,,,,,,,,,,,,957a435c-3af0-4f92-9b2e-2a6804d69653,8,,"[60.9, 41.7]",3879702,0,,,,,3.084973,,Right Foot,,,"[36.2, 43.1]",,Ground Pass,,24.739645,,,,Vangelis Moras,31488.0,,,,,,,1,From Kick Off,Giampaolo Pazzini,6686.0,Center Forward,2,Hellas Verona,226,['4d0e0c25-1587-4bb9-aff6-9414086ea829'],1,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:01.455,Pass,
,,,,,,,,,,,,,,,,,,1.855738,,,,,,,,,,,,,79c9061d-444d-4adc-820d-ef4c919873de,12,,"[38.1, 42.7]",3879702,0,,,,,-0.1536028,,Right Foot,,,"[77.5, 36.6]",,High Pass,,39.86941,,Incomplete,,Giampaolo Pazzini,6686.0,,,,,,,1,From Kick Off,Vangelis Moras,31488.0,Right Center Back,2,Hellas Verona,226,"['550b4df9-386e-487d-b06c-eacc2f8bd48d', '75688d8f-2a1e-4599-b53c-ebf32ce25070', 'a04de50b-dab5-435f-b057-5bc1f8e7e66f']",5,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:05.496,Pass,True
,,,,,,,,,,,,,,,,,,2.009049,,,,,,,,,,,,,550b4df9-386e-487d-b06c-eacc2f8bd48d,14,,"[42.6, 43.5]",3879702,0,,,,,-0.5767986,,Head,,,"[59.2, 32.7]",,High Pass,,19.80404,,,,Diego Perotti,7456.0,,,,,,Recovery,1,From Kick Off,Tomás Eduardo Rincón Hernández,7475.0,Right Defensive Midfield,2,Hellas Verona,226,"['79c9061d-444d-4adc-820d-ef4c919873de', 'cdf4d97b-14eb-43f8-b6c0-a6536b0297ee']",7,,,,,,,,,,,,,,,,,Genoa,233,00:00:07.352,Pass,
