ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.953913,,,,,,,,,,,,,b259e5e3-8775-484b-a663-c5c141e82790,15,,"[78.2, 54.5]",3879860,0,,,,,1.6468399,,Head,,,"[77.4, 65.0]",Low Pass,,10.530432,,,,Alberto Gilardino,38389.0,,,,,,1,From Kick Off,Franco Damián Vázquez,6719.0,Right Wing,2,Palermo,2256,['5683449c-300b-4aff-912a-e5c5daec525b'],9,,,,,,,,,,,,,,,,Palermo,2256,00:00:09.145,Pass,
,,,,,,,,,,,,,,,,2.137683,,,,,,,,,,,,,335f3cfc-957c-4433-96f3-bb23b8f229ba,18,,"[80.5, 66.0]",3879860,0,,,,,-0.43303135,,Right Foot,,,"[111.0, 51.9]",High Pass,,33.601486,,Incomplete,,Aleksandar Trajkovski,30512.0,,,,,,1,From Kick Off,Alberto Gilardino,38389.0,Center Forward,2,Palermo,2256,"['1be516c4-714e-46ea-a00a-e66106c26933', 'f6541f61-fd90-4f67-b924-2b2d90bf1dec']",10,,,,,,,,,,,,,,,,Palermo,2256,00:00:10.887,Pass,
,,,,,,,,,,,,,,,,1.414093,,,,,,,,,,,,,2589c8b2-17f2-4e83-b571-f00e420dd707,22,,"[12.4, 27.5]",3879860,0,,,,,-1.4090999,,Keeper Arm,,,"[14.7, 13.4]",Ground Pass,,14.286357,,,,Davide Astori,8275.0,,,,,,1,Regular Play,Anton Ciprian Tătărușanu,3112.0,Goalkeeper,3,Fiorentina,239,['055116c0-ae1a-454c-ac24-5e8ca3c3c178'],15,,,,,,,,,,,,,,,,Fiorentina,239,00:00:15.651,Pass,
,,,,,,,,,,,,,,,,1.295693,,,,,,,,,,,,,8009e4df-19bb-4879-9e39-2e33b4844dda,25,,"[22.3, 12.6]",3879860,0,,,,,-0.5695173,,Left Foot,,,"[36.2, 3.7]",Ground Pass,,16.50515,,,,Manuel Pasqual,11516.0,,,,,,1,Regular Play,Davide Astori,8275.0,Left Center Back,3,Fiorentina,239,['0575c100-df3a-4aaf-825a-5d9822e52a03'],18,,,,,,,,,,,,,,,,Fiorentina,239,00:00:18.433,Pass,
,,,,,,,,,,,,,,,,1.209399,,,,,,,,,,,,,048d46fe-9480-4337-8236-5d2cca6d5b98,28,,"[35.7, 4.0]",3879860,0,,,,,2.0644536,,Left Foot,,,"[24.4, 25.0]",Ground Pass,,23.847221,,,,Gonzalo Javier Rodríguez,25931.0,,,,,,1,Regular Play,Manuel Pasqual,11516.0,Left Back,3,Fiorentina,239,['10423336-efce-48ad-9e33-bc107672651e'],21,,,,,,,,,,,,,,,,Fiorentina,239,00:00:21.050,Pass,
,,,,,,,,,,,,,,,,1.385025,,,,,,,,,,,,,e8ccfa4f-e16f-4419-89b8-072113f0c1c3,31,,"[28.1, 28.1]",3879860,0,,,,,1.5073224,,Right Foot,,,"[29.6, 51.7]",Ground Pass,,23.647621,,,,Facundo Sebastián Roncaglia,6830.0,,,,,,1,Regular Play,Gonzalo Javier Rodríguez,25931.0,Right Center Back,3,Fiorentina,239,['6792a1b9-3cd2-4723-919f-5a09e073b3a1'],24,,,,,,,,,,,,,,,,Fiorentina,239,00:00:24.142,Pass,
,,,,,,,,,,,,,,,,1.300816,,,,,,,,,,,,,67e713a0-acc2-4b0c-86d7-07247b795986,34,,"[40.3, 55.8]",3879860,0,,,,,1.0632439,,Right Foot,,,"[50.7, 74.5]",Ground Pass,,21.39743,,,,Federico Bernardeschi,7777.0,,,,,,1,Regular Play,Facundo Sebastián Roncaglia,6830.0,Right Back,3,Fiorentina,239,['c229858a-9290-4833-bd0f-b53400adf13e'],27,,,,,,,,,,,,,,,,Fiorentina,239,00:00:27.355,Pass,
,,,,,,,,,,,,,,,,1.791939,,,,,,,,,,,,,cc83bd9b-fd03-4c37-9244-3a74499f9e3a,36,,"[43.2, 73.2]",3879860,0,,True,,,-3.047908,,Left Foot,,,"[28.3, 71.8]",Ground Pass,,14.965628,,,,Facundo Sebastián Roncaglia,6830.0,,,,,,1,Regular Play,Federico Bernardeschi,7777.0,Right Wing,3,Fiorentina,239,['9c86348f-9d5b-47d5-9ad9-ad64d1bfac56'],29,,,,,,,,,,,,,,,,Fiorentina,239,00:00:29.379,Pass,
,,,,,,,,,,,,,,,,2.403557,,,,,,,,,,,,,fb1fe1a0-1f88-4122-98a7-7ee4f80e65ff,38,,"[40.0, 60.2]",3879860,0,,,,,-1.6497983,,Right Foot,,,"[36.2, 12.2]",Ground Pass,,48.15018,,,,Davide Astori,8275.0,,True,,,,1,Regular Play,Facundo Sebastián Roncaglia,6830.0,Right Back,3,Fiorentina,239,['e6090c19-f32c-4784-b026-2a59a4d97135'],33,,,,,,,,,,,,,,,,Fiorentina,239,00:00:33.899,Pass,
,,,,,,,,,,,,,,,,2.810406,,,,,,,,,,,,,c1456ca5-4b2c-4567-a5a0-d7fafde090cc,41,,"[43.6, 10.6]",3879860,0,,,,,0.03768057,,Left Foot,,,"[94.0, 12.5]",High Pass,,50.435802,,Incomplete,,Federico Bernardeschi,7777.0,,,,,,1,Regular Play,Davide Astori,8275.0,Left Center Back,3,Fiorentina,239,"['d599132b-9a2c-46de-a8b4-54d5d9e8521a', 'e5a2189b-da18-4bee-b92e-3cdb444725d6']",37,,,,,,,,,,,,,,,,Fiorentina,239,00:00:37.965,Pass,
,,,,,,,,,,,,,,,,2.210087,,,,,,,,,,,,,d599132b-9a2c-46de-a8b4-54d5d9e8521a,43,,"[26.1, 67.6]",3879860,0,,,,,1.1711183,,Head,,,"[31.0, 79.2]",Low Pass,,12.592458,,,,Andrea Rispoli,30769.0,,,,,Recovery,1,Regular Play,Giancarlo González Castro,5584.0,Center Back,4,Palermo,2256,"['8d7cf152-a2a8-4a48-94c6-17b666c0b39e', 'c1456ca5-4b2c-4567-a5a0-d7fafde090cc']",40,,,,,,,,,,,,,,,,Palermo,2256,00:00:40.775,Pass,
,,,,,,,,,,,,,,,,1.317542,,,,,,,,,,,,,854ef6e9-9d01-4c57-a743-8e39b6e970c1,45,,"[15.0, 77.4]",3879860,0,,True,,,-2.1842563,,Right Foot,,,"[8.1, 67.6]",Ground Pass,,11.985408,,,,Giancarlo González Castro,5584.0,,,,,,1,Regular Play,Andrea Rispoli,30769.0,Right Wing Back,4,Palermo,2256,['e7313d12-ca63-4055-bc56-941aee402978'],44,,,,,,,,,,,,,,,,Palermo,2256,00:00:44.912,Pass,
,,,,,,,,,,,,,,,,1.458589,,,,,,,,,,,,,2e9d1227-969b-4f9b-997a-c749cb4f7bf0,47,,"[8.1, 67.6]",3879860,0,,,,,0.117451034,,Right Foot,,,"[42.0, 71.6]",High Pass,,34.135174,,Incomplete,,Franco Damián Vázquez,6719.0,,,,,,1,Regular Play,Giancarlo González Castro,5584.0,Center Back,4,Palermo,2256,"['3a4f1eff-3bfe-4c64-8719-1b9e991a44fa', '509b5c07-5350-4ead-8f32-7077deddc7a1']",46,,,,,,,,,,,,,,,,Palermo,2256,00:00:46.229,Pass,
,,,,,,,,,,,,,,,,1.310146,,,,,,,,,,,,,509b5c07-5350-4ead-8f32-7077deddc7a1,49,,"[78.1, 8.5]",3879860,0,,,,,0.69272757,,Head,,,"[92.8, 20.7]",Low Pass,,19.103142,,,,Josip Iličić,7139.0,,,,,Recovery,1,Regular Play,Manuel Pasqual,11516.0,Left Back,4,Palermo,2256,"['2e9d1227-969b-4f9b-997a-c749cb4f7bf0', '8d6e5555-e687-4a03-b1e4-48c88a6e932e']",47,,,,,,,,,,,,,,,,Fiorentina,239,00:00:47.688,Pass,
,,,,,,,,,,,,,,,,2.858708,,,,,,,,,,,,,59ee9608-d7b5-472f-b1dc-8931f12a498b,54,,"[34.8, 61.4]",3879860,1,,,,,0.111167684,,Right Foot,,,"[77.8, 66.2]",High Pass,,43.26708,,,,Franco Damián Vázquez,6719.0,,,,,Free Kick,1,From Free Kick,Stefano Sorrentino,7055.0,Goalkeeper,5,Palermo,2256,['b41121af-7f50-4b68-a690-f31ee60c9a09'],18,,,,,,,,,,,,,,,,Palermo,2256,00:01:18.138,Pass,
,,,,,,,,,,,,,,,,1.731959,,,,,,,,,,,,,8c1ef9c3-d1e5-4ae6-bf27-1b9ef18ac7c2,56,,"[77.8, 66.3]",3879860,1,,,,True,-1.6359215,,,,,"[76.9, 52.5]",High Pass,,13.829317,,Incomplete,,Aleksandar Trajkovski,30512.0,,,,,,1,From Free Kick,Franco Damián Vázquez,6719.0,Right Wing,5,Palermo,2256,"['0ff35f1f-fd02-4830-a892-fe1545b81247', '2c8f6502-25cd-4e40-9394-8867c6d8eaa1', '3d49c320-07f8-42ac-b40b-ece9ddfa4991']",20,,,,,,,,,,,,,,,,Palermo,2256,00:01:20.997,Pass,True
,,,,,,,,,,,,,,,,1.370653,,,,,,,,,,,,,0ff35f1f-fd02-4830-a892-fe1545b81247,59,,"[43.2, 27.6]",3879860,1,,,,,-2.896614,,Left Foot,,,"[27.6, 23.7]",Ground Pass,,16.080112,,,,Davide Astori,8275.0,,,,,Recovery,1,Regular Play,Josip Iličić,7139.0,Center Attacking Midfield,6,Fiorentina,239,"['8c1ef9c3-d1e5-4ae6-bf27-1b9ef18ac7c2', 'c4e7d35e-d453-4c9b-9232-8474671d25fa']",22,,,,,,,,,,,,,,,,Fiorentina,239,00:01:22.729,Pass,
,,,,,,,,,,,,,,,,0.694117,,,,,,,,,,,,,4b75d00f-e7c0-4dca-8a47-3cda7e1abac2,62,,"[26.8, 23.9]",3879860,1,,,,,1.3164283,,Left Foot,,,"[29.4, 33.9]",Ground Pass,,10.332473,,,,Gonzalo Javier Rodríguez,25931.0,,,,,,1,Regular Play,Davide Astori,8275.0,Left Center Back,6,Fiorentina,239,['b26681d3-3749-4051-9aa6-16c495f6afa5'],24,,,,,,,,,,,,,,,,Fiorentina,239,00:01:24.350,Pass,
,,,,,,,,,,,,,,,,1.56992,,,,,,,,,,,,,46a4a2e4-39b2-4f92-a1c8-91d7d001d264,64,,"[29.4, 33.9]",3879860,1,,,,,1.6794575,,Left Foot,,,"[27.6, 50.4]",Ground Pass,,16.59789,,,,Facundo Sebastián Roncaglia,6830.0,,,,,,1,Regular Play,Gonzalo Javier Rodríguez,25931.0,Right Center Back,6,Fiorentina,239,['c6ba7567-88c3-41d9-b16e-3eb0b6ba17ce'],25,,,,,,,,,,,,,,,,Fiorentina,239,00:01:25.044,Pass,
,,,,,,,,,,,,,,,,1.812508,,,,,,,,,,,,,9de6857e-afbd-4c7b-9edc-35613744d787,67,,"[29.3, 54.3]",3879860,1,,,,,0.68066156,,Right Foot,,,"[49.8, 70.9]",Ground Pass,,26.37821,,,,Federico Bernardeschi,7777.0,,,,,,1,Regular Play,Facundo Sebastián Roncaglia,6830.0,Right Back,6,Fiorentina,239,['96894d2a-d8f9-4056-8d3d-2a6149b301d5'],28,,,,,,,,,,,,,,,,Fiorentina,239,00:01:28.371,Pass,
,,,,,,,,,,,,,,,,1.67155,,,,,,,,,,,,,9308d757-2118-464a-a49d-f2be67b90f48,70,,"[44.3, 66.4]",3879860,1,,,,,-2.3871124,,Left Foot,,,"[29.3, 52.3]",Ground Pass,,20.586647,,,,Gonzalo Javier Rodríguez,25931.0,,,,,,1,Regular Play,Federico Bernardeschi,7777.0,Right Wing,6,Fiorentina,239,['4359f97d-959a-4365-a1e2-56fbeaaf3c0c'],31,,,,,,,,,,,,,,,,Fiorentina,239,00:01:31.642,Pass,
