50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bfdbbe57-d776-4da1-9dfe-78e7a594b0b2,1,,,,3879619,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7148, 'name': 'Mattia Perin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9940, 'name': 'Armando Izzo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7467, 'name': 'Nicolás Andrés Burdisso'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 7464, 'name': 'Cristian Daniel Ansaldi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10881, 'name': 'Diogo José Rosário Gomes Figueiras'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 93}, {'player': {'id': 7475, 'name': 'Tomás Eduardo Rincón Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 26728, 'name': 'Alberto Facundo Costa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7145, 'name': 'Darko Lazović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 8180, 'name': 'Leonardo Pavoletti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,62a1ae31-987b-4304-a61a-2816afd7dc32,2,,,,3879619,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7113, 'name': 'Simone Missiroli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 92}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,87d59711-a62a-4942-940e-d0f2a616e83c,3,,,,3879619,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['7711adb3-bcde-4b2c-863d-5f3289c917a4'],0,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7711adb3-bcde-4b2c-863d-5f3289c917a4,4,,,,3879619,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['87d59711-a62a-4942-940e-d0f2a616e83c'],0,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,True,24184517-169c-4dc7-8d26-64604ac27380,1612,,,,3879619,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,119,Genoa,233,['b10ae0ab-2af7-43ad-966e-82c1c416744d'],0,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,True,b10ae0ab-2af7-43ad-966e-82c1c416744d,1613,,,,3879619,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,119,Genoa,233,['24184517-169c-4dc7-8d26-64604ac27380'],0,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.243151,,,,,,,,,,,,,,a9c60fc8-b157-462d-97a0-03e6bb9c5e9b,5,,,"[61.0, 40.1]",3879619,0,,,,,3.041924,,Right Foot,,,"[47.0, 41.5]",,Ground Pass,,14.069826,,,,,Tomás Eduardo Rincón Hernández,7475.0,,,,,Kick Off,1,From Kick Off,Leonardo Pavoletti,8180.0,Center Forward,2,Genoa,233,['f0ce426b-d6c3-45ef-9086-38c1df11bf96'],0,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.191,Pass,
,,,,,,,,,,,,,,,,,2.146973,,,,,,,,,,,,,,80fc1991-8711-4add-a2a2-0086a30b4d6d,8,,,"[47.3, 41.5]",3879619,0,,,,,-1.710721,,Right Foot,,,"[43.3, 13.1]",,Ground Pass,,28.680307,,,,,Cristian Daniel Ansaldi,7464.0,,,,,,1,From Kick Off,Tomás Eduardo Rincón Hernández,7475.0,Right Defensive Midfield,2,Genoa,233,['fbcdfb01-c6c8-4f72-80ea-b0819772ba89'],1,,,,,,,,,,,,,,,,,,Genoa,233,00:00:01.897,Pass,
,,,,,,,,,,,,,,,,,1.484869,,,,,,,,,,,,,,f92665bc-700c-4712-8846-a10a578e2beb,11,,,"[44.1, 12.1]",3879619,0,,,,,2.232334,,Left Foot,,,"[33.2, 26.1]",,Ground Pass,,17.742886,,,,,Nicolás Andrés Burdisso,7467.0,,,,,,1,From Kick Off,Cristian Daniel Ansaldi,7464.0,Left Center Back,2,Genoa,233,['89088c07-4586-4bc5-b6ae-6077e53d863e'],5,,,,,,,,,,,,,,,,,,Genoa,233,00:00:05.972,Pass,
,,,,,,,,,,,,,,,,,1.480302,,,,,,,,,,,,,,01427a6d-38be-4113-8af3-af71f5eea32d,14,,,"[37.2, 24.3]",3879619,0,,,,,-1.076855,,Right Foot,,,"[44.9, 10.0]",,Ground Pass,,16.241306,,,,,Cristian Daniel Ansaldi,7464.0,,,,,,1,From Kick Off,Nicolás Andrés Burdisso,7467.0,Center Back,2,Genoa,233,['a6f81493-b9d7-4b8c-8643-64ac95bd7b15'],10,,,,,,,,,,,,,,,,,,Genoa,233,00:00:10.350,Pass,
