ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.560506,,,,,,,,,,,,,fa04ae73-d5e0-4d28-89da-8ae16212bc15,19,,"[83.7, 15.9]",3749465,0,,,,,-0.94897205,,Right Foot,,,,"[88.0, 9.9]",Low Pass,,7.3817344,,Incomplete,,,,,,,,,1,From Kick Off,Michael Gray,40395.0,Left Back,2,Blackburn Rovers,98,"['2aa70253-009b-418d-a59d-3e0228ffd019', '51dbf56d-cc49-40d6-93c6-16f83b80ce96']",14,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:14.150,Pass,True
,,,,,,,,,,,,True,,,,,,0.878639,,,,,,,,,,,,,51dbf56d-cc49-40d6-93c6-16f83b80ce96,20,,"[32.1, 70.2]",3749465,0,,,,,0.0,,Right Foot,,,,"[38.6, 70.2]",Ground Pass,,6.5,,,,Patrick Vieira,15515.0,,,,,Interception,1,From Counter,Gilberto Aparecido da Silva,40221.0,Right Defensive Midfield,3,Arsenal,1,"['6a9b7579-9647-429d-b0b0-998d82df32dd', 'fa04ae73-d5e0-4d28-89da-8ae16212bc15']",14,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:14.710,Pass,
,,,,,,,,,,,,,,,,,,0.90681,,,,,,,,,,,,,31f35dc4-a297-4f26-a8da-a51dc0d01cf4,24,,"[41.6, 72.8]",3749465,0,,,,,0.14189705,,Right Foot,,,,"[53.5, 74.5]",Ground Pass,,12.020815,,,,Gilberto Aparecido da Silva,40221.0,,,,,,1,From Counter,Patrick Vieira,15515.0,Left Defensive Midfield,3,Arsenal,1,"['8f7bdeab-7025-44db-afeb-1606a8c73428', 'c4c5cd25-e104-40bc-a0d0-3ff466321fdc']",16,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:16.880,Pass,True
,,,,,,,,,,,,,,,,,,1.656808,,,,,,,,,,,,,46b991e6-d88c-4c34-86e7-a5cdcb36c7e5,27,,"[72.8, 73.0]",3749465,0,,,,,-1.2908932,,Right Foot,,,,"[79.9, 48.3]",Low Pass,,25.700195,,Incomplete,,,,,,,,,1,From Counter,Gilberto Aparecido da Silva,40221.0,Right Defensive Midfield,3,Arsenal,1,['76884354-a873-4d22-9477-0a675ef8838e'],18,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:18.784,Pass,
,,,,,,,,,,,,,,,,,,0.87179,,,,,,,,,,,,,e065700f-2756-41d8-aa2b-b1c7938501e2,31,,"[42.1, 32.2]",3749465,0,,,,,-0.19955538,,Right Foot,,,,"[51.0, 30.4]",Ground Pass,,9.080198,,,,Tugay Kerimoğlu,15095.0,,,,,,1,Regular Play,Lucas Neill,40354.0,Right Back,4,Blackburn Rovers,98,"['64783441-5b5a-4dd2-b127-0dd4b45d5b59', 'b5a50996-8331-42de-87fe-335897fc5866']",21,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:21.660,Pass,True
,,,,,,,,,,,,,,,,,,0.697059,,,,,,,,,,,,,9a1e7247-f452-4bc7-a446-71fb97b455e0,33,,"[51.0, 30.4]",3749465,0,,,,,-2.428358,,Right Foot,,,,"[42.1, 22.7]",Ground Pass,,11.768602,,,,Andy Todd,40355.0,,,,,,1,Regular Play,Tugay Kerimoğlu,15095.0,Right Defensive Midfield,4,Blackburn Rovers,98,['9e8a9d69-0691-4919-ae5d-6e424d3c34e3'],22,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:22.532,Pass,
,,,,,,,,,,,,,,,,,,1.66331,,,,,,,,,,,,,24aa30a6-b3bd-4620-9b6e-9ccaf7df0b66,36,,"[47.3, 28.1]",3749465,0,,,,,-0.48915228,,Right Foot,,,,"[86.0, 7.5]",High Pass,,43.84119,,,,Matt Jansen,40396.0,,,,,,1,Regular Play,Andy Todd,40355.0,Left Center Back,4,Blackburn Rovers,98,['a2d8b576-c9b5-4bfe-82c5-0b625def7276'],25,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:25.398,Pass,
,,,,,,,,,,,,,,,,,,1.193286,,,,,,,,,,,,,9dfafb11-d853-4cde-b5f5-84367cdb1ea3,38,,"[70.9, 8.6]",3749465,0,,,,,0.4722434,,Head,,,,"[84.8, 15.7]",High Pass,,15.608331,,Incomplete,,,,,,,,,1,Regular Play,Matt Jansen,40396.0,Left Center Forward,4,Blackburn Rovers,98,['5ea09543-020f-4c97-946d-752cf7c2deab'],27,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:27.061,Pass,
,,,,,,,,,,,,,,,,,,1.710277,,,,,,,,,,,,,9d5f87cb-34c4-4285-b9a3-8a9b30c1b9f1,42,,"[57.5, 19.6]",3749465,0,,,,,-1.7154738,,Right Foot,,,,"[55.3, 4.5]",Ground Pass,,15.259423,,,,Michael Gray,40395.0,,,,,,1,Regular Play,Brett Emerton,40357.0,Left Defensive Midfield,4,Blackburn Rovers,98,['4ff31e3d-b101-4a53-8bb7-de62229bcb8b'],31,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:31.620,Pass,
,,,,,,,,,,,,,,,,,,1.042148,,,,,,,,,,,,,34bee3f2-3183-419f-8b04-a11040409b54,45,,"[68.9, 15.9]",3749465,0,,,,,2.0879643,,Left Foot,,,,"[62.7, 26.8]",Ground Pass,,12.539936,,,,Martin Andresen,40397.0,,,,,,1,Regular Play,Michael Gray,40395.0,Left Back,4,Blackburn Rovers,98,['7987cace-0182-4472-8db2-27f019f0bf3b'],37,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:37.599,Pass,
