bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,280436a1-1b6c-49b8-b8e2-cf820b6239da,1,,,3749454,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15409, 'name': 'David Seaman'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40215, 'name': 'Jihai Sun'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40220, 'name': 'David Sommeil'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 40218, 'name': 'Sylvain Distin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 24758, 'name': 'Michael Tarnat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 19636, 'name': 'Paul Bosvelt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 38552, 'name': 'Joey Barton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 38551, 'name': 'Shaun Wright-Phillips'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 40217, 'name': 'Trevor Sinclair'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 40223, 'name': 'Antoine Sibierski'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15519, 'name': 'Nicolas Anelka'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 39}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,37358f6f-00e7-45a9-be04-c5c42b521005,2,,,3749454,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 15654, 'name': 'Martin Keown'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 15512, 'name': 'Sylvain Wiltord'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,08eaaf00-7f44-4e49-bf8d-d3c41510357c,3,,,3749454,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['38d154de-2877-48db-b139-21c97a86df28'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,38d154de-2877-48db-b139-21c97a86df28,4,,,3749454,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['08eaaf00-7f44-4e49-bf8d-d3c41510357c'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,db89f564-0b52-4ad6-bc88-52d64f5f7c6a,1699,,,3749454,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,126,Manchester City,36,['0abf388c-6285-40dc-b82d-94537fe93361'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0abf388c-6285-40dc-b82d-94537fe93361,1700,,,3749454,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,126,Manchester City,36,['db89f564-0b52-4ad6-bc88-52d64f5f7c6a'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.439418,,,,,,,,,,,,,ba0b87a1-8ac5-472b-8745-a8747ea408b4,5,,"[61.0, 40.1]",3749454,0,,,,,-2.4416997,,Right Foot,,,,"[59.1, 38.5]",,Ground Pass,,2.4839485,,,Thierry Henry,15516.0,,,,,,Kick Off,1,From Kick Off,Sylvain Wiltord,15512.0,Right Center Forward,2,Arsenal,1,['e595b3a6-fa07-4bc0-8c08-2eedaa97b2ec'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.533,Pass,
,,,,,,,,,,,,,,,,2.047381,,,,,,,,,,,,,a71606af-6e55-49b0-9742-2a45b14bf3f9,8,,"[58.2, 40.4]",3749454,0,,,,,2.022867,,Right Foot,,,,"[44.7, 68.2]",,Ground Pass,,30.90453,,,Laureano Bisan-Etame Mayer,40222.0,,,,,,,1,From Kick Off,Thierry Henry,15516.0,Left Center Forward,2,Arsenal,1,['0c88e109-816d-4741-879e-d6f7ff120296'],1,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.623,Pass,
,,,,,,,,,,,,,,,,2.479426,,,,,,,,,,,,,4336d3de-1090-4dce-be30-7fb9448a5d60,11,,"[43.5, 68.8]",3749454,0,,,,,-2.3641944,,Right Foot,,,,"[24.6, 50.2]",,Ground Pass,,26.517353,,,Martin Keown,15654.0,,,,,,,1,From Kick Off,Laureano Bisan-Etame Mayer,40222.0,Right Back,2,Arsenal,1,['ecede2a4-3bdb-4119-98ee-6bea44879003'],4,,,,,,,,,,,,,,,,,Arsenal,1,00:00:04.236,Pass,
,,,,,,,,,,,,,,,,1.013427,,,,,,,,,,,,,79fc714b-551c-4f43-9960-04e7f45dc4e0,13,,"[25.5, 47.0]",3749454,0,,,,,-1.5164566,,Right Foot,,,,"[26.8, 23.1]",,Ground Pass,,23.93533,,,Kolo Habib Touré,38412.0,,,,,,,1,From Kick Off,Martin Keown,15654.0,Right Center Back,2,Arsenal,1,['5680c55a-0b93-4478-9212-54891b4c1467'],6,,,,,,,,,,,,,,,,,Arsenal,1,00:00:06.715,Pass,
,,,,,,,,,,,,,,,,1.11342,,,,,,,,,,,,,4d094c20-f62d-45e5-9634-2b942456c12e,16,,"[30.6, 21.8]",3749454,0,,,,,-1.802661,,Right Foot,,,,"[27.2, 7.4]",,Ground Pass,,14.795945,,,Ashley Cole,12529.0,,,,,,,1,From Kick Off,Kolo Habib Touré,38412.0,Left Center Back,2,Arsenal,1,['c0f2a8b1-f8b4-411e-b4e9-668543785ab8'],9,,,,,,,,,,,,,,,,,Arsenal,1,00:00:09.488,Pass,
,,,,,,,,,,,,,,,,2.559881,,,,,,,,,,,,,794fa54e-0485-4904-b5f7-9dc96da242fd,19,,"[29.6, 7.0]",3749454,0,,,,,1.7698783,,Left Foot,,,,"[22.7, 41.2]",,Ground Pass,,34.88911,,,Martin Keown,15654.0,,,,,,,1,From Kick Off,Ashley Cole,12529.0,Left Back,2,Arsenal,1,['52c00823-0a05-4e76-b1b0-44664b1ae2df'],11,,,,,,,,,,,,,,,,,Arsenal,1,00:00:11.422,Pass,
,,,,,,,,,,,,,,,,1.68982,,,,,,,,,,,,,972957ff-d1b9-4ec3-b2b6-b1c9c5feb714,22,,"[27.0, 47.7]",3749454,0,,,,,1.4493315,,Right Foot,,,,"[29.6, 69.0]",,Ground Pass,,21.4581,,,Laureano Bisan-Etame Mayer,40222.0,,,,,,,1,From Kick Off,Martin Keown,15654.0,Right Center Back,2,Arsenal,1,['cc36acac-be4a-4627-af84-bc5c24e135b8'],15,,,,,,,,,,,,,,,,,Arsenal,1,00:00:15.075,Pass,
,,,,,,,,,,,,,,,,1.071331,,,,,,,,,,,,,a4c690a2-b55a-482e-bb1b-544c4a1101a7,25,,"[39.6, 70.5]",3749454,0,,,,,0.37054408,,Right Foot,,,,"[53.5, 75.9]",,Ground Pass,,14.912076,,,Fredrik Ljungberg,15754.0,,,,,,,1,From Kick Off,Laureano Bisan-Etame Mayer,40222.0,Right Back,2,Arsenal,1,['a7e56df7-d193-45d9-99f5-d0034fa7f3ae'],19,,,,,,,,,,,,,,,,,Arsenal,1,00:00:19.648,Pass,
,,,,,,,,,,,,,,,,0.207007,,,,,,,,,,,,,12f3d34d-134a-40f0-993d-254cadbcad81,28,,"[51.2, 77.6]",3749454,0,,,,,-2.7564352,,Left Foot,,,,"[47.5, 76.1]",,Ground Pass,,3.992493,Incomplete,,Laureano Bisan-Etame Mayer,40222.0,,,,,,,1,From Kick Off,Fredrik Ljungberg,15754.0,Right Midfield,2,Arsenal,1,"['2b0c66ac-41b1-47bb-ae2f-acc3d7500c83', '30b86c39-dfb4-45db-82c5-a75c8f1d82bd']",21,,,,,,,,,,,,,,,,,Arsenal,1,00:00:21.648,Pass,
