ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8b3f7b56-a2ff-42a1-b8ea-8f5f1f4f474a,1,,,3749192,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,63ee9493-641e-4052-9dc7-bf1bf7aaea8e,2,,,3749192,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15036, 'name': 'Edwin van der Sar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40408, 'name': 'Moritz Volz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40415, 'name': 'Andy Melville'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 40413, 'name': 'Zat Knight'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 40414, 'name': 'Jérôme Bonnissel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 40412, 'name': 'Sean Davis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 38566, 'name': 'Lee Clark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40407, 'name': 'Steed Malbranque'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 40411, 'name': 'Sylvain Legwinski'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 40409, 'name': 'Junichi Inamoto'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 20505, 'name': 'Louis Saha'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Fulham,55,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,659c4a50-734b-41f7-b532-a510bba7a0e4,3,,,3749192,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['68c0544a-c180-4e5a-a680-cb2d36da8452'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,68c0544a-c180-4e5a-a680-cb2d36da8452,4,,,3749192,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['659c4a50-734b-41f7-b532-a510bba7a0e4'],0,,,,,,,,,,,,,,,,,,Fulham,55,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c45a2e76-f459-4616-b2e1-6e0f95a6897b,1734,,,3749192,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Fulham,55,['a08aea9d-0837-4789-a872-a58003f10a56'],0,,,,,,,,,,,,,,,,,,Fulham,55,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a08aea9d-0837-4789-a872-a58003f10a56,1735,,,3749192,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Fulham,55,['c45a2e76-f459-4616-b2e1-6e0f95a6897b'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.432564,,,,,,,,,,,,,038f39a0-580f-4db6-9196-502cee596ae8,5,,"[60.0, 40.0]",3749192,0,,,,,1.120135,,Left Foot,,,,"[61.5, 43.1]",Ground Pass,,3.443835,,,Dennis Bergkamp,15042.0,,,,,Kick Off,1,From Kick Off,Thierry Henry,15516.0,Left Center Forward,2,Arsenal,1,['bcc37c82-994e-40e0-98b6-3983d39c0e93'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.711,Pass,
,,,,,,,,,,,,,,,,1.238969,,,,,,,,,,,,,bd72e1f1-929b-45d6-b8a8-2f3aa5d4a524,8,,"[62.4, 43.1]",3749192,0,,,,,-2.5227056,,Right Foot,,,,"[48.5, 33.2]",Ground Pass,,17.065168,,,Eduardo César Daude Gaspar,26014.0,,,,,,1,From Kick Off,Dennis Bergkamp,15042.0,Right Center Forward,2,Arsenal,1,['76d5a7c9-f218-4322-a3d2-cbac4614a6fe'],1,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.192,Pass,
,,,,,,,,,,,,,,,,2.039105,,,,,,,,,,,,,c591034f-3d8f-4718-bb8e-cdb6b157c063,11,,"[48.5, 33.2]",3749192,0,,,,,-1.3184528,,Left Foot,,,,"[55.9, 4.5]",Ground Pass,,29.638657,,,Robert Pirès,19312.0,,,,,,1,From Kick Off,Eduardo César Daude Gaspar,26014.0,Left Defensive Midfield,2,Arsenal,1,['2134b3f7-6e34-4940-ba58-f76a171567e9'],3,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:03.403,Pass,
,,,,,,,,,,,,,,,,1.489464,,,,,,,,,,,,,88f9a58b-723a-49ab-b509-5aed86a29ceb,15,,"[54.7, 8.6]",3749192,0,,,,,2.5256562,,Right Foot,,,,"[39.3, 19.5]",Ground Pass,,18.867167,,,Pascal Cygan,26194.0,,,,,,1,From Kick Off,Robert Pirès,19312.0,Left Midfield,2,Arsenal,1,['7bdd2457-8d52-42ad-b271-ea6fc4019fbc'],6,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:06.434,Pass,
