ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,faf6e4df-165e-4e5d-bf1f-b9c22babb867,1,,,3749434,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City,54,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 40292, 'name': 'Maik Taylor'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 40293, 'name': 'Damien Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40296, 'name': 'Kenny Cunningham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 40300, 'name': 'Matthew Upson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 40298, 'name': 'Jamie Clapham'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 40303, 'name': 'Aliou Cissé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 40290, 'name': 'Robbie Savage'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 40297, 'name': 'Stephen Clemence'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 0}, {'player': {'id': 40302, 'name': 'David Dunn'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 0}, {'player': {'id': 40295, 'name': 'Stan Lazaridis'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 0}, {'player': {'id': 40301, 'name': 'Mikael Forssell'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 0}]}",Birmingham City,54,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,42429c8b-a2d5-48e9-a585-20d7ddb03217,2,,,3749434,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City,54,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 20302, 'name': 'Gaël Clichy'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,095c0400-b153-4c88-b263-97c98aabdeff,3,,,3749434,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City,54,['f8cd8f5e-a300-4dbe-8920-92b17b99234b'],0,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f8cd8f5e-a300-4dbe-8920-92b17b99234b,4,,,3749434,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City,54,['095c0400-b153-4c88-b263-97c98aabdeff'],0,,,,,,,,,,,,,,,,Birmingham City,54,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d520f4ca-1ab3-43c4-b44d-795f332e776f,1835,,,3749434,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,110,Arsenal,1,['9750c203-ef6e-45ce-bb15-f8af3b4fce98'],0,,,,,,,,,,,,,,,,Birmingham City,54,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9750c203-ef6e-45ce-bb15-f8af3b4fce98,1836,,,3749434,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,110,Arsenal,1,['d520f4ca-1ab3-43c4-b44d-795f332e776f'],0,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.438912,,,,,,,,,,,,,,ec727d68-7679-449f-8dc6-dd849717172a,5,,"[60.0, 40.0]",3749434,0,,,,,1.5120405,,Right Foot,,,,"[60.1, 41.7]",,Ground Pass,,1.7029387,,,Aliou Cissé,40303.0,,,,,,Kick Off,1,From Kick Off,David Dunn,40302.0,Center Attacking Midfield,2,Birmingham City,54,['6351a56b-b67f-4123-b714-1ab691554a8b'],0,,,,,,,,,,,,,,,,Birmingham City,54,00:00:00.264,Pass,
,,,,,,,,,,,,,,,,1.21598,,,,,,,,,,,,,,ad69109b-d14a-4a72-ade5-bc5c73858abe,8,,"[59.5, 40.8]",3749434,0,,,,,-3.0118902,,Right Foot,,,,"[52.6, 39.9]",,Ground Pass,,6.958448,,,Robbie Savage,40290.0,,,,,,,1,From Kick Off,Aliou Cissé,40303.0,Right Center Midfield,2,Birmingham City,54,['28619a41-bc0c-4c4c-9715-5373bf493576'],1,,,,,,,,,,,,,,,,Birmingham City,54,00:00:01.237,Pass,
,,,,,,,,,,,,,,,,3.495979,,,,,,,,,,,,,,c9a5a923-24d2-447b-8435-ea4449a1af0a,11,,"[53.6, 39.2]",3749434,0,,,,,-0.51992613,,Right Foot,,,,"[95.0, 15.5]",,High Pass,,47.703773,,Incomplete,Jamie Clapham,40298.0,,,,,,,1,From Kick Off,Robbie Savage,40290.0,Left Center Midfield,2,Birmingham City,54,"['2182bc7f-9597-4f99-88c9-d49ab24bc1cf', '6eee232b-db54-44f1-9e4f-f553cb00ffc0', '7d099d70-c685-402d-9925-aac57f478b8f']",2,,,,,,,,,,,,,,,,Birmingham City,54,00:00:02.453,Pass,True
,,,,,,,,,,,,,,,,2.140097,,,,,,,,,,,,,,6eee232b-db54-44f1-9e4f-f553cb00ffc0,14,,"[25.1, 64.6]",3749434,0,,,,,0.009132166,,Head,,,,"[47.0, 64.8]",,High Pass,,21.900913,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Kolo Habib Touré,38412.0,Right Back,2,Birmingham City,54,"['4436ee02-1e00-433f-8f3f-db3d819569b1', 'c9a5a923-24d2-447b-8435-ea4449a1af0a']",5,,,,,,,,,,,,,,,,Arsenal,1,00:00:05.949,Pass,
