ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6342e663-c61e-4cae-b036-d24e5768cfbd,1,,,3749358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Middlesbrough,47,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 40322, 'name': 'Mark Schwarzer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40402, 'name': 'Stuart Parnaby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 40330, 'name': 'Chris Riggott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 15403, 'name': 'Gareth Southgate'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 40405, 'name': 'Colin Cooper'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 40324, 'name': 'George Boateng'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 40329, 'name': 'Dorival Guidoni Júnior'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 40331, 'name': 'Oswaldo Giroldo Júnior'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 40404, 'name': 'Alan Wright'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 40403, 'name': 'Malcolm Christie'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 40327, 'name': 'Szilárd Németh'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 8}]}",Middlesbrough,47,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,78179c77-25d0-4841-8a0e-4b7f6fec2ed2,2,,,3749358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Middlesbrough,47,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15512, 'name': 'Sylvain Wiltord'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1494bb0b-01bb-4724-97a4-e64863a4a084,3,,,3749358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Middlesbrough,47,['cc66a506-ee47-466c-82f8-d49aaaa5e128'],0,,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cc66a506-ee47-466c-82f8-d49aaaa5e128,4,,,3749358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Middlesbrough,47,['1494bb0b-01bb-4724-97a4-e64863a4a084'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,303137d0-c03e-46ec-bcff-d6de1b38b4cc,1980,,,3749358,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,106,Arsenal,1,['95a8ccec-1896-4c0c-8037-e8dae7ee1002'],0,,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,95a8ccec-1896-4c0c-8037-e8dae7ee1002,1981,,,3749358,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,106,Arsenal,1,['303137d0-c03e-46ec-bcff-d6de1b38b4cc'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.43345,,,,,,,,,,,,,,279beaf0-9f18-4507-ac15-a9ff2a97a0e2,5,,"[60.0, 40.0]",3749358,0,,,,,0.9342881,,Right Foot,,,"[61.7, 42.3]",,Ground Pass,,2.86007,,,,,Szilárd Németh,40327.0,,,,,,Kick Off,1,From Kick Off,Malcolm Christie,40403.0,Right Center Forward,2,Middlesbrough,47,['cbea2adf-68dd-4820-b678-6f599e75db2b'],0,,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:00.403,Pass,
,,,,,,,,,,,,,,,0.836822,,,,,,,,,,,,,,7083033c-1a99-4306-8295-511dd92062f5,7,,"[62.5, 41.9]",3749358,0,,,,,-2.9732025,,Right Foot,,,"[52.5, 40.2]",,Ground Pass,,10.143471,,,,,George Boateng,40324.0,,,,,,,1,From Kick Off,Szilárd Németh,40327.0,Left Center Forward,2,Middlesbrough,47,['636b2b89-3a0f-49cb-b4c4-909a2a1e37cf'],0,,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:00.837,Pass,
,,,,,,,,,,,,,,,1.801878,,,,,,,,,,,,,,9148dfb6-46b6-4984-8313-491e6d812db1,10,,"[53.4, 38.1]",3749358,0,,,,,-1.8003541,,Right Foot,,,"[46.6, 9.0]",,Ground Pass,,29.883942,,,,,Colin Cooper,40405.0,,,,,,,1,From Kick Off,George Boateng,40324.0,Right Defensive Midfield,2,Middlesbrough,47,['99d3ae30-35b6-4d2f-b69b-758f6b5e91ec'],2,,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:02.851,Pass,
,,,,,,,,,,,,,,,1.136257,,,,,,,,,,,,,,76e8a2a2-d58f-44b7-99cf-90c1b0a54194,13,,"[46.8, 11.4]",3749358,0,,,,,-1.0153025,,Right Foot,,,"[52.2, 2.7]",,Ground Pass,,10.239629,,,,,Alan Wright,40404.0,,,,,,,1,From Kick Off,Colin Cooper,40405.0,Left Back,2,Middlesbrough,47,['2f1ce6bc-5ab4-4621-8c19-5d91c0136a84'],5,,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:05.227,Pass,
