bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5a31a73b-1ddf-407e-9261-bd449192fd8a,1,,,,3749552,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 15402, 'name': 'Gary Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20171, 'name': 'Rio Ferdinand'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 20341, 'name': 'Mikaël Silvestre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 24805, 'name': 'Roy Keane'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15660, 'name': 'Phil Neville'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 40246, 'name': 'Quinton Fortune Kolobea'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 0}, {'player': {'id': 20175, 'name': 'Ryan Giggs'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 0}, {'player': {'id': 19729, 'name': 'Ruud van Nistelrooy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 0}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c5ba9327-71f6-4d86-8c59-b456d8bc9c66,2,,,,3749552,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 15654, 'name': 'Martin Keown'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,693e2045-55ad-4c95-aa13-3974f777af20,3,,,,3749552,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['14ed6484-d558-4871-aacf-468a18ccc579'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,14ed6484-d558-4871-aacf-468a18ccc579,4,,,,3749552,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['693e2045-55ad-4c95-aa13-3974f777af20'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d0deb98b-8a4f-46f8-bb3c-887b8bda532b,1822,,,,3749552,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,128,Arsenal,1,['641277af-e73b-44b0-962f-f3d36afb3d34'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,641277af-e73b-44b0-962f-f3d36afb3d34,1823,,,,3749552,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,128,Arsenal,1,['d0deb98b-8a4f-46f8-bb3c-887b8bda532b'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.598281,,,,,,,,,,,,,,,bd64b563-c1d9-4420-bb96-4459b35a6f12,5,,,"[61.0, 40.1]",3749552,0,,,,1.7590178,,Left Foot,,,,"[60.6, 42.2]",Ground Pass,2.1377559,,,,Ruud van Nistelrooy,19729.0,,,,,,Kick Off,1,From Kick Off,Ryan Giggs,20175.0,Left Attacking Midfield,2,Manchester United,39,['76ec4a89-0c2a-4a6e-b208-cf28d35fdbb5'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.535,Pass,
,,,,,,,,,,,,,,,1.050289,,,,,,,,,,,,,,,4ca59a6d-f1f8-4899-a57c-66e800e30826,8,,,"[61.7, 42.4]",3749552,0,,,,-3.0535853,,Right Foot,,,,"[54.9, 41.8]",Ground Pass,6.8264194,,,,Roy Keane,24805.0,,,,,,,1,From Kick Off,Ruud van Nistelrooy,19729.0,Center Forward,2,Manchester United,39,['b4600fbb-c2c7-4d8f-a3c9-75f13b03df13'],1,,,,,,,,,,,,,,,,,Manchester United,39,00:00:01.173,Pass,
,,,,,,,,,,,,,,,0.800205,,,,,,,,,,,,,,,b9d1f283-7ed7-4284-8a37-5df5e7a8eca3,11,,,"[58.8, 41.1]",3749552,0,,,,-0.9034902,,Right Foot,,,,"[69.2, 27.9]",Low Pass,16.804762,,,,Ryan Giggs,20175.0,,,,,,,1,From Kick Off,Roy Keane,24805.0,Center Defensive Midfield,2,Manchester United,39,['088cdc9f-4a55-4b20-9fd7-8b7a9800cbdc'],3,,,,,,,,,,,,,,,,,Manchester United,39,00:00:03.663,Pass,
,,,,,,,,,,,,,,,0.122279,,,,,,,,,,,,,,,927ddddc-8aa2-4eb2-9a17-0c58890b8c11,15,,,"[71.0, 32.4]",3749552,0,,,,1.3825748,,Right Foot,,,,"[71.4, 34.5]",Ground Pass,2.1377559,,Incomplete,,Ruud van Nistelrooy,19729.0,,,,,,,1,From Kick Off,Ryan Giggs,20175.0,Left Attacking Midfield,2,Manchester United,39,"['0ecaf4a6-6a1f-45f5-ad5d-4bc509868565', '684eea98-d4d0-4e45-93cc-02261a7c0188']",7,,,,,,,,,,,,,,,,,Manchester United,39,00:00:07.328,Pass,
