ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.263062,,,,,,,,,,,,,,1fd5666d-48e9-47d8-b119-c35f34db9f58,18,,"[50.1, 21.0]",3749403,0,,,,,-1.0149255,,Left Foot,,,,"[62.4, 1.2]",,Ground Pass,,23.30944,,,,Robert Pirès,19312.0,,,,,,1,From Kick Off,Eduardo César Daude Gaspar,26014.0,Left Defensive Midfield,2,Arsenal,1,['57484f41-acb2-4337-8a14-d32535a9f97d'],6,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:06.794,Pass,
,,,,,,,,,,,,,,,1.481145,,,,,,,,,,,,,,29a95175-f8b2-454f-bebc-c09cde3542db,22,,"[61.9, 1.0]",3749403,0,,,,,3.127509,,Right Foot,,,,"[47.7, 1.2]",,Ground Pass,,14.201408,,,,Ashley Cole,12529.0,,,,,,1,From Kick Off,Robert Pirès,19312.0,Left Midfield,2,Arsenal,1,"['bf448169-b21a-4981-9199-d0fa17633312', 'c5693b38-7eb4-4e5d-8556-34fdd41cf518']",8,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:08.164,Pass,True
,,,,,,,,,,,,,,,1.386216,,,,,,,,,,,,,,d41279c1-d5fd-47bd-aa19-a6a84508f9cf,26,,"[47.7, 1.4]",3749403,0,,,,,2.252567,,Left Foot,,,,"[42.1, 8.3]",,Ground Pass,,8.886507,,,,Sulzeer Jeremiah ''Sol' Campbell,15637.0,,,,,,1,From Kick Off,Ashley Cole,12529.0,Left Back,2,Arsenal,1,"['5a5ceac7-8378-4025-9494-43f6819ab10d', 'b68315c4-8caa-42c8-9b38-ab0bd14caed1']",9,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:09.725,Pass,True
,,,,,,,,,,,,,,,0.977254,,,,,,,,,,,,,,7ac03cbf-0c08-4e96-b60a-3b9a3176814e,30,,"[40.1, 13.9]",3749403,0,,,,,1.7975951,,Right Foot,,,,"[33.8, 41.2]",,Low Pass,,28.017494,,,,Kolo Habib Touré,38412.0,,,,,,1,From Kick Off,Sulzeer Jeremiah ''Sol' Campbell,15637.0,Left Center Back,2,Arsenal,1,['b355276e-ae72-417c-894a-bbb6f5563de0'],11,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:11.968,Pass,
,,,,,,,,,,,,,,,0.945112,,,,,,,,,,,,,,ced296f6-02b0-4700-9358-77d158ed9e9a,34,,"[38.7, 38.5]",3749403,0,,,,,0.5290767,,Right Foot,,,,"[63.5, 53.0]",,Ground Pass,,28.727861,,,,Patrick Vieira,15515.0,,,,,,1,From Kick Off,Kolo Habib Touré,38412.0,Right Center Back,2,Arsenal,1,['96a45843-64f2-4539-a556-768ab331c663'],14,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:14.332,Pass,
,,,,,,,,,,,,,,,1.503766,,,,,,,,,,,,,,3ed9b1ca-c1e4-4e75-a6b0-32b5585c6ab9,41,,"[62.8, 25.5]",3749403,0,,,,,-0.9272952,,Right Foot,,,,"[77.2, 6.3]",,Low Pass,,24.0,,Incomplete,,,,,,,,,1,From Kick Off,Patrick Vieira,15515.0,Right Defensive Midfield,2,Arsenal,1,['869c8392-539c-448e-a41b-c38e7097f40a'],23,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:23.307,Pass,
,,,,,,,,,,,,,,,1.688517,,,,,,,,,,,,,,869c8392-539c-448e-a41b-c38e7097f40a,42,,"[42.9, 73.8]",3749403,0,,,,,-1.784857,,Right Foot,,,,"[40.9, 64.6]",,Ground Pass,,9.414882,,,,"Bruno N""Gotty",40393.0,,,,,Recovery,1,Regular Play,Nicky Hunt,9353.0,Right Back,3,Bolton Wanderers,328,"['3ed9b1ca-c1e4-4e75-a6b0-32b5585c6ab9', '8bc2a69e-0b42-4866-acd2-8eeb827fc619']",24,,,,,,,,,,,,,,,,,,Bolton Wanderers,328,00:00:24.811,Pass,
,,,,,,,,,,,,,,,2.082524,,,,,,,,,,,,,,d23ed197-948a-4f17-9950-6083e4d6e28d,45,,"[40.9, 64.6]",3749403,0,,,,,-2.7085867,,Right Foot,,,,"[9.1, 49.9]",,Ground Pass,,35.03327,,,,Jussi Jääskeläinen,40385.0,,,,,,1,Regular Play,"Bruno N""Gotty",40393.0,Right Center Back,3,Bolton Wanderers,328,['0af4dafa-b54b-4bf4-b887-210fd4be44fe'],26,,,,,,,,,,,,,,,,,,Bolton Wanderers,328,00:00:26.562,Pass,
,,,,,,,,,,,,,,,5.902638,,,,,,,,,,,,,,6a4c379c-157d-4253-bc1a-189a337cde8c,48,,"[9.1, 49.9]",3749403,0,,,,,-0.2758059,,Right Foot,,,,"[99.2, 24.4]",,High Pass,,93.638985,,Incomplete,,,,,,,,,1,Regular Play,Jussi Jääskeläinen,40385.0,Goalkeeper,3,Bolton Wanderers,328,['6c7c98d1-0d41-41f3-b6ee-f45c40dfc592'],28,,,,,,,,,,,,,,,,,,Bolton Wanderers,328,00:00:28.725,Pass,
,,,,,,,,,,,,,,,2.092819,,,,,,,,,,,,,,8a741ab6-beda-42a9-bfc2-50694116f5c1,51,,"[20.9, 55.7]",3749403,0,,,,,-1.204402,,Right Foot,,,,"[27.5, 38.5]",,Ground Pass,,18.422812,,,,Sulzeer Jeremiah ''Sol' Campbell,15637.0,,,,,,1,Regular Play,Kolo Habib Touré,38412.0,Right Center Back,4,Arsenal,1,['0db1e601-4b3a-4761-983f-7d8685f70fd8'],36,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:36.417,Pass,
