ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,57487276-062a-4520-bb92-e6cec0b1ab9a,1,,,3749453,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 20302, 'name': 'Gaël Clichy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 15512, 'name': 'Sylvain Wiltord'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a74a9d07-18d0-4118-9bc8-26b220efd927,2,,,3749453,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 40132, 'name': 'Paul Robinson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40270, 'name': 'Gary Oliver Kelly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40370, 'name': 'Lucas Radebe'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40369, 'name': 'Steven Caldwell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 40368, 'name': 'Ian Harte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26649, 'name': 'Jermaine Pennant'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 40371, 'name': 'Michael Duberry'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 39847, 'name': 'Dominic Matteo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 38}, {'player': {'id': 40373, 'name': 'Mark Viduka'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 40267, 'name': 'Alan Smith'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Leeds United,101,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2caef0c8-ca57-4ce8-824f-e479598716c0,3,,,3749453,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['0ebcea95-e27b-485e-ac1a-cf76e344a7df'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0ebcea95-e27b-485e-ac1a-cf76e344a7df,4,,,3749453,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['2caef0c8-ca57-4ce8-824f-e479598716c0'],0,,,,,,,,,,,,,,,,,,Leeds United,101,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bb2e06f4-758a-463d-8953-ae9b456e6a0d,1695,,,3749453,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,104,Arsenal,1,['e65a8201-a7f5-4959-a3db-70c5734dcfd1'],0,,,,,,,,,,,,,,,,,,Leeds United,101,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e65a8201-a7f5-4959-a3db-70c5734dcfd1,1696,,,3749453,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,104,Arsenal,1,['bb2e06f4-758a-463d-8953-ae9b456e6a0d'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.864642,,,,,,,,,,,,,5576bd85-fdd1-4c9d-80a4-5d94dfd343d9,5,,"[61.0, 40.1]",3749453,0,,,,,1.7033478,,Right Foot,,,"[60.4, 44.6]",,Ground Pass,,4.539824,,,,Mark Viduka,40373.0,,,,,,Kick Off,1,From Kick Off,Alan Smith,40267.0,Left Center Forward,2,Leeds United,101,['9a47ffc6-7773-49ab-9873-c610f1071730'],0,,,,,,,,,,,,,,,,,,Leeds United,101,00:00:00.096,Pass,
,,,,,,,,,,,,,,,1.748827,,,,,,,,,,,,,36110d3c-e05f-43c8-bee9-e90bcd07eeca,8,,"[56.4, 46.8]",3749453,0,,,,,2.0018775,,Right Foot,,,"[43.2, 75.5]",,Ground Pass,,31.59003,,,,Jermaine Pennant,26649.0,,,,,,,1,From Kick Off,Mark Viduka,40373.0,Right Center Forward,2,Leeds United,101,['cb569e35-c26e-4de2-8a9d-65649328ca80'],2,,,,,,,,,,,,,,,,,,Leeds United,101,00:00:02.734,Pass,
,,,,,,,,,,,,,,,4.083044,,,,,,,,,,,,,c1193467-3b42-462d-9621-01a97b8ccf8d,11,,"[43.8, 77.2]",3749453,0,,,,,-0.33462158,,Right Foot,,,"[111.1, 53.8]",,High Pass,,71.252014,,Incomplete,,,,,,,,,,1,From Kick Off,Jermaine Pennant,26649.0,Right Midfield,2,Leeds United,101,['36fb4c8f-ee66-48ee-9bbc-81c8fd70d21a'],6,,,,,,,,,,,,,,,,,,Leeds United,101,00:00:06.890,Pass,
,,,,,,,,,,,,,,,0.181381,,,,,,,,,,,,,34484b08-9ab3-4737-8d03-32b828556751,14,,"[9.0, 32.7]",3749453,0,,,,,-0.62195694,,Keeper Arm,,,"[25.6, 20.8]",,Low Pass,,20.42474,,,,Gaël Clichy,20302.0,,,,,,,1,Regular Play,Jens Lehmann,20015.0,Goalkeeper,3,Arsenal,1,['eef1c446-6601-442a-b6af-722849297db4'],15,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:15.523,Pass,
