50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9fb355ea-f045-4727-81aa-3ba0ac1e8478,1,,,,3749274,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portsmouth,105,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 38403, 'name': 'Shaka Hislop'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 376517, 'name': 'John Curtis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 40339, 'name': 'Arjan de Zeeuw'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 40340, 'name': 'Dejan Stefanovic'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 4357, 'name': 'Matthew Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 40343, 'name': 'Amdy Moustapha Faye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 40338, 'name': 'Nigel Quashie'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 15505, 'name': 'Steve Stone'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 376516, 'name': 'Richard Hughes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 40337, 'name': 'Yakubu Aiyegbeni'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 376518, 'name': 'Trésor Lomana LuaLua'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 32}]}",Portsmouth,105,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,14aaf3af-d212-4c38-9d1f-951b50cad37a,2,,,,3749274,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portsmouth,105,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 376521, 'name': 'David Bentley'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 37}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,87501f72-48ba-4e93-a6f1-bb1bd68aaf29,3,,,,3749274,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portsmouth,105,['25d79414-9533-44b0-8a15-bf1596bf917b'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,25d79414-9533-44b0-8a15-bf1596bf917b,4,,,,3749274,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portsmouth,105,['87501f72-48ba-4e93-a6f1-bb1bd68aaf29'],0,,,,,,,,,,,,,,,,,,Portsmouth,105,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4754308a-e301-472a-92f7-2f8057f8388c,1870,,,,3749274,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,119,Arsenal,1,['081a94b5-5663-4022-8c7f-d6792d026929'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,081a94b5-5663-4022-8c7f-d6792d026929,1871,,,,3749274,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,119,Arsenal,1,['4754308a-e301-472a-92f7-2f8057f8388c'],0,,,,,,,,,,,,,,,,,,Portsmouth,105,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.481484,,,,,,,,,,,,,,9bd69a8b-64ed-4f4b-af12-18b196dee8ba,5,,,"[61.0, 40.1]",3749274,0,,,,,1.6233793,,Left Foot,,,,"[60.9, 42.0]",Ground Pass,,1.9026297,,,,Nigel Quashie,40338.0,,,,,Kick Off,1,From Kick Off,Richard Hughes,376516.0,Left Midfield,2,Portsmouth,105,['dde5e444-afdb-48fc-ad4c-a3d4a61f82c7'],0,,,,,,,,,,,,,,,,,,Portsmouth,105,00:00:00.715,Pass,
,,,,,,,,,,,,,,,,,,2.113175,,,,,,,,,,,,,,8696d02d-fd6f-456e-a9c0-7ad1a06ed6c4,8,,,"[58.9, 44.0]",3749274,0,,,,,-2.5452828,,Right Foot,,,,"[36.8, 29.0]",Ground Pass,,26.709736,,,,Dejan Stefanovic,40340.0,,,,,,1,From Kick Off,Nigel Quashie,40338.0,Left Defensive Midfield,2,Portsmouth,105,['02fcb779-5304-4906-a3cf-0df2b88c4704'],1,,,,,,,,,,,,,,,,,,Portsmouth,105,00:00:01.276,Pass,
,,,,,,,,,,,,,,,,,,2.488756,,,,,,,,,,,,,,e9e30282-40dc-4baf-904a-3b75c0674351,11,,,"[38.8, 30.6]",3749274,0,,,,,0.58084625,,Left Foot,,,,"[87.4, 62.5]",High Pass,,58.134068,,Incomplete,,Steve Stone,15505.0,,,,,,1,From Kick Off,Dejan Stefanovic,40340.0,Left Center Back,2,Portsmouth,105,"['59444f2b-4f3f-4bb0-82fc-d3f88c2484c1', '93cd2b36-1c3d-4a1a-8578-550b85721141']",4,,,,,,,,,,,,,,,,,,Portsmouth,105,00:00:04.513,Pass,
,,,,,,,,,,,,,,,,,,1.78045,,,,,,,,,,,,,,93cd2b36-1c3d-4a1a-8578-550b85721141,13,,,"[32.7, 17.6]",3749274,0,,,,,0.4655781,,Head,,,,"[53.4, 28.0]",Low Pass,,23.165707,,Incomplete,,Patrick Vieira,15515.0,,,,,Interception,1,From Kick Off,Ashley Cole,12529.0,Left Back,2,Portsmouth,105,"['9aa47c1d-286f-4c00-99ed-3e58da0283a9', 'bdedcc4a-e747-441f-b6c6-66c1592239a9', 'e9e30282-40dc-4baf-904a-3b75c0674351']",7,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:07.001,Pass,
,,,,,,,,,,,,,,,,,,0.963722,,,,,,,,,,,,,,bdedcc4a-e747-441f-b6c6-66c1592239a9,15,,,"[66.7, 52.1]",3749274,0,,,,,0.6682894,,Right Foot,,,,"[78.1, 61.1]",Low Pass,,14.524462,,Incomplete,,Steve Stone,15505.0,,,,,Recovery,1,From Kick Off,Nigel Quashie,40338.0,Left Defensive Midfield,2,Portsmouth,105,"['00af5839-6180-4211-8347-c452142ea987', '93cd2b36-1c3d-4a1a-8578-550b85721141', 'ede6d0bf-0c1d-4dca-b4f8-afc2c48c1bd7']",8,,,,,,,,,,,,,,,,,,Portsmouth,105,00:00:08.782,Pass,
,,,,,,,,,,,,,,,,,,0.974609,,,,,,,,,,,,,,f5c34c4e-04c5-4b81-89c0-3dabd1773eab,18,,,"[37.3, 14.6]",3749274,0,,,,,1.4793851,,Left Foot,,,,"[38.4, 26.6]",Ground Pass,,12.050311,,,,Ray Parlour,24972.0,,,,,Recovery,1,Regular Play,Ashley Cole,12529.0,Left Back,3,Arsenal,1,['24c828bb-0bb7-44cd-b233-fe61157eb216'],11,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:11.270,Pass,
,,,,,,,,,,,,,,,,,,2.075588,,,,,,,,,,,,,,2169cef2-a642-4001-937c-fd8c6deaf03c,21,,,"[45.4, 31.1]",3749274,0,,,,,1.29174,,Right Foot,,,,"[55.4, 66.0]",Ground Pass,,36.30441,,,,David Bentley,376521.0,,,,,,1,Regular Play,Ray Parlour,24972.0,Right Defensive Midfield,3,Arsenal,1,['8d920301-696a-4ead-91a0-b23a4c6c194a'],13,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:13.737,Pass,
,,,,,,,,,,,,,,,,,,0.979422,,,,,,,,,,,,,,d47911f9-efc2-4be1-99fb-8f7dbbf3bb2d,24,,,"[68.9, 68.0]",3749274,0,,,,,-1.670465,,Right Foot,,,,"[67.9, 58.0]",Ground Pass,,10.049875,,,,Thierry Henry,15516.0,,,,,,1,Regular Play,David Bentley,376521.0,Right Midfield,3,Arsenal,1,['dfa548dc-0265-4a92-b732-2b20b5a8d5e4'],17,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:17.314,Pass,
,,,,,,,,,,,,,,,,,,1.117995,,,,,,,,,,,,,,19fdca08-212c-4b1e-a7cd-1d010a72ec80,35,,,"[73.1, 53.5]",3749274,0,,,,,-1.677532,,Right Foot,,,,"[72.5, 47.9]",Ground Pass,,5.632051,,,,Ray Parlour,24972.0,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Center Forward,3,Arsenal,1,['41c9f64e-affc-4aef-85fc-46e2b8b0ed77'],23,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:23.387,Pass,
