ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4b714d09-0969-4929-b32d-d84436c940f0,1,,,,3749431,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20446, 'name': 'Shay Given'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20059, 'name': 'Aaron Hughes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 40225, 'name': 'Andy O""Brien'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 38418, 'name': 'Jonathan Woodgate'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 40233, 'name': 'Olivier Bernard'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 35}, {'player': {'id': 40234, 'name': 'Jermaine Jenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 24799, 'name': 'Gary Speed'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 40229, 'name': 'Darren Ambrose'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 40227, 'name': 'Laurent Robert'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 32}, {'player': {'id': 40226, 'name': 'Craig Bellamy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 40231, 'name': 'Alan Shearer'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7244b52b-51c9-4563-8446-5082da544a7d,2,,,,3749431,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15512, 'name': 'Sylvain Wiltord'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3ad2367d-cd46-4b9f-a544-6d8dd84e4344,3,,,,3749431,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['1db1008a-9371-4541-b0db-783d10f4b1cf'],0,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1db1008a-9371-4541-b0db-783d10f4b1cf,4,,,,3749431,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['3ad2367d-cd46-4b9f-a544-6d8dd84e4344'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4b6fd19f-5c94-4d9a-b74d-10926f0a9d2e,1747,,,,3749431,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,110,Arsenal,1,['11088deb-212b-4b3a-a882-81a5d0e52fa0'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,11088deb-212b-4b3a-a882-81a5d0e52fa0,1748,,,,3749431,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,110,Arsenal,1,['4b6fd19f-5c94-4d9a-b74d-10926f0a9d2e'],0,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.970695,,,,,,,,,,,,,1cb97ac4-e271-40ac-97d7-9b0cda9c0576,5,,,"[60.0, 40.0]",3749431,0,,,,,2.3561945,,Right Foot,,,,"[59.1, 40.9]",Ground Pass,,1.2727922,,,,Craig Bellamy,40226.0,,,,,Kick Off,1,From Kick Off,Jermaine Jenas,40234.0,Right Defensive Midfield,2,Newcastle United,37,['5d9e38a3-9355-4436-8493-86210fe8d01a'],0,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.100,Pass,
,,,,,,,,,,,,,,,1.129035,,,,,,,,,,,,,5980c967-af19-4a2f-9182-c35d8074a8e7,8,,,"[58.6, 41.3]",3749431,0,,,,,-2.4329665,,Right Foot,,,,"[55.1, 38.3]",Ground Pass,,4.609772,,,,Gary Speed,24799.0,,,,,,1,From Kick Off,Craig Bellamy,40226.0,Right Center Forward,2,Newcastle United,37,['f4d8e4b9-91be-4315-9223-9e8d7e403bd6'],1,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:01.110,Pass,
,,,,,,,,,,,,,,,2.498081,,,,,,,,,,,,,70d3c518-e88d-4b49-a372-11127142e1d2,10,,,"[55.1, 38.3]",3749431,0,,,,,-1.0295393,,Right Foot,,,,"[76.2, 3.2]",High Pass,,40.953876,,,,Laurent Robert,40227.0,,,,,,1,From Kick Off,Gary Speed,24799.0,Left Defensive Midfield,2,Newcastle United,37,['6545ac2f-00b6-4557-b992-67be412d9c23'],2,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:02.239,Pass,
,,,,,,,,,,,,,,,1.718789,,,,,,,,,,,,,cd119ba8-9149-41de-8301-f3c27bd89e74,12,,,"[76.2, 3.2]",3749431,0,,,,True,1.4004213,,,,,,"[81.0, 31.1]",High Pass,,28.309893,,Incomplete,,Craig Bellamy,40226.0,,,,,,1,From Kick Off,Laurent Robert,40227.0,Left Midfield,2,Newcastle United,37,"['32552e93-97ff-41e1-bd6e-a64d9fe07101', '45df9168-e749-45c4-a884-c6922b6ae5e5', 'da5ad488-2325-4cf5-9a39-e3dedfd87932']",4,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:04.777,Pass,True
,,,,,,,,,,,,,,,2.952425,,,,,,,,,,,,,32552e93-97ff-41e1-bd6e-a64d9fe07101,15,,,"[39.1, 49.0]",3749431,0,,,,,-0.09966865,,Head,,,,"[66.1, 46.3]",High Pass,,27.134665,,Incomplete,,José Antonio Reyes Calderón,23816.0,,,,,Recovery,1,From Kick Off,Sulzeer Jeremiah ''Sol' Campbell,15637.0,Left Center Back,2,Newcastle United,37,"['c1c352f6-33f3-4ebe-a7fd-438ab63e1464', 'cd119ba8-9149-41de-8301-f3c27bd89e74', 'df4dd897-7f5f-4ae9-ab63-a063dc7e9ad1']",6,,,,,,,,,,,,,,,,,Arsenal,1,00:00:06.496,Pass,
,,,,,,,,,,,,,,,1.13118,,,,,,,,,,,,,60fd6426-7185-44bf-aeea-6c23167f12dc,19,,,"[52.8, 37.5]",3749431,0,,,,,0.49672377,,Right Foot,,,,"[63.5, 43.3]",Ground Pass,,12.170867,,,,Gary Speed,24799.0,,,,,,1,From Kick Off,Jonathan Woodgate,38418.0,Left Center Back,2,Newcastle United,37,['1873327f-0e6a-4deb-91df-36dccaec2ccb'],10,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:10.193,Pass,
,,,,,,,,,,,,,,,1.482733,,,,,,,,,,,,,d118b14f-9259-4acc-b7eb-10e891c36216,22,,,"[55.8, 45.6]",3749431,0,,,,,1.6000767,,Right Foot,,,,"[55.1, 69.5]",Low Pass,,23.91025,,,,Aaron Hughes,20059.0,,,,,,1,From Kick Off,Gary Speed,24799.0,Left Defensive Midfield,2,Newcastle United,37,['939593ad-bd39-467d-a867-6b38ac64f097'],12,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:12.539,Pass,
