bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,604f9d94-6bc6-4655-8b0d-fb8a80049d9b,1,,,3749631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5d11c5ee-d770-4309-814f-85461a552cec,2,,,3749631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 40438, 'name': 'Antti Mikko Niemi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 14}, {'player': {'id': 40436, 'name': 'Darren Kenton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 40441, 'name': 'Michael Lennart Svensson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 11}, {'player': {'id': 40445, 'name': 'Danny Higginbotham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 377676, 'name': 'Stephen Crainey'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 20193, 'name': 'Anders Svensson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 40435, 'name': 'Rory Delap'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 40434, 'name': 'Paul Telfer'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 33}, {'player': {'id': 377674, 'name': 'Graeme Le Saux'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 3}, {'player': {'id': 40437, 'name': 'Brett Ormerod'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 36}, {'player': {'id': 40433, 'name': 'Kevin Phillips'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,489f7de0-f5d0-4adb-9f70-bda1ae482407,3,,,3749631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['8c5b8ecf-7b19-4ea4-956c-694d4519b877'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8c5b8ecf-7b19-4ea4-956c-694d4519b877,4,,,3749631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['489f7de0-f5d0-4adb-9f70-bda1ae482407'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7ec2934a-9712-494c-9af4-9b23b59ec69d,1769,,,3749631,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,121,Southampton,25,['907ee458-e6fd-4490-9301-73b7ca759264'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,907ee458-e6fd-4490-9301-73b7ca759264,1770,,,3749631,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,121,Southampton,25,['7ec2934a-9712-494c-9af4-9b23b59ec69d'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.594327,,,,,,,,,,,,676bd5ef-fde7-4978-99ba-c7a48b282486,5,,"[60.0, 40.0]",3749631,0,,,,,-1.7211678,,Left Foot,,,,"[59.5, 36.7]",,Ground Pass,,3.337664,,,,Thierry Henry,15516.0,,,,,,Kick Off,1,From Kick Off,José Antonio Reyes Calderón,23816.0,Right Center Forward,2,Arsenal,1,['2034d398-b96b-4119-b072-e3a7a68cf2c6'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.604,Pass,
,,,,,,,,,,,,,,,,1.272784,,,,,,,,,,,,796dce0e-8cac-49e0-8b7d-8db85adafeae,8,,"[58.1, 37.6]",3749631,0,,,,,2.9666324,,Right Foot,,,,"[38.3, 41.1]",,Ground Pass,,20.106964,,,,Gilberto Aparecido da Silva,40221.0,,,,,,,1,From Kick Off,Thierry Henry,15516.0,Left Center Forward,2,Arsenal,1,['f2e0776e-4370-45c3-a440-7002cd76663e'],2,,,,,,,,,,,,,,,,,Arsenal,1,00:00:02.318,Pass,
,,,,,,,,,,,,,,,,1.954699,,,,,,,,,,,,01d4dc58-5292-41ae-b652-b683a7522af8,11,,"[34.9, 40.5]",3749631,0,,,,,-1.5707964,,Right Foot,,,,"[34.9, 7.2]",,Ground Pass,,33.3,,,,Ashley Cole,12529.0,,,,,,,1,From Kick Off,Gilberto Aparecido da Silva,40221.0,Right Defensive Midfield,2,Arsenal,1,['e54e20eb-80db-4d3f-b2f5-4da3ff1d64b7'],3,,,,,,,,,,,,,,,,,Arsenal,1,00:00:03.605,Pass,
,,,,,,,,,,,,,,,,1.001907,,,,,,,,,,,,fb718fc6-087f-47d3-95dc-f366319059f8,14,,"[35.2, 7.0]",3749631,0,,,,,-0.39852244,,Left Foot,,,,"[46.6, 2.2]",,Ground Pass,,12.369317,,,,Robert Pirès,19312.0,,,,,,,1,From Kick Off,Ashley Cole,12529.0,Left Back,2,Arsenal,1,['c5aa3b09-4859-44b8-82c4-76b5009296f2'],6,,,,,,,,,,,,,,,,,Arsenal,1,00:00:06.596,Pass,
