ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,90f4cb3a-7815-45b4-b5fe-af9c83fdc8c4,1,,,3749642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,69d9857a-5598-4a37-8900-adf7d4568da2,2,,,3749642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 40378, 'name': 'Dean Kiely'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40416, 'name': 'Luke Young'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 40380, 'name': 'Mark Fish'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 40417, 'name': 'Jonathan Fortune'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 40377, 'name': 'Hermann Hreidarsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 13808, 'name': 'Radostin Kishishev'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 40379, 'name': 'Matt Holland'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20153, 'name': 'Claus Jensen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40376, 'name': 'Graham Stuart'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 4}, {'player': {'id': 40418, 'name': 'Carlton Cole Okirie'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 35}, {'player': {'id': 40375, 'name': 'Paolo Di Canio'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Charlton Athletic,75,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,5055a7f9-bbb1-42a1-b38b-da8438657193,3,,,3749642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['4d821d7e-163b-4b0c-8221-42897e2cc2bb'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,4d821d7e-163b-4b0c-8221-42897e2cc2bb,4,,,3749642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['5055a7f9-bbb1-42a1-b38b-da8438657193'],0,,,,,,,,,,,,,,,,,Charlton Athletic,75,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,0e630dbe-689e-439a-abff-bb173b8e7fc3,2030,,,3749642,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,117,Arsenal,1,['ec360772-6dce-4676-a75e-88f2bed3689f'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,ec360772-6dce-4676-a75e-88f2bed3689f,2031,,,3749642,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,117,Arsenal,1,['0e630dbe-689e-439a-abff-bb173b8e7fc3'],0,,,,,,,,,,,,,,,,,Charlton Athletic,75,00:00:00.000,Half Start,
,,,,,,,,,,,,0.441913,,,,,,,,,,,,64537807-9191-4b48-a017-ce58e421c3fd,5,,"[61.0, 40.1]",3749642,0,,,,,1.7782925,,Right Foot,,,"[60.2, 43.9]",,Ground Pass,,3.8832977,,,,,Matt Holland,40379.0,,,,,,Kick Off,1,From Kick Off,Paolo Di Canio,40375.0,Left Center Forward,2,Charlton Athletic,75,['7cdc996b-cd36-4541-b10e-b06c6cf31234'],1,,,,,,,,,,,,,,,,,Charlton Athletic,75,00:00:01.933,Pass,
,,,,,,,,,,,,3.421068,,,,,,,,,,,,1f0cdd73-4a64-468d-b304-457e8e437c51,7,,"[60.7, 43.2]",3749642,0,,,,,-2.1424556,,Right Foot,,,"[40.5, 11.8]",,Ground Pass,,37.336308,,,,,Hermann Hreidarsson,40377.0,,,,,,,1,From Kick Off,Matt Holland,40379.0,Right Center Midfield,2,Charlton Athletic,75,['027a26af-b0c5-4a0c-b536-3db079017795'],2,,,,,,,,,,,,,,,,,Charlton Athletic,75,00:00:02.375,Pass,
,,,,,,,,,,,,2.354944,,,,,,,,,,,,82b9eeed-6976-4f7d-a359-e9341b13ff14,10,,"[44.1, 12.1]",3749642,0,,,,,0.27249464,,Right Foot,,,"[87.4, 24.2]",,High Pass,,44.95887,,,,,Carlton Cole Okirie,40418.0,,,,,,,1,From Kick Off,Hermann Hreidarsson,40377.0,Left Back,2,Charlton Athletic,75,['283333eb-551a-4481-9e0e-35084daf9608'],7,,,,,,,,,,,,,,,,,Charlton Athletic,75,00:00:07.926,Pass,
,,,,,,,,,,,,0.928493,,,,,,,,,,,,6c71a2a1-51a7-4082-a20e-cf4638322354,13,,"[86.7, 25.2]",3749642,0,,,,True,0.034950797,,,,,"[101.0, 25.7]",,Low Pass,,14.308739,,,,,Paolo Di Canio,40375.0,,,,,,,1,From Kick Off,Carlton Cole Okirie,40418.0,Right Center Forward,2,Charlton Athletic,75,"['749500bd-106b-4d13-b7ec-b917e4a4a741', 'ef311b0b-66ff-4cd7-9b2f-29e732f5c29b']",10,,,,,,,,,,,,,,,,,Charlton Athletic,75,00:00:10.281,Pass,True
