50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b6dbf164-5f6d-4c5a-9fd7-90e06f17ecbc,1,,,3749360,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7adb3ff8-7a3f-4690-a763-5956e1e97c73,2,,,3749360,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 38464, 'name': 'Brad Friedel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 15272, 'name': 'Markus Babbel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40355, 'name': 'Andy Todd'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 40356, 'name': 'Craig Short'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 40353, 'name': 'Vratislav Greško'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 40357, 'name': 'Brett Emerton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 15095, 'name': 'Tugay Kerimoğlu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 40352, 'name': 'Barry Ferguson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 40354, 'name': 'Lucas Neill'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 9003, 'name': 'Paul Gallagher'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 24766, 'name': 'Dwight Yorke'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Blackburn Rovers,98,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c788bcc3-1366-40cb-8210-f01ebc3da93e,3,,,3749360,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['bacf734f-456d-46ca-96da-1a6bd58cf2da'],0,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bacf734f-456d-46ca-96da-1a6bd58cf2da,4,,,3749360,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['c788bcc3-1366-40cb-8210-f01ebc3da93e'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e91cd6df-5597-4158-af9f-df32363dbb9f,1954,,,3749360,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,121,Arsenal,1,['81645f07-50e4-4986-8bd1-b5f580ba10f2'],0,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,81645f07-50e4-4986-8bd1-b5f580ba10f2,1955,,,3749360,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,121,Arsenal,1,['e91cd6df-5597-4158-af9f-df32363dbb9f'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.448559,,,,,,,,,,,,,c73e2eaa-f8da-4e85-8f80-e299c0c20a5a,5,,"[61.0, 40.1]",3749360,0,,,,,-1.9195673,,Right Foot,,,"[60.2, 37.9]",,Ground Pass,,2.34094,,,,,Dwight Yorke,24766.0,,,,,,Kick Off,1,From Kick Off,Paul Gallagher,9003.0,Right Center Forward,2,Blackburn Rovers,98,['d27b12df-33f8-4a24-983f-4c03d5dc22bc'],0,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:00.863,Pass,
,,,,,,,,,,,,,,,,,,,,1.146909,,,,,,,,,,,,,efa795b4-32af-49b3-9f23-81081fc37206,8,,"[60.5, 37.5]",3749360,0,,,,,2.4297457,,Left Foot,,,"[55.4, 41.9]",,Ground Pass,,6.735726,,,,,Tugay Kerimoğlu,15095.0,,,,,,,1,From Kick Off,Dwight Yorke,24766.0,Left Center Forward,2,Blackburn Rovers,98,['b6def177-245d-4353-9483-980a00c86db0'],1,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:01.468,Pass,
,,,,,,,,,,,,,,,,,,,,1.787349,,,,,,,,,,,,,1caab34a-ff29-4f74-b769-2b788c7134c0,11,,"[55.6, 43.3]",3749360,0,,,,,1.8466022,,Right Foot,,,"[46.6, 75.1]",,Ground Pass,,33.049053,,,,,Markus Babbel,15272.0,,,,,,,1,From Kick Off,Tugay Kerimoğlu,15095.0,Right Center Midfield,2,Blackburn Rovers,98,['7d27a7ef-a5e2-4f63-82a0-635021610460'],2,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:02.688,Pass,
,,,,,,,,,,,,,,,,,,,,2.276724,,,,,,,,,,,,,57498d46-d7c0-4785-ae4e-cab455614f42,14,,"[46.8, 76.4]",3749360,0,,,,,0.00922483,,Right Foot,,,"[101.0, 76.9]",,High Pass,,54.202305,,,Incomplete,,Paul Gallagher,9003.0,,,,,,,1,From Kick Off,Markus Babbel,15272.0,Right Back,2,Blackburn Rovers,98,"['389dd26c-76ba-43e6-af6d-917e0d8f61d4', 'ee634173-3ff8-4513-b978-8ab8a1edef50']",5,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:05.964,Pass,
