50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.32925,,,,,,,,,,,,,,,317df0a8-5767-412f-8ed5-1d7347f1b8fc,15,,"[3.9, 52.8]",3749153,0,,,,,-0.4825133,,Right Foot,,,"[50.1, 28.6]",,High Pass,,52.154385,,,,Patrick Vieira,15515.0,,,,,,1,From Goal Kick,Jens Lehmann,20015.0,Goalkeeper,3,Arsenal,1,"['86cf8337-46dc-4500-9c0d-e7a5089c3d63', 'cc7dacf7-bfa3-434f-9b7b-687eb25e9f40']",32,,,,,,,,,,,,,,,,,Arsenal,1,00:00:32.867,Pass,True
,,,,,,,,,,,,,,,,,,3.383773,,,,,,,,,,,,,,,36b1bba2-6b0a-4d3f-aded-382e91468711,19,,"[50.5, 32.0]",3749153,0,,,,,0.44237423,d837b84a-75a2-41d2-9e83-a9f35c01e912,Right Foot,,,"[96.1, 53.6]",,Low Pass,,50.45711,,,,Jérémie Aliadière,40255.0,True,,,,,1,From Goal Kick,Patrick Vieira,15515.0,Right Defensive Midfield,3,Arsenal,1,['cd38417e-7153-4b74-bdaa-6b67f72a7aa8'],36,,,,,,,,,,,,,,,,,Arsenal,1,00:00:36.635,Pass,
,,,,,,,,,,,,,,,,,,1.509827,,,,,,,,,,,,,,,85da79fd-09ec-493d-96d8-5567137d2038,25,,"[37.5, 23.1]",3749153,0,,True,,,-2.698591,,Right Foot,,,"[23.8, 16.6]",,Ground Pass,,15.163773,,,,Franck Queudrue,40328.0,,,,,Recovery,1,Regular Play,Boudewijn Zenden,17793.0,Right Center Forward,4,Middlesbrough,47,['fa91761a-f996-4ad9-9893-2d5bcb7a2226'],44,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:44.242,Pass,
,,,,,,,,,,,,,,,,,,1.415876,,,,,,,,,,,,,,,1950788a-2a1b-4ad5-bd59-ff1c6dfbd931,27,,"[31.1, 15.4]",3749153,0,,,,,-0.3359676,,Left Foot,,,"[56.3, 6.6]",,Ground Pass,,26.692322,,,,Joseph-Desiré Job,40323.0,,,,,,1,Regular Play,Franck Queudrue,40328.0,Left Back,4,Middlesbrough,47,['3aed22b7-f1af-42c3-99eb-6d20d2f523a7'],47,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:47.254,Pass,
,,,,,,,,,,,,,,,,,,0.971349,,,,,,,,,,,,,,,b27a379b-a220-4773-9fcd-06f0f6b2181d,30,,"[66.8, 9.4]",3749153,0,,,,,2.079107,,Right Foot,,,"[62.9, 16.4]",,Ground Pass,,8.013114,,,,Stewart Downing,9585.0,,,,,,1,Regular Play,Joseph-Desiré Job,40323.0,Left Center Forward,4,Middlesbrough,47,['9f82f1ce-e16a-4a07-8981-8d8c5e074a17'],48,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:48.750,Pass,
,,,,,,,,,,,,,,,,,,3.024032,,,,,,,,,,,,,,,2d3f2a50-3930-4481-b69e-ef17658e91e6,32,,"[63.6, 17.1]",3749153,0,,,,,-0.044357307,,Left Foot,,,"[101.9, 15.4]",,Ground Pass,,38.33771,,,,George Boateng,40324.0,,,,,,1,Regular Play,Stewart Downing,9585.0,Left Midfield,4,Middlesbrough,47,['532118fa-36ab-4b44-ac27-ce3f7a7d031a'],49,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:49.721,Pass,
,,,,,,,,,,,,,,,,,,6.408818,,,,,,,,,,,,,,,3a3cdbcc-c8a0-4e36-b011-2b4a9d0be135,35,,"[114.5, 14.5]",3749153,0,,,,,1.6591156,,Left Foot,True,,"[108.7, 80.0]",,High Pass,,65.756294,,Out,,,,,True,,,,1,Regular Play,George Boateng,40324.0,Right Center Midfield,4,Middlesbrough,47,,55,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:55.727,Pass,
,,,,,,,,,,,,,,,,,,2.896118,,,,,,,,,,,,,,,87565d0d-433f-47ff-9bd7-9fb554116bae,36,,"[14.2, 0.1]",3749153,1,,True,,,0.13477129,,,,,"[31.9, 2.5]",,High Pass,,17.86197,,,,Patrick Vieira,15515.0,,,,,Throw-in,1,From Throw In,Ashley Cole,12529.0,Left Back,5,Arsenal,1,['42766e6e-1f1d-41f6-944e-915b94253747'],21,,,,,,,,,,,,,,,,,Arsenal,1,00:01:21.179,Pass,
,,,,,,,,,,,,,,,,,,1.250855,,,,,,,,,,,,,,,9cecac3c-ab82-4ee0-8b04-e14523a1e225,42,,"[52.0, 0.1]",3749153,1,,,,,2.7399094,,,,,"[40.7, 4.9]",,High Pass,,12.277215,,,,Ashley Cole,12529.0,,,,,Throw-in,1,From Throw In,Patrick Vieira,15515.0,Right Defensive Midfield,6,Arsenal,1,['1be5c5bc-9962-4e39-b636-1fe5bbdbf956'],32,,,,,,,,,,,,,,,,,Arsenal,1,00:01:32.868,Pass,
,,,,,,,,,,,,,,,,,,2.322838,,,,,,,,,,,,,,,e2ee1ff4-f0eb-4802-99c8-fe4ff1b396aa,45,,"[38.3, 8.1]",3749153,1,,,,,1.9353223,,Left Foot,,,"[29.6, 30.9]",,Ground Pass,,24.403482,,,,Sulzeer Jeremiah ''Sol' Campbell,15637.0,,,,,,1,From Throw In,Ashley Cole,12529.0,Left Back,6,Arsenal,1,['08e2504e-ba1e-4355-9d31-6e25d66e81fe'],35,,,,,,,,,,,,,,,,,Arsenal,1,00:01:35.911,Pass,
