ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d78142c2-54c8-48fd-8346-67ab75d01a5e,1,,,3749493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 15512, 'name': 'Sylvain Wiltord'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9815d71d-139d-430d-9c7a-5260db57773f,2,,,3749493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 40280, 'name': 'Richard Wright'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 40284, 'name': 'Alessandro Pistone'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40288, 'name': 'Joseph Phillip Yobo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 40285, 'name': 'Alan Stubbs'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 40281, 'name': 'David Unsworth'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 38558, 'name': 'Steve Watson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 20189, 'name': 'Tobias Linderoth'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 15513, 'name': 'Thomas Gravesen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 40289, 'name': 'Mark Pembridge'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 40286, 'name': 'Tomasz Radziński'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 40283, 'name': 'Nick Chadwick'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d9b7e5eb-8235-4295-84e9-db9d84b847ee,3,,,3749493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['c1d423be-aee9-4e1b-a6d5-ec99ed7a0551'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c1d423be-aee9-4e1b-a6d5-ec99ed7a0551,4,,,3749493,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['d9b7e5eb-8235-4295-84e9-db9d84b847ee'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ac290c25-075c-4632-ad32-c9af494945d6,1541,,,3749493,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Everton,29,['19573b3d-9d81-4946-89a1-2b5df7149510'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,19573b3d-9d81-4946-89a1-2b5df7149510,1542,,,3749493,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Everton,29,['ac290c25-075c-4632-ad32-c9af494945d6'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.278634,,,,,,,,,,,,,,,729957b9-d479-49ab-995f-608a19177be5,5,,"[60.0, 40.0]",3749493,0,,,,-2.7890396,,Right Foot,,,,"[49.4, 36.1]",,Ground Pass,,11.294689,,,,Patrick Vieira,15515.0,,,,,,Kick Off,1,From Kick Off,Sylvain Wiltord,15512.0,Right Center Forward,2,Arsenal,1,['1deff0f2-ee63-4951-90ba-f8a8ff399960'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.983,Pass,
,,,,,,,,,,,,,,,,2.159856,,,,,,,,,,,,,,,a6f65e54-2f12-4c52-9868-318ade5adf0b,8,,"[49.0, 35.9]",3749493,0,,,,1.6584499,,Right Foot,,,,"[46.1, 68.9]",,Ground Pass,,33.12718,,,,Laureano Bisan-Etame Mayer,40222.0,,,,,,,1,From Kick Off,Patrick Vieira,15515.0,Right Defensive Midfield,2,Arsenal,1,['10d578c5-4c81-4563-ad15-eb356ac08ee6'],2,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:02.434,Pass,
,,,,,,,,,,,,,,,,1.203699,,,,,,,,,,,,,,,7a9e4bcf-d6d9-453a-a4ab-c5c19489646b,11,,"[46.7, 68.9]",3749493,0,,,,0.5232783,,Right Foot,,,,"[54.5, 73.4]",,Ground Pass,,9.004998,,,,Fredrik Ljungberg,15754.0,,,,,,,1,From Kick Off,Laureano Bisan-Etame Mayer,40222.0,Right Back,2,Arsenal,1,['66f3ea0a-ccc5-417a-8134-b9e400a2ba9c'],5,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:05.305,Pass,
,,,,,,,,,,,,,,,,1.094971,,,,,,,,,,,,,,,f8c972df-6b67-45de-98e2-87720bb43536,14,,"[54.9, 73.2]",3749493,0,,,,-1.3811827,,Right Foot,,,,"[56.8, 63.3]",,Ground Pass,,10.080674,,,,Gilberto Aparecido da Silva,40221.0,,,,,,,1,From Kick Off,Fredrik Ljungberg,15754.0,Right Midfield,2,Arsenal,1,['5e5b4022-e7f1-4627-9fcc-49fb1e87cec7'],7,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:07.145,Pass,
